clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_branch_count,clone_multilineage_score,clone_fate_diversification_index,clone_success_failure_split,clone_state_transition_entropy,early_to_late_fate_dispersion,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,two_phase_condensation_plus_entropy,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,local_alignment_exposure
1159,2,2.5,2.5,0.0,MPP,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.7553445376557371,-1.9732303830857645,-1.6647758282450522,0.9284458489341765,0.8085677623748779,1.4074240059026306,2.3851113436047338,0.7923499472546023,0.5875,0.54825,0.6045,0.9284458489341765
1180,3,2.5,2.5,0.0,Lym,0.0,0.0,1,1,0.0,,0.0,0.0,3,2.5,3,-1.1159259548974518,-4.607670427757632,-2.597683012241364,0.8128697836883415,0.49282437562942505,0.8980513130074185,3.6961045830791828,0.010766664522125444,0.226,0.6003333333333333,0.143,0.8128697836883415
1195,2,2.5,5.0,2.5,MPP/GMP,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-1.3884086982770967,-2.7909744759630866,-2.586930228199332,0.4849362835641145,0.9000985026359558,1.0626595920006272,3.420815482351583,0.4755067474316763,0.6659999999999999,0.833,0.667,0.969872567128229
1200,2,2.5,2.5,0.0,Unk_1,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2.5,2,-0.7529924826349725,-1.3497731482966404,-1.2949582849405274,0.9726970923258154,0.8110075294971466,1.371222337057378,2.344331206819871,0.8817376670423859,0.5922499999999999,0.55425,0.6505000000000001,0.9726970923258154
1228,2,2.5,2.5,0.0,Unk_1,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-1.174782143071425,-2.7630764800866423,-2.0815327640709294,0.8536430082150502,0.6406797468662262,0.9275288867670248,2.4315351884218703,0.18775490027461555,0.29675,0.39025,0.27825,0.8536430082150502
1232,2,2.5,5.0,2.5,Neutro,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-1.029347133280686,-3.664931270862963,-1.6448505837088272,0.4713250660420609,0.8272063732147217,1.0085427529399118,4.201471358962573,0.49079075782181,0.4595,0.8554999999999999,0.568,0.9426501320841219
1264,2,2.5,2.5,0.0,Baso/Eos,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-0.8861882400069087,-3.47176113641659,-0.8861882400069087,0.9191485025892874,0.4881325662136078,1.2674630308833876,3.3370047155929274,-0.21398051261099368,0.339,0.66725,0.03425,0.9191485025892874
1267,2,2.5,2.5,0.0,Baso/Eos,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-1.5900108639633066,-4.167853541103209,-1.5900108639633066,0.7420134218445039,0.41928087174892426,0.761323830139472,3.6865684603138353,-0.18638484526324753,0.08275,0.46925000000000006,0.02325,0.7420134218445039
1275,2,2.5,2.5,0.0,Lym,0.0,0.0,1,1,0.0,,0.0,0.0,2,2.5,2,-1.3409451426021115,-3.1355706302609585,-1.3409451426021115,0.9359130142194936,0.6449231207370758,0.936532841007168,2.349379578108151,0.14747568298587824,0.19675,0.27925,0.37825,0.9359130142194936
1292,2,2.5,5.0,2.5,MEP,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2.5,2,-0.9710808283304406,-2.8148926650162167,-2.060242396377894,0.4816370302618318,0.8969270586967468,1.2206205924483666,2.9126695974794385,0.3121702993761054,0.6515,0.5745,0.5475,0.9632740605236636
