clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_branch_count,clone_multilineage_score,clone_fate_diversification_index,clone_success_failure_split,clone_state_transition_entropy,early_to_late_fate_dispersion,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,two_phase_condensation_plus_entropy,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,local_alignment_exposure
3654,2,6.0,6.0,0.0,Mast,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.007544427009468724,-3.7526881112948223,-0.007544427009468724,0.0,0.2626495351628339,11.374367457539758,3.7526881112948223,0.0,0.5806666666666667,0.6401666666666667,0.18466666666666667,0.0
3671,2,4.0,4.0,0.0,Meg,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2,2,-1.5027979960182938,-4.222805983163291,-1.5027979960182938,0.9868813215218502,0.674512505531311,1.1528914827564527,4.651425736884727,0.6942965879018353,0.4658333333333333,0.5086666666666667,0.5918333333333334,0.9868813215218502
3685,2,2.0,2.0,0.0,Baso,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.5240733985651884,-3.8955695132688453,-1.5240733985651884,0.9955332456038275,0.7393345236778259,2.301915152261884,3.9799641648109363,0.6819833393068105,0.5385,0.38533333333333336,0.6556666666666666,0.9955332456038275
3746,2,4.0,4.0,0.0,Lymphoid,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.3340942854965483,-3.9598875444126973,-0.3340942854965483,0.9906924978303108,0.6620951890945435,14.34022472529286,3.8617192827647076,0.7854136986171625,0.6196666666666667,0.5545,0.5813333333333333,0.9906924978303108
3784,3,2.0,2.0,0.0,Monocyte,0.0,0.0,1,1,0.0,,0.0,0.0,3,2,3,-1.1225018086251053,-5.087399065093604,-1.1225018086251053,0.99734463353118,0.7464415033658346,8.637639453735709,5.289537720713719,0.6019567012659924,0.5966666666666667,0.6201111111111111,0.6194444444444445,0.99734463353118
3790,2,6.0,6.0,0.0,Meg,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-0.3986778440090215,-3.931523376349179,-0.3986778440090215,0.0,0.2626495351628339,13.832343457687523,3.931523376349179,0.0,0.4541666666666667,0.6001666666666666,0.18466666666666667,0.0
3869,3,6.0,6.0,0.0,Neu_Mon,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9182958340516042,1.0,3,2,3,-0.1792801543013424,-4.9173805788858225,-0.1792801543013424,0.0,0.2626495351628339,45.49148895463608,4.9173805788858225,0.0,0.5148333333333334,0.7474444444444445,0.18466666666666667,0.0
3883,2,4.0,6.0,2.0,Erythroid,0.0,0.0,1,1,0.0,,0.9999999999971146,1.0,1,2,2,-0.3215613388115875,-3.9053021508433967,-0.3215613388115875,0.4773142035519876,0.46806624483246984,9.173904510074404,3.962752585949986,0.3132812581707351,0.56075,0.618,0.3658333333333333,0.4773142035519876
3966,6,6.0,6.0,0.0,Erythroid,0.6500224216454689,0.6500224216454689,2,2,0.16666666666666663,,0.6500224216454689,1.0,6,2,6,-0.5417379956138,-3.909384945326821,-0.5417379956138,0.0,0.2626495351628339,8.045670882505577,3.909384945326821,0.0,0.4133333333333334,0.5370555555555555,0.18466666666666667,0.0
3989,2,2.0,2.0,0.0,undiff,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.519486990763002,-1.9453115505993375,-1.519486990763002,0.988744457362811,0.9345070421695709,1.9899488508542793,3.4589197579062225,0.9263692811215327,0.6516666666666666,0.274,0.92,0.988744457362811
3991,2,2.0,4.0,2.0,undiff,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9999999999971146,1.0,2,2,2,-4.121410606176867,-6.340750811899477,-4.121410606176867,0.8884856712191347,0.516075536608696,1.4927872587747661,7.1599267857495175,0.7265924635899799,0.184,0.49533333333333335,0.4196666666666667,0.7799286006533122
4005,8,4.0,4.0,0.0,pDC,0.0,0.0,1,1,0.0,,0.0,0.0,8,2,8,-0.25206986767242706,-5.488494773231107,-0.25206986767242706,0.997139276642344,0.7070969641208649,6.113089003473289,5.5787595196301325,0.8766156730626837,0.743625,0.8307083333333333,0.7160833333333334,0.997139276642344
4011,2,2.0,4.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-3.89390728613408,-4.485043858932356,-3.89390728613408,0.8521272250955336,0.7073851823806763,0.42445128719082115,5.40428959997049,0.9422046059322594,0.24,0.49533333333333335,0.6873333333333334,0.8298247553374939
4021,2,2.0,2.0,0.0,undiff,0.0,0.0,1,1,0.0,,0.0,0.0,2,2,2,-1.971239495220487,-1.9626660741896451,-1.971239495220487,0.9967946220976158,0.9240032434463501,4.38263143264347,2.6015696647519855,0.8834679987152707,0.5856666666666667,0.14416666666666667,0.8523333333333334,0.9967946220976158
