tf_name,devvcell_system,stage,stage_num,target_stage,n_cells,stimulus_mode,stimulus_response_norm,fate_displacement_from_baseline,cell_level_feedback_cost_proxy,cell_level_recovery_probability_proxy,alignment_with_normal_transition,transition_norm,stimulus_strength,grn_evidence_scale,temporal_sensitivity_norm,stage_vulnerability_score,devvcell_priority_score,response_amplitude_proxy,feedback_cost,matched_global_grn_targets,matched_system_targets,gene_delta_norm,mapped_systems,stimulus_response_rank
Eya1,mesoderm_muscle,Theiler stage 18,18,Theiler stage 19,200,tf_knockdown_zero_shot_grn_projection,0.38529258966445923,0.3852926194667816,0.3722346136259974,0.2256120258956338,0.06566654145717621,0.8080375790596008,0.3852926095262025,0.9499574309983302,0.802633056333892,0.3293006611097032,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,22,0.20246168971061707,cardiac muscle cell;muscle precursor cell;myoblast;myotube,85
Lef1,mesoderm_muscle,Theiler stage 18,18,Theiler stage 19,200,tf_knockdown_zero_shot_grn_projection,0.3797191381454468,0.3797190189361572,0.3797191381454468,0.21895773633051044,0.15887188911437988,0.8778284788131714,0.37971911337692116,1.0528991238020495,0.5417964652348015,0.3293006611097032,0.6669700902954203,0.5987735608331716,1.0,10,22,0.3056974411010742,cardiac muscle cell;muscle precursor cell;myoblast;myotube,86
Lef1,mesoderm_muscle,Theiler stage 15,15,Theiler stage 16,200,tf_knockdown_zero_shot_grn_projection,0.36653900146484375,0.36653897166252136,0.36653900146484375,0.23081101830621564,0.056061070412397385,0.613440215587616,0.36653895907529527,1.0528991238020495,0.6440534452943396,0.6049293945595217,0.6669700902954203,0.5987735608331716,1.0,10,22,0.3056974411010742,cardiac muscle cell;muscle precursor cell;myoblast;myotube,87
Rfx4,erythroid,Theiler stage 16,16,Theiler stage 17,200,tf_knockdown_zero_shot_grn_projection,0.3643049895763397,0.36430492997169495,0.28809152821017237,0.31588845669843063,-0.11789510399103165,0.6981403231620789,0.36430500243790803,0.9194245343012628,0.6296250966389736,0.5211190995375902,0.7101176189887484,0.6799596678627393,0.790797646074521,10,0,0.17591693997383118,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,88
Prox1,erythroid,Theiler stage 14,14,Theiler stage 15,200,tf_knockdown_zero_shot_grn_projection,0.3634464144706726,0.363446444272995,0.3634464144706726,0.2336839639521247,0.00871383398771286,0.8423666954040527,0.36344642540178035,0.8635799451567108,0.6638752032705478,0.5871494513452701,0.6226286711254221,0.4774764150577774,1.0,10,0,0.13219037652015686,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,89
Satb2,neural,Theiler stage 17,17,Theiler stage 18,200,tf_knockdown_zero_shot_grn_projection,0.36065781116485596,0.36065784096717834,0.31687565645572313,0.281533839904461,0.07524104416370392,0.5779682993888855,0.360657805047703,0.9535289969432009,0.5403568223006057,0.4711716925057417,0.8485568526711808,1.0,0.8786047234975314,10,7,0.20568855106830597,neural cell,90
Eya1,erythroid,Theiler stage 18,18,Theiler stage 19,200,tf_knockdown_zero_shot_grn_projection,0.355263888835907,0.3552638590335846,0.34322361743647506,0.25337251806824035,-0.024035358801484108,0.7080753445625305,0.35526389429604943,0.9995778507072872,0.802633056333892,0.3293006611097032,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,27,0.24957802891731262,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,91
Eya1,erythroid,Theiler stage 16,16,Theiler stage 17,200,tf_knockdown_zero_shot_grn_projection,0.3515353500843048,0.35153529047966003,0.33962144283249196,0.2570497144563346,-0.057597316801548004,0.6414145231246948,0.3515353317883286,0.9995778507072872,0.6914776352051533,0.5211190995375902,0.6874957220103752,0.5933461425649844,0.9661089354201344,10,27,0.24957802891731262,erythroid progenitor cell;hematopoietic stem cell;primitive erythroid progenitor,92
Lef1,mesoderm_muscle,Theiler stage 16,16,Theiler stage 17,200,tf_knockdown_zero_shot_grn_projection,0.34927821159362793,0.3492783010005951,0.34927821159362793,0.24730995602365088,0.029230857267975807,0.6330286264419556,0.34927820464390413,1.0528991238020495,0.6276321855848855,0.5211190995375902,0.6669700902954203,0.5987735608331716,1.0,10,22,0.3056974411010742,cardiac muscle cell;muscle precursor cell;myoblast;myotube,93
Rfx4,mesoderm_muscle,Theiler stage 13,13,Theiler stage 14,200,tf_knockdown_zero_shot_grn_projection,0.34728094935417175,0.34728094935417175,0.27462895727580394,0.33336548807242244,0.012571628205478191,0.6900593042373657,0.3472809223901092,0.9194245343012628,0.6188529645201123,0.4880959705471063,0.7101176189887484,0.6799596678627393,0.790797646074521,10,0,0.17591693997383118,cardiac muscle cell;muscle precursor cell;myoblast;myotube,94
Rfx4,neural,Theiler stage 14,14,Theiler stage 15,200,tf_knockdown_zero_shot_grn_projection,0.34726548194885254,0.34726545214653015,0.27461672568808665,0.3333817988282692,-0.051923513412475586,0.6278942823410034,0.34726544311419016,0.9194245343012628,0.6363868987998494,0.5871494513452701,0.7101176189887484,0.6799596678627393,0.790797646074521,10,0,0.17591693997383118,neural cell,95
Nrg1,neural,Theiler stage 13,13,Theiler stage 14,200,tf_knockdown_zero_shot_grn_projection,0.34598106145858765,0.34598103165626526,0.34598106145858765,0.25059323155727203,-0.05963427200913429,0.7465533018112183,0.345980995362313,1.027772234865272,0.3895396203930418,0.4880959705471063,0.562445635633383,0.6958264708898145,1.0,10,4,0.27854353189468384,neural cell,96
