basis_method,low_frequency_energy,high_frequency_energy,spectral_entropy,dominant_basis_index,phase_shift_proxy,amplitude,transient_burst_score,reconstruction_error,c0,c1,c2,c3,dataset_id,condition,lineage,module_name,feature_type,n_time_points,n_cells,wavelet_low_energy,wavelet_high_energy,dominant_time_localization,spline_reconstruction_error
spline,0.0,0.0,0.0,0,4.411901564580639,3.92757101273273,0.0,2.7733391199176196e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_3,latent_dimension,4,6000,,,,2.7733391199176196e-32
dct,3.6725147198144583,0.9496773956962298,0.9559505129434523,2,3.876542895582877,3.178544926767029,0.0,9.375426969277064e-31,0.8874494563933849,1.2529245931210444,-1.4500671307794422,-0.9745139279129005,GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,4,6000,,,,
wavelet,0.801886823166865,1.7242446823679094,0.4881296223787854,0,3.876542895582877,3.178544926767027,1.3108617981753694,6.933347799794049e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,4,6000,0.801886823166865,1.7242446823679094,0.0,
spline,0.0,0.0,0.0,0,3.876542895582877,3.1785449267670263,0.0,2.0029671421627253e-31,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_4,latent_dimension,4,6000,,,,2.0029671421627253e-31
dct,4.860810321751476,0.8573389931490519,0.41109994478817186,1,4.560663839729044,3.645816002857975,0.0,1.6505219623398611e-31,-0.8708714165556326,-2.1986386234084185,-0.1637025516240056,0.9259260192634463,GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,4,6000,,,,
wavelet,1.3174009391706876,0.9428091445706598,0.7939300218136669,1,4.560663839729044,3.645816002857975,1.147780875938734,3.274080905458301e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,4,6000,1.3174009391706876,0.9428091445706598,0.0,
spline,0.0,0.0,0.0,0,4.560663839729044,3.6458160028579765,0.0,4.468157470978387e-31,,,,,GSE212050_strict_sample_13285,control,mesodermal,latent_5,latent_dimension,4,6000,,,,4.468157470978387e-31
dct,0.019223225929164898,1.463470593963807e-06,0.08119190568395605,1,3.3418408339265153,0.2772689595570744,0.0,1.1603727914933096e-32,0.22316358963429317,0.13742473989163434,0.018375712091822302,0.0012097398869028858,GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,4,6000,,,,
wavelet,0.00788596382515486,0.007833337330453752,0.5705455032456022,1,3.341840833926515,0.27726895955707453,0.08880294941698086,2.407412430484045e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,4,6000,0.00788596382515486,0.007833337330453752,0.0,
spline,0.0,0.0,0.0,0,3.3418408339265144,0.2772689595570747,0.0,7.125940794232773e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,mesoderm,module_score,4,6000,,,,7.125940794232773e-33
dct,0.0010827134930514097,6.057253549229459e-06,0.5243619169955136,1,3.1293322158090904,0.06580121226206484,0.0,3.0333396624098965e-33,0.11106330885882393,0.028788972896186416,0.015934507605635438,0.0024611488271190467,GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,4,6000,,,,
wavelet,0.00026554591754802,0.0009987304606216014,0.2606872926653664,0,3.12933221580909,0.06580121226206488,0.0315595684672882,4.81482486096809e-35,,,,,GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,4,6000,0.00026554591754802,0.0009987304606216014,0.0,
spline,0.0,0.0,0.0,0,3.12933221580909,0.06580121226206492,0.0,8.185202263645752e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,neural,module_score,4,6000,,,,8.185202263645752e-34
dct,0.011693512526191241,2.6236441357213757e-05,0.01988775103533857,1,4.615138036162059,0.22643898021178133,0.0,1.1555579666323415e-33,0.1381098950524528,-0.10809733808186661,0.002911704965457909,-0.005122152024024058,GSE212050_strict_sample_13285,control,mesodermal,paraxial_mesoderm,module_score,4,6000,,,,
wavelet,0.005706485646259192,0.003352564559116311,0.5764955675847521,1,4.615138036162058,0.22643898021178127,0.07554128438317151,4.333342374871281e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,paraxial_mesoderm,module_score,4,6000,0.005706485646259192,0.003352564559116311,0.0,
spline,0.0,0.0,0.0,0,4.615138036162058,0.22643898021178124,0.0,4.604176273300736e-34,,,,,GSE212050_strict_sample_13285,control,mesodermal,paraxial_mesoderm,module_score,4,6000,,,,4.604176273300736e-34
dct,1.8017725549370537e-05,3.0297113102883025e-05,0.8027086293374525,3,4.176630932655369,0.010590883012933594,0.0,1.9259299443872359e-32,0.42781541344161755,0.0036000190985517443,0.002248908188306767,-0.00550428134299865,GSE212050_strict_sample_13285,control,mesodermal,stress,module_score,4,6000,,,,
wavelet,9.038300288126217e-09,2.972333150753118e-05,0.0011703772561867205,0,4.176630932655368,0.010590883012933539,0.005295441506466797,2.311115933264683e-33,,,,,GSE212050_strict_sample_13285,control,mesodermal,stress,module_score,4,6000,9.038300288126217e-09,2.972333150753118e-05,1.0,
spline,0.0,0.0,0.0,0,4.176630932655354,0.01059088301293365,0.0,1.0785207688568521e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,stress,module_score,4,6000,,,,1.0785207688568521e-32
dct,0.022349910179665033,1.1814873269027324e-06,0.062328790175884836,1,3.357823099040236,0.29927260908469,0.0,1.3866695599588098e-32,0.445573549854421,0.14854934211111626,0.016822697108953025,0.001086962431228758,GSE212050_strict_sample_13285,control,mesodermal,wnt_response,module_score,4,6000,,,,
wavelet,0.009347097840392062,0.008601706128029619,0.2686232234529561,1,3.357823099040235,0.29927260908469017,0.09668039015432273,0.0,,,,,GSE212050_strict_sample_13285,control,mesodermal,wnt_response,module_score,4,6000,0.009347097840392062,0.008601706128029619,0.0,
spline,0.0,0.0,0.0,0,3.357823099040235,0.2992726090846904,0.0,1.3096323621833204e-32,,,,,GSE212050_strict_sample_13285,control,mesodermal,wnt_response,module_score,4,6000,,,,1.3096323621833204e-32
dct,0.004318427537032781,0.0003449016567260724,0.34682640841150614,1,3.2922819619297563,0.11790294186036099,0.0,1.232595164407831e-32,0.533540346886722,0.06479844159092432,-0.010935698625161097,-0.018571528120380196,GSE212050_strict_sample_13285,control,neural,apoptosis,module_score,4,5785,,,,
wavelet,0.0027656231362866517,0.0001407519334819666,0.04289159649786445,1,3.292281961929756,0.11790294186036099,0.052589192200362345,3.851859888774472e-33,,,,,GSE212050_strict_sample_13285,control,neural,apoptosis,module_score,4,5785,0.0027656231362866517,0.0001407519334819666,0.0,
spline,0.0,0.0,0.0,0,3.2922819619297545,0.11790294186036104,0.0,6.933347799794049e-33,,,,,GSE212050_strict_sample_13285,control,neural,apoptosis,module_score,4,5785,,,,6.933347799794049e-33
dct,0.0001262500759202767,1.2092553441742893e-05,0.7451770045069549,2,3.2221007611998638,0.020454318621234965,0.0,1.2037062152420224e-35,0.007611195206799463,0.005719975930389182,0.009671191822937082,0.003477434893961768,GSE212050_strict_sample_13285,control,neural,cardiac,module_score,4,5785,,,,
wavelet,2.906895588704249e-05,7.573492488585603e-05,0.6738455795802252,0,3.222100761199863,0.020454318621234965,0.008641443336670548,9.4039548065783e-37,,,,,GSE212050_strict_sample_13285,control,neural,cardiac,module_score,4,5785,2.906895588704249e-05,7.573492488585603e-05,0.0,
spline,0.0,0.0,0.0,0,3.222100761199863,0.02045431862123497,0.0,6.206610172341678e-36,,,,,GSE212050_strict_sample_13285,control,neural,cardiac,module_score,4,5785,,,,6.206610172341678e-36
dct,0.004542583681622215,3.4931586018851647e-07,0.0020068326459607914,2,4.020930555999678,0.06893779157604296,0.0,4.622231866529366e-32,0.9094064703293127,-0.0008029811379235002,-0.06739390850005922,-0.0005910294918094329,GSE212050_strict_sample_13285,control,neural,cell_cycle,module_score,4,5785,,,,
wavelet,5.958937380774274e-07,0.0022717433913669724,0.016021279081095626,0,4.02093055599968,0.06893779157604307,0.034319023341770616,3.0814879110195774e-33,,,,,GSE212050_strict_sample_13285,control,neural,cell_cycle,module_score,4,5785,5.958937380774274e-07,0.0022717433913669724,0.0,
spline,0.0,0.0,0.0,0,4.020930555999678,0.06893779157604285,0.0,1.232595164407831e-32,,,,,GSE212050_strict_sample_13285,control,neural,cell_cycle,module_score,4,5785,,,,1.232595164407831e-32
dct,5.5967623710226046e-05,7.298566682597364e-06,0.8213804503757423,2,3.110888395866523,0.014088023797835796,0.0,5.416677968589101e-35,0.024773204118130297,0.004138189556768827,0.006232416136818486,0.00270158595691445,GSE212050_strict_sample_13285,control,neural,endothelial,module_score,4,5785,,,,
wavelet,1.542764293095848e-05,3.6380663618459386e-05,0.1962567409459555,0,3.110888395866524,0.014088023797835796,0.006028179751583863,9.027796614315168e-36,,,,,GSE212050_strict_sample_13285,control,neural,endothelial,module_score,4,5785,1.542764293095848e-05,3.6380663618459386e-05,0.0,
spline,0.0,0.0,0.0,0,3.1108883958665237,0.014088023797835802,0.0,1.504632769052528e-35,,,,,GSE212050_strict_sample_13285,control,neural,endothelial,module_score,4,5785,,,,1.504632769052528e-35
dct,3.661786756814139e-07,7.1750199881990786e-09,0.6962144224113298,1,3.5057308018302042,0.001152142067570193,0.0,2.71833068627654e-38,0.0011316785538439923,0.00045728131147576296,-0.00039632370337442616,-8.470548971701349e-05,GSE212050_strict_sample_13285,control,neural,erythroid,module_score,4,5785,,,,
wavelet,1.428153499138912e-07,7.859312839322425e-08,0.49448684735110304,1,3.5057308018302042,0.0011521420675701932,0.00037790918209788343,1.5428363354542524e-38,,,,,GSE212050_strict_sample_13285,control,neural,erythroid,module_score,4,5785,1.428153499138912e-07,7.859312839322425e-08,0.0,
spline,0.0,0.0,0.0,0,3.5057308018302042,0.0011521420675701935,0.0,2.350988701644575e-38,,,,,GSE212050_strict_sample_13285,control,neural,erythroid,module_score,4,5785,,,,2.350988701644575e-38
dct,0.011338944522242815,0.00021290100168722337,0.22437273466127042,1,3.3407084470609476,0.19455222565956484,0.0,6.788903053965006e-33,0.22575460270164968,0.10450846184234573,-0.020418764056371774,-0.014591127498833782,GSE212050_strict_sample_13285,control,neural,extraembryonic_mesoderm,module_score,4,5785,,,,
wavelet,0.007580615612477684,0.00022471484390125185,0.3122909533796383,1,3.340708447060947,0.1945522256595649,0.08706673080159656,2.407412430484045e-34,,,,,GSE212050_strict_sample_13285,control,neural,extraembryonic_mesoderm,module_score,4,5785,0.007580615612477684,0.00022471484390125185,1.0,
spline,0.0,0.0,0.0,0,3.340708447060947,0.19455222565956487,0.0,1.5407439555097887e-33,,,,,GSE212050_strict_sample_13285,control,neural,extraembryonic_mesoderm,module_score,4,5785,,,,1.5407439555097887e-33
dct,1.52904354841167e-05,1.7948240090831845e-06,0.6567704921473589,1,3.3386810039869697,0.007282860542417948,0.0,2.482644068936671e-35,0.015602337509843016,0.0035951751859076867,-0.0015379047001522336,-0.0013397104198606445,GSE212050_strict_sample_13285,control,neural,haematoendothelial,module_score,4,5785,,,,
wavelet,8.251129407395743e-06,1.9439859004730624e-06,0.14675462456509908,1,3.338681003986969,0.007282860542417948,0.0028724779211328575,0.0,,,,,GSE212050_strict_sample_13285,control,neural,haematoendothelial,module_score,4,5785,8.251129407395743e-06,1.9439859004730624e-06,0.0,
spline,0.0,0.0,0.0,0,3.3386810039869697,0.007282860542417951,0.0,6.018531076210112e-36,,,,,GSE212050_strict_sample_13285,control,neural,haematoendothelial,module_score,4,5785,,,,6.018531076210112e-36
dct,0.015002988761846667,0.0016631315580299716,0.8633330879817093,1,3.48676123766076,0.22303829626029748,0.0,1.0977800683007244e-32,0.35284353899368703,0.08735169347785583,-0.08586425570863225,-0.040781510001837495,GSE212050_strict_sample_13285,control,neural,intermediate,module_score,4,5785,,,,
wavelet,0.004704179350317473,0.004655817409538008,0.2705538260402184,1,3.486761237660761,0.22303829626029753,0.0685870202758326,2.5037089277034066e-33,,,,,GSE212050_strict_sample_13285,control,neural,intermediate,module_score,4,5785,0.004704179350317473,0.004655817409538008,0.0,
spline,0.0,0.0,0.0,0,3.48676123766076,0.22303829626029745,0.0,8.474091755303838e-33,,,,,GSE212050_strict_sample_13285,control,neural,intermediate,module_score,4,5785,,,,8.474091755303838e-33
dct,3.36307918532176,0.005726845096997005,0.2964337706525121,2,3.7371964283432955,2.6868013379688946,0.0,7.32062920045099e-28,45.46859054888048,0.5648456457734343,-1.7447144699842871,-0.07567592151402588,GSE212050_strict_sample_13285,control,neural,latent_1,latent_dimension,4,5785,,,,
wavelet,0.22188191670726476,1.5226714156839476,0.005705236154907048,0,3.737196428343293,2.6868013379688875,0.8904835252592456,2.524354896707238e-29,,,,,GSE212050_strict_sample_13285,control,neural,latent_1,latent_dimension,4,5785,0.22188191670726476,1.5226714156839476,1.0,
spline,0.0,0.0,0.0,0,3.7371964283432906,2.6868013379688946,0.0,6.310887241768094e-29,,,,,GSE212050_strict_sample_13285,control,neural,latent_1,latent_dimension,4,5785,,,,6.310887241768094e-29
dct,15.161522670820467,2.5098201800896405,0.5411170262952933,1,3.4729477765076067,10.733714030170594,0.0,4.81482486096809e-31,1.4481004655555867,3.7826158149867637,-0.923764183670535,1.584241200098533,GSE212050_strict_sample_13285,control,neural,latent_2,latent_dimension,4,5785,,,,
wavelet,11.976245891151834,7.693758045275331,0.7541445937980882,1,3.4729477765076058,10.733714030170594,3.460671306430565,5.007417855406813e-32,,,,,GSE212050_strict_sample_13285,control,neural,latent_2,latent_dimension,4,5785,11.976245891151834,7.693758045275331,1.0,
spline,0.0,0.0,0.0,0,3.472947776507606,10.733714030170596,0.0,8.450980595971191e-31,,,,,GSE212050_strict_sample_13285,control,neural,latent_2,latent_dimension,4,5785,,,,8.450980595971191e-31
dct,0.013951235025036686,0.2700570630674101,0.18566524296269282,3,3.6942483513037194,1.0858297015933331,0.0,7.395570986446986e-31,-1.5877043675314,0.023244702464659553,-0.1158055215970557,0.519670148332007,GSE212050_strict_sample_13285,control,neural,latent_3,latent_dimension,4,5785,,,,
wavelet,0.009205352037732662,0.4062704022085815,0.35498190733637863,0,3.6942483513037194,1.0858297015933325,0.5048730857600395,3.697785493223493e-32,,,,,GSE212050_strict_sample_13285,control,neural,latent_3,latent_dimension,4,5785,0.009205352037732662,0.4062704022085815,1.0,
spline,0.0,0.0,0.0,0,3.6942483513037194,1.085829701593332,0.0,2.465190328815662e-32,,,,,GSE212050_strict_sample_13285,control,neural,latent_3,latent_dimension,4,5785,,,,2.465190328815662e-32
dct,5.498097211771397,1.6201097046180586,0.9753375604740923,2,3.428266339862487,4.1161033983957145,0.0,1.486817917066946e-31,0.8750773155106438,1.6376893236203098,-1.678115279434476,-1.272835301450293,GSE212050_strict_sample_13285,control,neural,latent_4,latent_dimension,4,5785,,,,
wavelet,1.4676180336592934,2.8414946322819623,0.46463941120773394,0,3.4282663398624873,4.116103398395713,1.6856564782311583,5.623715437610729e-32,,,,,GSE212050_strict_sample_13285,control,neural,latent_4,latent_dimension,4,5785,1.4676180336592934,2.8414946322819623,0.0,
spline,0.0,0.0,0.0,0,3.4282663398624864,4.116103398395713,0.0,2.2186712959340957e-31,,,,,GSE212050_strict_sample_13285,control,neural,latent_4,latent_dimension,4,5785,,,,2.2186712959340957e-31
dct,8.699095749833987,0.5378229428913587,0.7961880125589089,2,4.48708355466793,5.417970336776024,0.0,6.717643646022679e-31,1.3902466319227753,-2.0673143135070657,-2.1036414330875868,0.7333641270824192,GSE212050_strict_sample_13285,control,neural,latent_5,latent_dimension,4,5785,,,,
wavelet,2.74619402045615,2.421588562242823,0.7370749905475004,1,4.48708355466793,5.417970336776023,1.6571644518442188,8.011868568650901e-32,,,,,GSE212050_strict_sample_13285,control,neural,latent_5,latent_dimension,4,5785,2.74619402045615,2.421588562242823,1.0,
spline,0.0,0.0,0.0,0,4.487083554667931,5.417970336776024,0.0,2.742524240807424e-31,,,,,GSE212050_strict_sample_13285,control,neural,latent_5,latent_dimension,4,5785,,,,2.742524240807424e-31
dct,0.01244489942021821,0.00025232131347443045,0.6220704308832652,1,3.1909693668036434,0.22523723197823267,0.0,9.62964972193618e-34,0.08771821385759118,0.0943198702714561,0.05957064287208846,0.0158846250655919,GSE212050_strict_sample_13285,control,neural,mesoderm,module_score,4,5785,,,,
wavelet,0.006861354686516005,0.003272696010810393,0.6848428468383664,1,3.190969366803644,0.22523723197823264,0.0828332945530721,2.046300565911438e-34,,,,,GSE212050_strict_sample_13285,control,neural,mesoderm,module_score,4,5785,0.006861354686516005,0.003272696010810393,0.0,
spline,0.0,0.0,0.0,0,3.1909693668036443,0.2252372319782327,0.0,1.552781017662209e-33,,,,,GSE212050_strict_sample_13285,control,neural,mesoderm,module_score,4,5785,,,,1.552781017662209e-33
dct,0.0010316724480308795,7.124667236656082e-06,0.115351254600652,1,4.691441154426979,0.06902783685111319,0.0,1.020742870525235e-32,0.19082809852439395,-0.03184471119556187,0.004193663899519855,-0.0026692072299947193,GSE212050_strict_sample_13285,control,neural,neural,module_score,4,5785,,,,
wavelet,0.0007602183582062147,0.00010517227294702409,0.08535380344829785,1,4.691441154426979,0.0690278368511131,0.027572057562072053,5.7777898331617076e-34,,,,,GSE212050_strict_sample_13285,control,neural,neural,module_score,4,5785,0.0007602183582062147,0.00010517227294702409,1.0,
spline,0.0,0.0,0.0,0,4.69144115442698,0.06902783685111308,0.0,3.851859888774472e-34,,,,,GSE212050_strict_sample_13285,control,neural,neural,module_score,4,5785,,,,3.851859888774472e-34
dct,0.0007835841728584854,0.00010563777744990651,0.668846983035532,1,4.677334067241972,0.07221557559912001,0.0,4.875010171730191e-34,0.03772874594772963,-0.02582976379443594,0.010789229591686874,-0.010278024005124065,GSE212050_strict_sample_13285,control,neural,paraxial_mesoderm,module_score,4,5785,,,,
