dataset_id,condition,lineage,module_name,feature_type,basis_method,reconstruction_error,n_time_points
GSE212050_strict_sample_13285,control,neural,mesoderm,module_score,spline,1.552781017662209e-33,4
GSE212050_strict_sample_13285,control,neural,neural,module_score,dct,1.020742870525235e-32,4
GSE212050_strict_sample_13285,control,neural,neural,module_score,wavelet,5.7777898331617076e-34,4
GSE212050_strict_sample_13285,control,neural,neural,module_score,spline,3.851859888774472e-34,4
GSE212050_strict_sample_13285,control,neural,paraxial_mesoderm,module_score,dct,4.875010171730191e-34,4
GSE212050_strict_sample_13285,control,neural,paraxial_mesoderm,module_score,wavelet,1.2789378536946488e-35,4
GSE212050_strict_sample_13285,control,neural,paraxial_mesoderm,module_score,spline,1.504632769052528e-35,4
GSE212050_strict_sample_13285,control,neural,stress,module_score,dct,7.703719777548943e-34,4
GSE212050_strict_sample_13285,control,neural,stress,module_score,wavelet,7.703719777548943e-34,4
GSE212050_strict_sample_13285,control,neural,stress,module_score,spline,3.0814879110195774e-33,4
GSE212050_strict_sample_13285,control,neural,wnt_response,module_score,dct,4.1022307815448124e-32,4
GSE212050_strict_sample_13285,control,neural,wnt_response,module_score,wavelet,4.044452883213195e-33,4
GSE212050_strict_sample_13285,control,neural,wnt_response,module_score,spline,3.0814879110195774e-33,4
