stage,stage_num,cell_type,devvcell_system,perturbation,rescuer_perturbation,source_response_norm,rescuer_response_norm,optimal_rescuer_dose,minimal_rescue_cost,rescue_fraction,source_transfer_confidence,rescuer_transfer_confidence,response_recovery_class,recovery_cost,off_manifold_score
Theiler stage 20,20.0,myeloid suppressor cell,hematopoietic,RA_hGas_120h,KO_TBX6,0.5947618307752536,0.5001627556595433,0.12879917896139392,0.59126274006704,0.005883179664795568,0.3662454666522921,0.3662454666522921,reversible_response,1.0155458334277874,1.0155458334277874
Theiler stage 27,27.0,starburst amacrine cell,neural,RA_hGas_120h,KO_TBX6,0.5959613500725267,0.5011714869636502,0.12879917896139392,0.5924552023767761,0.005883179664795346,0.36698411274902565,0.36698411274902565,reversible_response,1.017941328042362,1.0179413280423617
Theiler stage 23,23.0,parasympathetic neuron,neural,RA_hGas_120h,KO_TBX6,0.5960150916697486,0.50121668076051,0.12879917896139392,0.592508627802526,0.005883179664795457,0.36701720602323173,0.36701720602323173,reversible_response,1.0180331222381438,1.018033122238144
Theiler stage 18,18.0,peripheral nervous system neuron,neural,KO_TBX6,RA_hGas_120h,0.5970260075687904,0.7099454672785751,0.09108557695184481,0.5935135963017077,0.005883179664795346,0.43717383246029873,0.43717383246029873,reversible_response,1.143427267126797,1.143427267126797
Theiler stage 25,25.0,myeloid suppressor cell,hematopoietic,RA_hGas_120h,KO_TBX6,0.5972114900919309,0.5022227875762844,0.12879917896139395,0.5936979875978399,0.005883179664795346,0.367753930331621,0.367753930331621,reversible_response,1.0200766497229308,1.015786489689699
Theiler stage 27,27.0,glutamatergic neuron,neural,KO_PAX3,RA_hGas_120h,0.5956427211271116,1.037139590963711,0.02881297076880621,0.5948926400592498,0.001259280171244992,0.6386550948989985,0.6386550948989985,reversible_response,1.0634770980377328,1.063477098037733
Theiler stage 21,21.0,hematopoietic stem cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.5957449522632471,1.0373175969309705,0.028812970768806227,0.5949947424577428,0.001259280171244881,0.6387647083193165,0.6387647083193165,reversible_response,1.0636596243544831,1.058820484527741
Theiler stage 22,22.0,hematopoietic stem cell,hematopoietic,KO_PAX3,RA_hGas_120h,0.5959132892976022,1.0376107072079244,0.028812970768806217,0.5951628675086084,0.001259280171244992,0.6389452012571764,0.6389452012571764,reversible_response,1.0639601779824188,1.052755486871977
Theiler stage 26,26.0,granulocyte,hematopoietic,KO_PAX3,RA_hGas_120h,0.5959508928111824,1.0376761828551708,0.02881297076880622,0.5952004236688294,0.001259280171245214,0.6389855201844162,0.6389855201844162,reversible_response,1.0640273163425127,1.0608177332605198
Theiler stage 23,23.0,astrocyte,neural,KO_TBX6,RA_hGas_120h,0.599122998673064,0.712439076117267,0.09108557695184483,0.5955982504305594,0.005883179664795346,0.4387093595999348,0.4387093595999348,reversible_response,1.147443435228607,1.147443435228607
Theiler stage 25,25.0,olfactory ensheathing cell,neural,RA_hGas_120h,KO_TBX6,0.5992528479945308,0.5039394599332191,0.12879917896139387,0.5957273358251387,0.005883179664795346,0.36901096808851186,0.36901096808851186,reversible_response,1.0235634237798885,1.0235634237798885
Theiler stage 26,26.0,retinal cone cell,neural,KO_TBX6,RA_hGas_120h,0.59988389606001,0.7133438870368555,0.09108557695184477,0.5963546713214716,0.005883179664795346,0.4392665286722082,0.4392665286722082,reversible_response,1.1489007098007193,1.1459717547418327
Theiler stage 17,17.0,astrocyte,neural,KO_PAX3,RA_hGas_120h,0.5971597857164117,1.0397811203433278,0.028812970768806227,0.5964077942391941,0.001259280171244992,0.6402817093020319,0.6402817093020319,reversible_response,1.0553012455225064,1.0553012455225064
Theiler stage 17,17.0,myelinating Schwann cell,neural,KO_PAX3,RA_hGas_120h,0.5973133514418093,1.0400485106563055,0.028812970768806196,0.5965611665823187,0.001259280171244992,0.6404463642695961,0.6404463642695961,reversible_response,1.0594269756808357,1.0594087651807662
