perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_latent_01,response_latent_02,response_latent_03,response_latent_04,response_latent_05,response_latent_06
Dach2,RDEG-derived,Theiler stage 17,17,neural_response_axis,rdeg_proxy,1.0,0.7792266525625738,0.7792266525625738,rdeg_proxy_quick,-0.0016707392153329996,0.7792266525625738,-0.18266535659595373,0.039630456811429855,0.27783008833503436,0.2344371199520733
Hoxd4,RDEG-derived,Theiler stage 17,17,neural_response_axis,rdeg_proxy,1.0,0.7556129341998198,0.7556129341998198,rdeg_proxy_quick,-0.0014826637564692526,0.7556129341998198,-0.0,0.03867520350592674,0.2587248771631885,0.22757843705588168
Rorb,RDEG-derived,Theiler stage 17,17,neural_response_axis,rdeg_proxy,1.0,0.7132211571118261,0.7132211571118261,rdeg_proxy_quick,-0.001142703706864239,0.7132211571118261,-0.0,0.036960315381685815,0.1975614372883124,0.21526560465964234
Satb2,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.7885397646170981,0.7885397646170981,rdeg_proxy_quick,-0.0023224644153378724,0.7885397646170981,-0.04855811060098744,0.16615031671536182,0.4206654303282767,0.36328525786963634
Rfx4,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.698554262723517,0.698554262723517,rdeg_proxy_quick,-0.0026671160780824365,0.698554262723517,-0.08368094157019161,0.15370724660424762,0.3781238506921752,0.3283458122851268
Eya1,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.6838500296875744,0.6838500296875744,rdeg_proxy_quick,-0.0011124982719775082,0.6838500296875744,-0.013556425831946281,0.1516739657006997,0.22447193024788376,0.32263647312259325
Lef1,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.6705083690728537,0.6705083690728537,rdeg_proxy_quick,-0.00127536569139915,0.6705083690728537,-0.0,0.14982909941741784,0.24245047199761466,0.3174561916856313
Prox1,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.6416864466123549,0.6416864466123549,rdeg_proxy_quick,-0.0010182005935348455,0.6416864466123549,-0.0,0.14584364404553793,0.21213488509829154,0.3062652556986266
Eya4,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.6140820319843037,0.6140820319843037,rdeg_proxy_quick,-0.0015024773601907875,0.6140820319843037,-0.0,0.14202654396424574,0.29627998293675634,0.29554705196032166
Glis3,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.604806336837171,0.604806336837171,rdeg_proxy_quick,-0.0011694211803841906,0.604806336837171,-0.0,0.14074391373363823,0.23127831962194648,0.291945497942931
Pax3,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.6027239518698783,0.6027239518698783,rdeg_proxy_quick,-0.002098608613014186,0.6027239518698783,-0.0,0.14045596443512795,0.3066900813556592,0.2911369524025975
Nrg1,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.6025674735425295,0.6025674735425295,rdeg_proxy_quick,-0.0015175018273293449,0.6025674735425295,-0.0,0.14043432682954596,0.2528872282657293,0.29107619521517836
Zbtb16,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.5830491355618366,0.5830491355618366,rdeg_proxy_quick,-0.0015526488132308791,0.5830491355618366,-0.0,0.13773535818642602,0.28218439712602417,0.28349764207688516
Satb1,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.5752217192358219,0.5752217192358219,rdeg_proxy_quick,-0.0014974580355919468,0.5752217192358219,-0.079711634029075,0.13665299393792002,0.28251261215208123,0.28045842374687546
Otx2,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.5747871749093527,0.5747871749093527,rdeg_proxy_quick,-0.0013779031473677339,0.5747871749093527,-0.0,0.13659290575252503,0.2644081536878877,0.2802896994798632
Prdm16,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.570505138343343,0.570505138343343,rdeg_proxy_quick,-0.0011280919436830487,0.570505138343343,-0.0,0.1360007916887259,0.22859620690280696,0.2786270762745616
Dach2,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.5666367556482528,0.5666367556482528,rdeg_proxy_quick,-0.0016707392153329996,0.5666367556482528,-0.18266535659595373,0.1354658771071686,0.27783008833503436,0.2771250660192318
Hoxd4,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.5430230372854987,0.5430230372854987,rdeg_proxy_quick,-0.0014826637564692526,0.5430230372854987,-0.0,0.13220060495789124,0.2587248771631885,0.26795636427926595
Rorb,RDEG-derived,Theiler stage 18,18,neural_response_axis,rdeg_proxy,1.0,0.5006312601975049,0.5006312601975049,rdeg_proxy_quick,-0.001142703706864239,0.5006312601975049,-0.0,0.12633872895186035,0.1975614372883124,0.25149654400123655
Satb2,RDEG-derived,Theiler stage 19,19,neural_response_axis,rdeg_proxy,1.0,1.0693677141384688,1.0693677141384688,rdeg_proxy_quick,-0.0023224644153378724,1.0693677141384688,-0.04855811060098744,0.1338856962377313,0.4206654303282767,0.4012276247723485
