stage,stage_num,donor_id,niche_cells,target_cells,tbx4_high_niche_cells,glis3_high_target_cells,mean_tbx4_niche,mean_glis3_target,n_cells,niche_fraction,target_fraction,tbx4_high_niche_fraction,glis3_high_target_fraction,tbx4_glis3_niche_cooccurrence
Theiler stage 23,23,embryo_57,84,18,84,16,0.30952380952380953,17.72222222222222,2636,0.03186646433990895,0.006828528072837633,1.0,0.8888888888888888,0.8888888888888888
Theiler stage 23,23,embryo_58,57,20,57,7,0.2982456140350877,9.65,1951,0.0292157867760123,0.010251153254741158,1.0,0.35,0.35
Theiler stage 23,23,embryo_59,75,22,75,0,0.37333333333333335,2.409090909090909,2524,0.029714738510301108,0.008716323296354992,1.0,0.0,0.0
Theiler stage 23,23,embryo_60,95,16,95,4,0.45263157894736844,8.5625,3129,0.03036113774368808,0.005113454777884308,1.0,0.25,0.25
Theiler stage 24,24,embryo_61,63,7,63,2,0.4603174603174603,10.285714285714286,2493,0.02527075812274368,0.002807862013638187,1.0,0.2857142857142857,0.2857142857142857
Theiler stage 24,24,embryo_62,61,9,61,4,0.4262295081967213,10.555555555555555,1920,0.03177083333333333,0.0046875,1.0,0.4444444444444444,0.4444444444444444
Theiler stage 24,24,embryo_63,91,6,91,3,0.3076923076923077,10.0,3073,0.029612756264236904,0.0019524894240156199,1.0,0.5,0.5
Theiler stage 24,24,embryo_64,100,6,100,0,0.22,0.8333333333333334,3503,0.028546959748786755,0.0017128175849272054,1.0,0.0,0.0
Theiler stage 25,25,embryo_65,96,9,96,3,0.2916666666666667,8.11111111111111,2995,0.032053422370617694,0.003005008347245409,1.0,0.3333333333333333,0.3333333333333333
Theiler stage 25,25,embryo_66,49,5,49,1,0.5714285714285714,2.6,1649,0.02971497877501516,0.0030321406913280777,1.0,0.2,0.2
Theiler stage 25,25,embryo_67,65,1,65,0,0.3230769230769231,0.0,2290,0.028384279475982533,0.0004366812227074236,1.0,0.0,0.0
Theiler stage 25,25,embryo_68,88,2,88,1,0.2840909090909091,9.5,3217,0.02735467827168169,0.0006216972334473111,1.0,0.5,0.5
Theiler stage 26,26,embryo_69,102,1,102,0,0.3137254901960784,3.0,2604,0.03917050691244239,0.00038402457757296467,1.0,0.0,0.0
Theiler stage 26,26,embryo_70,90,10,90,0,0.08888888888888889,2.1,2703,0.033296337402885685,0.003699593044765076,1.0,0.0,0.0
Theiler stage 26,26,embryo_71,145,3,145,0,0.0896551724137931,2.0,4454,0.032555006735518636,0.000673551863493489,1.0,0.0,0.0
Theiler stage 26,26,embryo_72,69,2,69,0,0.07246376811594203,3.0,2199,0.03137789904502047,0.0009095043201455207,1.0,0.0,0.0
Theiler stage 27,27,embryo_73,94,3,94,0,0.0851063829787234,0.3333333333333333,3528,0.026643990929705215,0.0008503401360544217,1.0,0.0,0.0
Theiler stage 27,27,embryo_74,281,55,281,0,0.03914590747330961,1.4545454545454546,10658,0.026365171702007882,0.005160442859823607,1.0,0.0,0.0
