perturbation,external_cell_type,stage,stage_num,cell_type,devvcell_system,transfer_confidence,response_norm,source_response_norm,transfer_method,response_amplitude,recovery_cost,developmental_delay_score,fate_deflection_index,off_manifold_score,off_manifold_threshold,response_recovery_class
Glis3,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8427568058764611,0.8427568058764611,rdeg_proxy_quick,0.9220211549018813,0.7318319474003075,0.11393628398664413,-0.30403549585285006,0.7318319474003075,0.7523741847328391,reversible_response
Pax3,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8406744209091684,0.8406744209091684,rdeg_proxy_quick,0.9416918267156437,0.7572356141891461,0.11253681249627023,-0.22257335325557714,0.7572356141891461,0.7523741847328391,off_manifold_collapse
Nrg1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8405179425818198,0.8405179425818198,rdeg_proxy_quick,0.9254094458402211,0.7368847733128652,0.11437844224984173,-0.2815575238296357,0.7368847733128652,0.7523741847328391,reversible_response
Zbtb16,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8209996046011268,0.8209996046011268,rdeg_proxy_quick,0.9142695666717346,0.7295210275891353,0.1228543429009008,-0.25426357050267234,0.7295210275891353,0.7523741847328391,reversible_response
Satb1,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8131721882751121,0.8131721882751121,rdeg_proxy_quick,0.9100331515681671,0.7337730545597799,0.1871516574633465,-0.25283612403822364,0.7337730545597799,0.7523741847328391,reversible_response
Otx2,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.812737643948643,0.812737643948643,rdeg_proxy_quick,0.9006200572856754,0.715196060518806,0.12758231582251733,-0.2761107020959984,0.715196060518806,0.7523741847328391,reversible_response
Prdm16,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8084556073826333,0.8084556073826333,rdeg_proxy_quick,0.8864069335213829,0.6987104232997965,0.13099248971514332,-0.316673170137761,0.6987104232997965,0.7523741847328391,reversible_response
Dach2,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.8045872246875431,0.8045872246875431,rdeg_proxy_quick,0.9149082315044177,0.7514092385804495,0.26283199759350484,-0.25305861414256425,0.7514092385804495,0.7523741847328391,reversible_response
Hoxd4,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.7809735063247889,0.7809735063247889,rdeg_proxy_quick,0.8669888918163371,0.6839912579638778,0.14399944031166556,-0.290890420315405,0.6839912579638778,0.7523741847328391,reversible_response
Rorb,RDEG-derived,Theiler stage 13,13,neural_response_axis,rdeg_proxy,1.0,0.7385817292367952,0.7385817292367952,rdeg_proxy_quick,0.807390788969329,0.6237404545379582,0.16976378453387075,-0.37321956474596163,0.6237404545379582,0.7523741847328391,reversible_response
