tf,system_or_cell_type,system_process,ot_grn_evidence_score,n_system_specific_edges,sum_abs_system_weight,mean_abs_system_weight,max_abs_system_weight,n_positive_edges,n_negative_edges,top_system_targets,biological_process_proxy,grn_n_direct_targets,grn_mean_abs_weight,top_grn_targets,global_effect_score,developmental_delay_score,mean_temporal_sensitivity,peak_sensitivity_stage,peak_sensitivity,mutual_information,p_value,significant,mean_out_degree,mass_shift_mean
Foxo3,myotube,muscle fiber maturation,0.33288354732937897,7,0.5193231366574761,0.07418901952249658,0.0885219052433967,0,7,Adamtsl1(-0.089); Pcsk5(-0.087); Tbx3os1(-0.086); Myl7(-0.077); Lhfpl3(-0.067); 9430076C15Rik(-0.060); Ets1(-0.054),muscle fiber maturation,10,0.0896083,"Thsd7a(repressor,0.100); Opcml(activator,0.095); Cpne4(activator,0.092); Cdh20(activator,0.091); Hck(activator,0.091); Coq8a(activator,0.087); Rnf213(activator,0.086); Ehhadh(activator,0.085)",0.0076123396866023,0.0014094278449192,,,,0.0478752014594719,0.028,True,7.375,11142.438095092772
Zbtb16,hematopoietic stem cell,hematopoietic progenitor maintenance and lineage choice,0.32966926266664454,6,0.3956331983208653,0.06593886638681089,0.0746507048606872,5,1,Myo1g(+0.075); Ulbp1(+0.074); Stat4(+0.071); Stab1(-0.063); Selplg(+0.060); Nfe2(+0.053),hematopoietic progenitor maintenance and lineage choice,10,0.1201146,"Scube2(activator,0.148); Klk9(activator,0.130); Slit3(activator,0.124); Pappa(activator,0.121); Hoxd4(activator,0.118); Spon1(activator,0.117); Rnf220(activator,0.117); Trabd2b(activator,0.112)",0.0160443168133497,0.0026541005354374,,,,0.0282783685474151,0.396,False,9.125,25665.518112182617
Mef2c,primitive erythroid progenitor,primitive erythroid differentiation,0.32947482544794615,11,0.9162297844886773,0.08329361677169794,0.0879079103469848,11,0,Hnf1aos1(+0.088); Gm42906(+0.086); Klf9(+0.085); Prdm6(+0.085); Eya1(+0.083); Angpt1(+0.083); Satb2(+0.083); Chst9(+0.082),primitive erythroid differentiation; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.07915180000000001,"Traf3ip3(activator,0.084); Ppl(activator,0.081); Lipc(activator,0.080); Itgal(activator,0.080); Hpn(activator,0.079); Ccdc92b(activator,0.078); Cdkn1a(activator,0.078); Pstpip2(activator,0.078)",0.00662112981081,0.0009509221999906,,,,0.0137033647939257,0.984,False,8.25,14471.658798217772
Bcl11b,hematopoietic stem cell,hematopoietic progenitor maintenance and lineage choice,0.32210929698173135,2,0.16520781069993962,0.08260390534996981,0.082998402416706,2,0,Galnt14(+0.083); Cadps2(+0.082),hematopoietic progenitor maintenance and lineage choice; neural adhesion and axon guidance,10,0.1673023,"Cntnap2(activator,0.389); Cdh10(activator,0.303); Egfem1(activator,0.165); Cdh8(activator,0.139); Edil3(activator,0.137); Kcnq3(activator,0.132); Gm44593(activator,0.131); C130073E24Rik(activator,0.093)",0.0076353135518729,0.0013845451176166,,,,0.0565912927210264,0.004,True,8.875,5661.721481323242
Nrg1,hematopoietic stem cell,hematopoietic progenitor maintenance and lineage choice,0.31311517837032504,2,0.15247108042240132,0.07623554021120066,0.0900969132781028,2,0,Stab1(+0.090); Gm14858(+0.062),hematopoietic progenitor maintenance and lineage choice,10,0.145708,"Epha3(activator,0.306); Nkain2(activator,0.138); March1(activator,0.131); Csmd1(activator,0.130); Rgs20(activator,0.128); Nrxn3(activator,0.127); Pcdh15(activator,0.125); Dgkb(activator,0.124)",0.0195853877812623,0.002594020217657,,,,0.0358542270159847,0.144,False,8.375,6159.672926902771
Ebf2,hematopoietic stem cell,hematopoietic progenitor maintenance and lineage choice,0.30521301363312436,6,0.43246605247259107,0.07207767541209852,0.0798533782362937,6,0,Svep1(+0.080); Lgr5(+0.076); Gm42906(+0.074); Dlx1(+0.071); Slc44a5(+0.068); Pf4(+0.064),hematopoietic progenitor maintenance and lineage choice; myogenic / mesoderm morphogenesis; ECM and tissue morphogenesis,10,0.0848092,"Mecom(activator,0.105); Gm44536(activator,0.100); Otx2(activator,0.093); Six3os1(activator,0.086); Coq8a(repressor,0.080); Dlk1(activator,0.080); Cntn6(activator,0.078); Sv2c(repressor,0.077)",0.0061583998613059,0.0009722698596306,,,,0.0305167033138769,0.364,False,12.375,5131.910202026367
Zbtb16,erythroid progenitor cell,definitive erythroid differentiation,0.3033421474970166,4,0.30571919679641724,0.07642979919910431,0.0821390375494957,4,0,P2ry14(+0.082); Uap1l1(+0.080); Fer1l4(+0.079); Slc22a3(+0.064),definitive erythroid differentiation,10,0.1201146,"Scube2(activator,0.148); Klk9(activator,0.130); Slit3(activator,0.124); Pappa(activator,0.121); Hoxd4(activator,0.118); Spon1(activator,0.117); Rnf220(activator,0.117); Trabd2b(activator,0.112)",0.0160443168133497,0.0026541005354374,,,,0.0282783685474151,0.396,False,9.125,25665.518112182617
Nrg1,cardiac muscle cell,cardiac muscle differentiation,0.29935345926998586,1,0.1054712012410163,0.1054712012410163,0.1054712012410163,1,0,Trpc5(+0.105),cardiac muscle differentiation,10,0.145708,"Epha3(activator,0.306); Nkain2(activator,0.138); March1(activator,0.131); Csmd1(activator,0.130); Rgs20(activator,0.128); Nrxn3(activator,0.127); Pcdh15(activator,0.125); Dgkb(activator,0.124)",0.0195853877812623,0.002594020217657,,,,0.0358542270159847,0.144,False,8.375,6159.672926902771
Bcl11b,primitive erythroid progenitor,primitive erythroid differentiation,0.29798663607639636,1,0.082822598516941,0.082822598516941,0.082822598516941,1,0,Egfr(+0.083),primitive erythroid differentiation,10,0.1673023,"Cntnap2(activator,0.389); Cdh10(activator,0.303); Egfem1(activator,0.165); Cdh8(activator,0.139); Edil3(activator,0.137); Kcnq3(activator,0.132); Gm44593(activator,0.131); C130073E24Rik(activator,0.093)",0.0076353135518729,0.0013845451176166,,,,0.0565912927210264,0.004,True,8.875,5661.721481323242
Foxo3,cardiac muscle cell,cardiac muscle differentiation,0.29615707208946457,5,0.3938925936818121,0.07877851873636242,0.0945351868867874,5,0,Pdzrn4(+0.095); Nr3c2(+0.081); Gata2(+0.073); Cpa4(+0.072); Hnf1aos1(+0.072),cardiac muscle differentiation,10,0.0896083,"Thsd7a(repressor,0.100); Opcml(activator,0.095); Cpne4(activator,0.092); Cdh20(activator,0.091); Hck(activator,0.091); Coq8a(activator,0.087); Rnf213(activator,0.086); Ehhadh(activator,0.085)",0.0076123396866023,0.0014094278449192,,,,0.0478752014594719,0.028,True,7.375,11142.438095092772
