stage,stage_num,tf_name,virtual_cell_response_proxy,feedback_cost_proxy,recovery_probability_proxy,baseline_dev_step_norm,stage_vulnerability_score,tf_priority_score
Theiler stage 15,15,Prox1,0.12399820862590381,0.12399820862590381,0.2258287063686358,0.0595456505419047,0.6049293945595217,0.6226286711254221
Theiler stage 24,24,Satb2,0.12365613113204671,0.10864486090204638,0.2715148809925456,0.05419335040756281,0.2817583744516043,0.8485568526711808
Theiler stage 17,17,Satb2,0.11685906536405492,0.10267292681236542,0.2916866638858977,0.047288930072503815,0.4711716925057417,0.8485568526711808
Theiler stage 13,13,Rfx4,0.1156671573306692,0.09146931574522447,0.33366032685747193,0.05335064067613364,0.48809597054710635,0.7101176189887484
Theiler stage 13,13,Lef1,0.11133582650664059,0.11133582650664059,0.2628872836154565,0.05335064067613364,0.48809597054710635,0.6669700902954203
Theiler stage 13,13,Eya1,0.11104627026481546,0.10728279394791738,0.27598920471675936,0.05335064067613364,0.48809597054710635,0.6874957220103752
Theiler stage 14,14,Rfx4,0.10933720051630548,0.08646360079667227,0.35431702719933245,0.04822758621980281,0.5871494513452701,0.7101176189887484
Theiler stage 27,27,Rfx4,0.10814138346635803,0.08551795148843805,0.3583606426803552,0.05419335040756281,0.3155136264266399,0.7101176189887484
Theiler stage 24,24,Rfx4,0.10631207326797935,0.08407133728962007,0.3646358671970598,0.05419335040756281,0.2817583744516043,0.7101176189887484
Theiler stage 14,14,Lef1,0.10542179053968687,0.10542179053968687,0.28222194277425067,0.04822758621980281,0.5871494513452701,0.6669700902954203
Theiler stage 14,14,Eya1,0.10516003925720693,0.10159605357551972,0.2954804383198967,0.04822758621980281,0.5871494513452701,0.6874957220103752
Theiler stage 13,13,Prox1,0.10486454606733696,0.10486454606733696,0.28411546606185517,0.05335064067613364,0.48809597054710635,0.6226286711254221
Theiler stage 27,27,Lef1,0.10374163631987876,0.10374163631987876,0.2879698085288212,0.05419335040756281,0.3155136264266399,0.6669700902954203
Theiler stage 27,27,Eya1,0.1034475063398625,0.09994156022187214,0.3014055066666647,0.05419335040756281,0.3155136264266399,0.6874957220103752
Theiler stage 20,20,Satb2,0.10308620744931814,0.09057202879241733,0.3372724070897674,0.045937834115256426,0.24403717403564187,0.8485568526711808
Theiler stage 24,24,Lef1,0.10191232612150009,0.10191232612150009,0.2943611354858046,0.05419335040756281,0.2817583744516043,0.6669700902954203
Theiler stage 17,17,Rfx4,0.10172470047723511,0.08044365368503323,0.38085984050769783,0.047288930072503815,0.4711716925057417,0.7101176189887484
Theiler stage 24,24,Eya1,0.10161819614148382,0.09817424729356333,0.3078659039732462,0.05419335040756281,0.2817583744516043,0.6874957220103752
Theiler stage 14,14,Prox1,0.09957192198358805,0.09957192198358805,0.30274540814863776,0.04822758621980281,0.5871494513452701,0.6226286711254221
Theiler stage 17,17,Lef1,0.09788549633905505,0.09788549633905505,0.3089345131592045,0.047288930072503815,0.4711716925057417,0.6669700902954203
Theiler stage 17,17,Eya1,0.09762883953609654,0.09432009423052135,0.3224390571224856,0.047288930072503815,0.4711716925057417,0.6874957220103752
Theiler stage 27,27,Prox1,0.0971681375954356,0.0971681375954356,0.311605395039347,0.05419335040756281,0.3155136264266399,0.6226286711254221
Theiler stage 23,23,Satb2,0.09622356528306612,0.08454247896947498,0.36258014203962435,0.04431907882559048,0.17115445160167062,0.8485568526711808
Theiler stage 24,24,Prox1,0.09533882739705693,0.09533882739705693,0.31852130046509614,0.05419335040756281,0.2817583744516043,0.6226286711254221
Theiler stage 17,17,Prox1,0.09214948409448814,0.09214948409448814,0.33094806834426116,0.047288930072503815,0.4711716925057417,0.6226286711254221
Theiler stage 16,16,Satb2,0.09184643191890553,0.08069670892034483,0.3797050518282885,0.036430818336091894,0.5211190995375902,0.8485568526711808
Theiler stage 20,20,Rfx4,0.08838424776140508,0.06989405507978638,0.4322597229079977,0.045937834115256426,0.24403717403564187,0.7101176189887484
Theiler stage 20,20,Lef1,0.08465473384421734,0.08465473384421734,0.36209205419372525,0.045937834115256426,0.24403717403564187,0.6669700902954203
Theiler stage 20,20,Eya1,0.08440541000413926,0.08154482080279893,0.3758602614934459,0.045937834115256426,0.24403717403564187,0.6874957220103752
Theiler stage 23,23,Rfx4,0.0820396725757067,0.06487677995759329,0.45908433037449214,0.04431907882559048,0.17115445160167062,0.7101176189887484
Theiler stage 18,18,Satb2,0.08199050587083133,0.07203724574006448,0.42128448006420643,0.035199623320318896,0.3293006611097032,0.8485568526711808
Theiler stage 16,16,Rfx4,0.08018710071859046,0.06341177049380187,0.4672264449890613,0.036430818336091894,0.5211190995375902,0.7101176189887484
Theiler stage 20,20,Prox1,0.07908260568293321,0.07908260568293321,0.3871313382534603,0.045937834115256426,0.24403717403564187,0.6226286711254221
Theiler stage 23,23,Lef1,0.07844157909872046,0.07844157909872046,0.3901207590547558,0.04431907882559048,0.17115445160167062,0.6669700902954203
Theiler stage 23,23,Eya1,0.07820104092067322,0.07555072439261797,0.4038916246958137,0.04431907882559048,0.17115445160167062,0.6874957220103752
Theiler stage 16,16,Lef1,0.07722942440198177,0.07722942440198177,0.3958368716707252,0.036430818336091894,0.5211190995375902,0.6669700902954203
Theiler stage 16,16,Eya1,0.07703169911301945,0.07442101282368332,0.40940427901824605,0.036430818336091894,0.5211190995375902,0.6874957220103752
Theiler stage 23,23,Prox1,0.07306580133378163,0.07306580133378163,0.4161166638853163,0.04431907882559048,0.17115445160167062,0.6226286711254221
Theiler stage 16,16,Prox1,0.07281047011955193,0.07281047011955193,0.4173935899975219,0.036430818336091894,0.5211190995375902,0.6226286711254221
Theiler stage 18,18,Rfx4,0.07072520673229,0.0559293270020288,0.5111194677524693,0.035199623320318896,0.3293006611097032,0.7101176189887484
Theiler stage 18,18,Lef1,0.06786748634600612,0.06786748634600612,0.4429006341893676,0.035199623320318896,0.3293006611097032,0.6669700902954203
Theiler stage 18,18,Eya1,0.06767644326736412,0.06538281655805427,0.4563050158378444,0.035199623320318896,0.3293006611097032,0.6874957220103752
Theiler stage 18,18,Prox1,0.06359787250488244,0.06359787250488244,0.46618418784662286,0.035199623320318896,0.3293006611097032,0.6226286711254221
