tf_name,devvcell_priority_score,response_amplitude_proxy,fate_displacement_proxy,feedback_cost,recovery_probability_proxy,global_effect_score,developmental_delay_score,mass_shift_mean,window_sensitivity,peak_stage,peak_sensitivity,best_rescuer_tf,best_rescue_fraction,n_affected_genes
Dach2,0.5071676081037266,0.609396760827048,0.6174001963000764,0.5433366085101157,1.0,0.0171716455370187,0.0028559644706547,11747.649154663086,0.00014496208799144998,Theiler stage 19,0.0001459881605114,Glis3,0.4566633914898843,533
Hoxd4,0.4708388106225664,0.43044512622333747,0.5749441714737522,1.0,0.0820849986238988,0.0121740223839879,0.0025344679597765,9930.514572143557,,,,not_observed,0.0,462
Rorb,0.40562069202565315,0.358518678308078,0.4390254161962498,1.0,0.0820849986238988,0.0101653160527348,0.0019533396698534,1727.8109436035156,,,,not_observed,0.0,363
Ebf1,0.39210721032618157,0.3404089092269313,0.48121101775757785,1.0,0.0820849986238988,0.0096595603972673,0.0012478495482355,32549.20524597168,,,,not_observed,0.0,389
Foxo3,0.3648192417142536,0.26710336350047986,0.4551776002619634,1.0,0.0820849986238988,0.0076123396866023,0.0014094278449192,11142.438095092772,,,,not_observed,0.0,365
Bcl11b,0.3584596597817273,0.26792599670379497,0.424693300973396,1.0,0.0820849986238988,0.0076353135518729,0.0013845451176166,5661.721481323242,,,,not_observed,0.0,329
Pax5,0.3523928460439587,0.2545909050522933,0.41539895602241805,1.0,0.0820849986238988,0.0072629014030098,0.001405301853083,4266.186721801758,,,,not_observed,0.0,368
Etv1,0.3348644483919337,0.20103614291912525,0.4375530494484977,1.0,0.0820849986238988,0.0057672653347253,0.001260018791072,10849.108383178713,,,,not_observed,0.0,263
Mef2c,0.3342455145539287,0.23161076590420013,0.4151536409413128,1.0,0.0820849986238988,0.00662112981081,0.0009509221999906,14471.658798217772,,,,not_observed,0.0,299
Ebf2,0.32089838348149813,0.2150416332768964,0.3750518965780635,1.0,0.0820849986238988,0.0061583998613059,0.0009722698596306,5131.910202026367,,,,not_observed,0.0,291
Pax2,0.3087657370952671,0.183920800253023,0.3484023540236795,1.0,0.0820849986238988,0.0052892812527716,0.001157070393674,1624.7602996826172,,,,not_observed,0.0,316
Nr3c2,0.29615650985842346,0.17553799850241902,0.34094210647398177,1.0,0.0820849986238988,0.0050551728345453,0.0007872845162637,3678.095657348633,,,,not_observed,0.0,249
Pou6f2,0.2851351988011226,0.16368271620232613,0.3187823811673967,1.0,0.0820849986238988,0.0047240876592695,0.0006770239560864,2884.047073364258,,,,not_observed,0.0,258
Wnt8b,0.27299622311575955,0.15736681872547784,0.2779954976251586,1.0,0.0820849986238988,0.0045477021485567,0.0005969936610199,1322.1999969482422,,,,not_observed,0.0,214
Lmx1b,0.2580649393765965,0.12418079052269691,0.26946725873838884,1.0,0.0820849986238988,0.0036209083627909,0.0005242165061645,1306.9263153076172,,,,not_observed,0.0,216
Hnf1aos1,0.2501747725158751,0.09570724537125187,0.260049794020864,1.0,0.0820849986238988,0.0028257211670279,0.0007031205459497,640.0334320068359,,,,not_observed,0.0,137
Lmx1a,0.24660987501192053,0.09921735935555442,0.2723772157908692,1.0,0.0820849986238988,0.0029237489216029,0.0003751012263819,2099.643280029297,,,,not_observed,0.0,158
Pax8,0.24586339855195724,0.07369684663898184,0.3006669146382745,1.0,0.0820849986238988,0.002211031736806,0.0004893268924206,3077.058059692383,,,,not_observed,0.0,118
Wnt1,0.23659948781095771,0.08016617914779617,0.26524853885344485,1.0,0.0820849986238988,0.0023917022626847,0.000288486800855,2229.3829193115234,,,,not_observed,0.0,146
Tcf7,0.23461226651206066,0.05977425571830799,0.2632753348596363,1.0,0.0820849986238988,0.0018222123617306,0.0005390382721088,1079.319839477539,,,,not_observed,0.0,75
Ebf3,0.2327628771848605,0.08966355251261243,0.2159305996164048,1.0,0.0820849986238988,0.0026569375768303,0.000410626467783,480.12156677246094,,,,not_observed,0.0,125
Eya2,0.22156066182778786,0.05507746299136802,0.24241748527228218,1.0,0.0820849986238988,0.0016910439589992,0.0002120476419804,1569.3631591796875,,,,not_observed,0.0,88
Runx2,0.22120301343079907,0.04678618952257413,0.24663579123519644,1.0,0.0820849986238988,0.0014594916719943,0.000288896728307,1413.4042205810547,,,,not_observed,0.0,48
Tfap2b,0.21317686284282572,0.04007814648601266,0.23330956409168122,1.0,0.0820849986238988,0.0012721546227112,0.0001527398999314,1474.7476654052734,,,,not_observed,0.0,40
