method,shuffle_time,lineage,module_name,feature_type,mse,mae,n_predictions,bias,pearson,spearman
dct_wavelet,False,neural,intermediate,module_score,0.011503402809166879,0.10494163053310074,4,-0.03935445053312319,-0.2719400903130017,-0.39999999999999997
dct_wavelet,True,neural,intermediate,module_score,0.017226505882203737,0.10859611543673495,4,0.06287143525284654,-0.3099483146165115,-0.6000000000000001
dct_wavelet,False,neural,latent_1,latent_dimension,2.6096645734932706,1.38123228873755,4,-0.7996607987428028,-0.6167061285036549,-0.6000000000000001
dct_wavelet,True,neural,latent_1,latent_dimension,3.461123739121966,1.7223533988085702,4,-0.7996607987427975,-0.8225951543834272,-0.7999999999999999
dct_wavelet,False,neural,latent_2,latent_dimension,11.805499592726367,3.3148026798153998,4,-0.4233919175156631,0.5866485435324381,0.6000000000000001
dct_wavelet,True,neural,latent_2,latent_dimension,60.19188879959779,6.922314101432189,4,-1.7473368996001715,-0.6100230826336164,-0.39999999999999997
dct_wavelet,False,neural,latent_3,latent_dimension,0.7948568140766246,0.8224279879802222,4,-0.053077530731983735,-0.494365498376309,0.0
dct_wavelet,True,neural,latent_3,latent_dimension,0.8947600892016961,0.8321377942546764,4,0.08794914868222531,-0.8150242329759161,-0.7999999999999999
dct_wavelet,False,neural,latent_4,latent_dimension,7.0382197233502435,2.574060752006623,4,-0.7691361697408018,-0.8126231298698983,-0.39999999999999997
dct_wavelet,True,neural,latent_4,latent_dimension,7.038219723350244,2.5740607520066234,4,-0.7691361697408021,-0.812623129869898,-0.39999999999999997
dct_wavelet,False,neural,latent_5,latent_dimension,5.660099435925193,2.2711438510358297,4,-0.9641689901651441,-0.015224996362475957,0.0
dct_wavelet,True,neural,latent_5,latent_dimension,10.388711172646895,2.8382823600509406,4,-1.5190674141905345,-0.7331779849366711,-0.7999999999999999
dct_wavelet,False,neural,mesoderm,module_score,0.005582384645003216,0.04834382919535035,4,0.027303211316373865,0.6577801313940392,0.7999999999999999
dct_wavelet,True,neural,mesoderm,module_score,0.029072279138628636,0.15180844782131886,4,0.02730321131637385,-0.3947622950757811,-0.39999999999999997
dct_wavelet,False,neural,neural,module_score,0.00023070379486426774,0.011126946859711932,4,0.0019220959539466217,0.8798743802513079,0.6000000000000001
dct_wavelet,True,neural,neural,module_score,0.0029671261663167933,0.0506681571986714,4,0.001922095953946594,-0.4530318035386256,0.0
dct_wavelet,False,neural,paraxial_mesoderm,module_score,0.000578515683197377,0.02178587272485876,4,0.004945063562856485,0.5738411735315552,0.6000000000000001
dct_wavelet,True,neural,paraxial_mesoderm,module_score,0.002104501018130003,0.042862958998045014,4,0.004945063562856488,-0.17159896960499638,0.0
dct_wavelet,False,neural,stress,module_score,9.546516470900363e-05,0.007068869714597817,4,0.0034586430835100296,0.8421011066146225,0.6000000000000001
dct_wavelet,True,neural,stress,module_score,0.0009017916185190724,0.02622867986609735,4,-0.003458643083510196,-0.799089338527553,-0.7999999999999999
dct_wavelet,False,neural,wnt_response,module_score,0.018718621319058302,0.12140636153803652,4,-0.036378770749846905,0.8073772145301359,0.6000000000000001
dct_wavelet,True,neural,wnt_response,module_score,0.008901131598246338,0.06878920861528523,4,0.01027851601030575,0.9095606997841112,0.6000000000000001
linear,False,mesodermal,apoptosis,module_score,0.0011860470825566852,0.02670936353728212,4,0.013198084510851638,-0.05768147199009527,-0.6000000000000001
linear,True,mesodermal,apoptosis,module_score,0.0013070194755249267,0.02982618786424071,4,0.010081260183893048,-0.13458177450357595,-0.6000000000000001
linear,False,mesodermal,cardiac,module_score,0.0003137770527084093,0.013885713081809957,4,0.000587200062719442,0.4911578290732241,0.39999999999999997
linear,True,mesodermal,cardiac,module_score,0.000353461583151329,0.014833790522121294,4,-0.002209379601985865,0.4421163441365563,0.0
linear,False,mesodermal,cell_cycle,module_score,0.0015354256900882025,0.03569063400502728,4,-0.004380654302084536,0.3655052629789541,0.39999999999999997
linear,True,mesodermal,cell_cycle,module_score,0.00316808657568487,0.05238004338635763,4,0.020075886494126144,-0.6780275048278618,-0.6000000000000001
