run_name,seed,pairing_method,latent_dim,max_pairs_per_transition,model,system,src_stage,tgt_stage,n_pairs,pair_latent_mse,centroid_latent_mse,rbf_mmd
transition_seed42_sinkhorn,42,sinkhorn,48,350,mean_shift,erythroid,17,18,350,0.1360703110694885,0.0500963516533374,0.0869832038879394
transition_seed42_sinkhorn,42,sinkhorn,48,350,mean_shift,mesoderm_muscle,14,15,350,0.2468703389167785,0.0132832815870642,0.0286060571670532
transition_seed42_sinkhorn,42,sinkhorn,48,350,mean_shift,mesoderm_muscle,17,18,350,0.5627010464668274,0.0263560134917497,0.0149288177490234
transition_seed42_sinkhorn,42,sinkhorn,48,350,mean_shift,neural,14,15,350,0.1867228746414184,0.0066350996494293,0.0397834777832031
transition_seed42_sinkhorn,42,sinkhorn,48,350,mean_shift,neural,17,18,350,0.606013298034668,0.0310883168131113,0.0134400129318237
transition_seed42_sinkhorn,42,sinkhorn,48,350,ridge,erythroid,14,15,350,0.4142843782901764,0.0434909760951995,0.0391629934310913
transition_seed42_sinkhorn,42,sinkhorn,48,350,ridge,erythroid,17,18,350,0.1157758459448814,0.0314731784164905,0.1258336305618286
transition_seed42_sinkhorn,42,sinkhorn,48,350,ridge,mesoderm_muscle,14,15,350,0.1696566492319107,0.008052640594542,0.0335822105407714
transition_seed42_sinkhorn,42,sinkhorn,48,350,ridge,mesoderm_muscle,17,18,350,0.5062183737754822,0.0208746474236249,0.0247102975845336
transition_seed42_sinkhorn,42,sinkhorn,48,350,ridge,neural,14,15,350,0.0960495695471763,0.0040254956111311,0.0236457586288452
transition_seed42_sinkhorn,42,sinkhorn,48,350,ridge,neural,17,18,350,0.5894184708595276,0.025662051513791,0.0194017887115478
transition_seed42_sinkhorn,42,sinkhorn,48,350,context_residual_mlp,erythroid,14,15,350,0.3945432007312774,0.0384334810078144,0.0241693258285522
transition_seed42_sinkhorn,42,sinkhorn,48,350,context_residual_mlp,erythroid,17,18,350,0.0991894975304603,0.0302273463457822,0.0870149135589599
transition_seed42_sinkhorn,42,sinkhorn,48,350,context_residual_mlp,mesoderm_muscle,14,15,350,0.1549113988876342,0.0049775303341448,0.0139651298522949
transition_seed42_sinkhorn,42,sinkhorn,48,350,context_residual_mlp,mesoderm_muscle,17,18,350,0.4813845455646515,0.0172138679772615,0.0093713998794555
transition_seed42_sinkhorn,42,sinkhorn,48,350,context_residual_mlp,neural,14,15,350,0.1092192754149437,0.0028779364656656,0.0142397880554199
transition_seed42_sinkhorn,42,sinkhorn,48,350,context_residual_mlp,neural,17,18,350,0.5683578848838806,0.0211419109255075,0.0103650093078613
transition_seed42_nearest,42,nearest,48,350,identity,erythroid,14,15,350,0.1252524107694625,0.0063929609023034,0.0154459476470947
transition_seed42_nearest,42,nearest,48,350,identity,erythroid,17,18,350,0.0608758330345153,0.0019032341660931,0.0084677934646606
transition_seed42_nearest,42,nearest,48,350,identity,mesoderm_muscle,14,15,350,0.2033814638853073,0.0033816758077591,0.0128917694091796
transition_seed42_nearest,42,nearest,48,350,identity,mesoderm_muscle,17,18,350,0.3979738652706146,0.0072979615069925,0.0180078744888305
transition_seed42_nearest,42,nearest,48,350,identity,neural,14,15,350,0.1569201797246933,0.0032880201470106,0.0126925706863403
transition_seed42_nearest,42,nearest,48,350,identity,neural,17,18,350,0.4440638720989227,0.0053789224475622,0.0063010454177856
transition_seed42_nearest,42,nearest,48,350,mean_shift,erythroid,14,15,350,0.1285929679870605,0.0097335251048207,0.0218992233276367
transition_seed42_nearest,42,nearest,48,350,mean_shift,erythroid,17,18,350,0.0663652941584587,0.0073926909826695,0.0173611640930175
transition_seed42_nearest,42,nearest,48,350,mean_shift,mesoderm_muscle,14,15,350,0.2051481157541275,0.0051483623683452,0.020425796508789
transition_seed42_nearest,42,nearest,48,350,mean_shift,mesoderm_muscle,17,18,350,0.3976596593856811,0.0069837276823818,0.0131114721298217
transition_seed42_nearest,42,nearest,48,350,mean_shift,neural,14,15,350,0.1560326516628265,0.0024004804436117,0.0158895254135131
transition_seed42_nearest,42,nearest,48,350,mean_shift,neural,17,18,350,0.4455452263355255,0.0068603181280195,0.0066992044448852
transition_seed42_nearest,42,nearest,48,350,ridge,erythroid,14,15,350,0.0764573514461517,0.0017048647860065,0.0163722038269042
transition_seed42_nearest,42,nearest,48,350,ridge,erythroid,17,18,350,0.05006068572402,0.0025027939118444,0.0269911289215087
transition_seed42_nearest,42,nearest,48,350,ridge,mesoderm_muscle,14,15,350,0.1099755764007568,0.0012701938394457,0.0170947313308715
transition_seed42_nearest,42,nearest,48,350,ridge,mesoderm_muscle,17,18,350,0.2246730774641037,0.0031817809212952,0.012183666229248
transition_seed42_nearest,42,nearest,48,350,ridge,neural,14,15,350,0.0837292075157165,0.0016526993131265,0.0200579166412353
transition_seed42_nearest,42,nearest,48,350,ridge,neural,17,18,350,0.3416132032871246,0.002164245583117,0.0128015279769897
transition_seed42_nearest,42,nearest,48,350,context_residual_mlp,erythroid,14,15,350,0.0782306119799614,0.0015704977558925,0.0036462545394897
transition_seed42_nearest,42,nearest,48,350,context_residual_mlp,erythroid,17,18,350,0.0456912666559219,0.001428559073247,0.005965232849121
transition_seed42_nearest,42,nearest,48,350,context_residual_mlp,mesoderm_muscle,14,15,350,0.1193149983882904,0.0014218104770407,0.0064520835876464
transition_seed42_nearest,42,nearest,48,350,context_residual_mlp,mesoderm_muscle,17,18,350,0.2426966428756714,0.0013376468559727,0.0026102066040039
transition_seed42_nearest,42,nearest,48,350,context_residual_mlp,neural,14,15,350,0.0913296341896057,0.001150793978013,0.0047235488891601
transition_seed42_nearest,42,nearest,48,350,context_residual_mlp,neural,17,18,350,0.3541928231716156,0.0023869306314736,0.0044469833374023
transition_seed99_sinkhorn,99,sinkhorn,48,350,identity,erythroid,14,15,350,0.4591655731201172,0.0468376986682415,0.0473510026931762
transition_seed99_sinkhorn,99,sinkhorn,48,350,identity,erythroid,17,18,350,0.0986461043357849,0.0357529297471046,0.0642541646957397
transition_seed99_sinkhorn,99,sinkhorn,48,350,identity,mesoderm_muscle,14,15,350,0.2041127830743789,0.0104347513988614,0.0232512950897216
transition_seed99_sinkhorn,99,sinkhorn,48,350,identity,mesoderm_muscle,17,18,350,0.4771892726421356,0.0234660413116216,0.0166441202163696
transition_seed99_sinkhorn,99,sinkhorn,48,350,identity,neural,14,15,350,0.1652469187974929,0.0046847290359437,0.0300323963165283
transition_seed99_sinkhorn,99,sinkhorn,48,350,identity,neural,17,18,350,0.6423550248146057,0.0307406391948461,0.0105271339416503
transition_seed99_sinkhorn,99,sinkhorn,48,350,mean_shift,erythroid,14,15,350,0.4783772528171539,0.0660494193434715,0.067380666732788
transition_seed99_sinkhorn,99,sinkhorn,48,350,mean_shift,erythroid,17,18,350,0.1066228523850441,0.0437296442687511,0.0795176029205322
transition_seed99_sinkhorn,99,sinkhorn,48,350,mean_shift,mesoderm_muscle,14,15,350,0.2057303041219711,0.0120522556826472,0.0252269506454467
transition_seed99_sinkhorn,99,sinkhorn,48,350,mean_shift,mesoderm_muscle,17,18,350,0.4779161512851715,0.0241930428892374,0.0196977853775024
transition_seed99_sinkhorn,99,sinkhorn,48,350,mean_shift,neural,14,15,350,0.167810633778572,0.0072484239935874,0.0340973138809204
transition_seed99_sinkhorn,99,sinkhorn,48,350,mean_shift,neural,17,18,350,0.6430923342704773,0.0314779542386531,0.0114237070083618
transition_seed99_sinkhorn,99,sinkhorn,48,350,ridge,erythroid,14,15,350,0.4425067901611328,0.0449466295540332,0.0473192930221557
transition_seed99_sinkhorn,99,sinkhorn,48,350,ridge,erythroid,17,18,350,0.0835604593157768,0.0278734061866998,0.1142616271972656
transition_seed99_sinkhorn,99,sinkhorn,48,350,ridge,mesoderm_muscle,14,15,350,0.1865804642438888,0.0076901144348084,0.0308178663253784
transition_seed99_sinkhorn,99,sinkhorn,48,350,ridge,mesoderm_muscle,17,18,350,0.42179736495018,0.0200030021369457,0.0218605995178222
transition_seed99_sinkhorn,99,sinkhorn,48,350,ridge,neural,14,15,350,0.0970661044120788,0.0046284208074212,0.0229008197784423
transition_seed99_sinkhorn,99,sinkhorn,48,350,ridge,neural,17,18,350,0.6339710354804993,0.0311563219875097,0.0268235206604003
transition_seed99_sinkhorn,99,sinkhorn,48,350,context_residual_mlp,erythroid,14,15,350,0.4126512110233307,0.0405866764485836,0.0293687582015991
