seed,variant,branch_event_step,event_definition,local_velocity_alignment_A_pre_mean,local_velocity_alignment_A_post_mean,local_velocity_alignment_A_effect,branch_cohesion_C_pre_mean,branch_cohesion_C_post_mean,branch_cohesion_C_effect,lineage_separation_S_pre_mean,lineage_separation_S_post_mean,lineage_separation_S_effect,fate_entropy_H_pre_mean,fate_entropy_H_post_mean,fate_entropy_H_effect,branch_imbalance_B_pre_mean,branch_imbalance_B_post_mean,branch_imbalance_B_effect,local_density_mean_pre_mean,local_density_mean_post_mean,local_density_mean_effect,n_agents_pre_mean,n_agents_post_mean,n_agents_effect
23,M8_ot_swarm_birth_death_diffusion_cci,1,max_ranked_separation_entropy_imbalance_change,0.7677474021911621,0.7636271715164185,-0.004120230674743652,0.8634503433777918,0.9049128719393411,0.041462528561549306,9.93937404701886,9.551771813236439,-0.3876022337824221,0.4723290569323394,0.4642186919047448,-0.008110365027594602,0.1366666666666667,0.2427392789144428,0.10607261224777612,0.5249093217701896,0.545889296184962,0.020979974414772395,300.0,183.0,-117.0
23,M9_full_memory,1,max_ranked_separation_entropy_imbalance_change,0.7604773044586182,0.7574865221977234,-0.0029907822608947754,0.8634503433777918,0.9051905400920754,0.04174019671428364,9.93937404701886,9.520166688638636,-0.41920735838022516,0.4723290569323394,0.4642186919047448,-0.008110365027594602,0.1366666666666667,0.2427392789144428,0.10607261224777612,0.5249093217701896,0.5453424430593135,0.02043312128912389,300.0,183.0,-117.0
42,M5_ot_swarm,2,max_ranked_separation_entropy_imbalance_change,0.754110723733902,0.7641639113426208,0.010053187608718872,0.8570644494828066,0.8572611586380828,0.00019670915527625343,9.681025875831356,8.598902424082604,-1.0821234517487515,0.4824500626171324,0.4824500626171324,0.0,0.1166666666666666,0.1166666666666666,0.0,0.5173503937457337,0.5315377232796458,0.014187329533912107,300.0,300.0,0.0
42,M7_ot_swarm_birth_death_diffusion,1,max_ranked_separation_entropy_imbalance_change,0.7529194355010986,0.6994876563549042,-0.05343177914619446,0.8570391575661092,0.8972258676233251,0.04018671005721597,9.93307932650292,9.300311108495945,-0.6327682180069747,0.4824500626171324,0.5132343096887104,0.030784247071578008,0.1166666666666666,0.1303786933000416,0.013712026633374994,0.515519578560952,0.5127838605235835,-0.0027357180373684953,300.0,156.5,-143.5
42,M8_ot_swarm_birth_death_diffusion_cci,1,max_ranked_separation_entropy_imbalance_change,0.7523862719535828,0.6993474662303925,-0.05303880572319031,0.8570391575661092,0.8971503337553545,0.04011117618924531,9.93307932650292,9.300214447715412,-0.6328648787875082,0.4824500626171324,0.5132343096887104,0.030784247071578008,0.1166666666666666,0.1303786933000416,0.013712026633374994,0.515519578560952,0.5134133572150048,-0.002106221345947179,300.0,156.5,-143.5
42,M9_full_memory,1,max_ranked_separation_entropy_imbalance_change,0.7446471452713013,0.6928156316280365,-0.05183151364326477,0.8570391575661092,0.8976420618244116,0.040602904258302486,9.93307932650292,9.271156469046112,-0.6619228574568083,0.4824500626171324,0.5132343096887104,0.030784247071578008,0.1166666666666666,0.1303786933000416,0.013712026633374994,0.515519578560952,0.5128122417146496,-0.0027073368463024217,300.0,156.5,-143.5
99,M5_ot_swarm,2,max_ranked_separation_entropy_imbalance_change,0.7740970551967621,0.7977414131164551,0.023644357919692993,0.8842138932412313,0.8884881624854073,0.0042742692441759544,9.665149613622624,8.57489718951116,-1.0902524241114637,0.4691626679202525,0.4691626679202525,0.0,0.1133333333333333,0.1133333333333333,0.0,0.5497301068024356,0.560173832194408,0.010443725391972358,300.0,300.0,0.0
99,M7_ot_swarm_birth_death_diffusion,2,max_ranked_separation_entropy_imbalance_change,0.763640433549881,0.7109167575836182,-0.05272367596626282,0.8857791178704211,0.9248887018781484,0.03910958400772735,9.755659487729446,9.684229997760395,-0.07142948996905041,0.4683975557038771,0.4658861810458882,-0.0025113746579888963,0.12777777777777774,0.2213740458015267,0.09359626802374896,0.549535541074252,0.5510691848189765,0.0015336437447245332,262.5,131.0,-131.5
99,M8_ot_swarm_birth_death_diffusion_cci,2,max_ranked_separation_entropy_imbalance_change,0.7631935477256775,0.7112763524055481,-0.051917195320129395,0.8857458851323881,0.924866997270932,0.03912111213854397,9.755615715730816,9.683991696868286,-0.07162401886252923,0.4683975557038771,0.4658861810458882,-0.0025113746579888963,0.12777777777777774,0.2213740458015267,0.09359626802374896,0.5496448857909415,0.5514000093398527,0.0017551235489111638,262.5,131.0,-131.5
99,M9_full_memory,2,max_ranked_separation_entropy_imbalance_change,0.7561057209968567,0.7052217721939087,-0.050883948802948,0.8856955320717464,0.9248064223486738,0.03911089027692738,9.75075810254077,9.647180334697532,-0.10357776784323747,0.4683975557038771,0.4658861810458882,-0.0025113746579888963,0.12777777777777774,0.2213740458015267,0.09359626802374896,0.5497511774971326,0.5516641943955082,0.0019130168983755302,262.5,131.0,-131.5
