source_lineage,target_lineage,mass,source_time,target_time
Pharyngeal mesoderm,Surface ectoderm,0.00017998841940425336,8.0,8.25
Rostral neurectoderm,Allantois,1.53116779983975e-05,8.0,8.25
Rostral neurectoderm,Cardiomyocytes,1.832954330893699e-05,8.0,8.25
Rostral neurectoderm,Def. endoderm,4.131841049859197e-11,8.0,8.25
Rostral neurectoderm,ExE mesoderm,0.00016001374751795083,8.0,8.25
Rostral neurectoderm,Gut,1.31240611267458e-07,8.0,8.25
Rostral neurectoderm,Intermediate mesoderm,1.1578725207073148e-05,8.0,8.25
Rostral neurectoderm,Mesenchyme,0.0003397743566893041,8.0,8.25
Rostral neurectoderm,Paraxial mesoderm,0.011702483519911766,8.0,8.25
Rostral neurectoderm,Pharyngeal mesoderm,0.008216431364417076,8.0,8.25
Rostral neurectoderm,Rostral neurectoderm,0.009653582237660885,8.0,8.25
Rostral neurectoderm,Surface ectoderm,0.019882362335920334,8.0,8.25
Somitic mesoderm,Allantois,1.0584133633528836e-05,8.0,8.25
Somitic mesoderm,Cardiomyocytes,7.031878340058029e-05,8.0,8.25
Somitic mesoderm,Def. endoderm,7.966627357802736e-11,8.0,8.25
Somitic mesoderm,ExE mesoderm,0.0018481031293049455,8.0,8.25
Somitic mesoderm,Gut,2.7547619296797166e-08,8.0,8.25
Somitic mesoderm,Intermediate mesoderm,0.007419237866997719,8.0,8.25
Somitic mesoderm,Mesenchyme,0.0004911324358545244,8.0,8.25
Somitic mesoderm,Paraxial mesoderm,0.02647184208035469,8.0,8.25
Somitic mesoderm,Pharyngeal mesoderm,0.021847935393452644,8.0,8.25
Somitic mesoderm,Rostral neurectoderm,1.3045179002801888e-05,8.0,8.25
Somitic mesoderm,Surface ectoderm,0.00016114662867039442,8.0,8.25
Spinal cord,Allantois,1.4289115824794862e-05,8.0,8.25
Spinal cord,Cardiomyocytes,1.9830493329209276e-05,8.0,8.25
Spinal cord,Def. endoderm,7.062237947219607e-12,8.0,8.25
Spinal cord,ExE mesoderm,0.00014496876974590123,8.0,8.25
Spinal cord,Gut,1.8716326266599026e-08,8.0,8.25
Spinal cord,Intermediate mesoderm,2.1787951482110657e-05,8.0,8.25
Spinal cord,Mesenchyme,0.00021254229068290442,8.0,8.25
Spinal cord,Paraxial mesoderm,0.00687773572281003,8.0,8.25
Spinal cord,Pharyngeal mesoderm,0.007723206654191017,8.0,8.25
Spinal cord,Rostral neurectoderm,0.002692932728677988,8.0,8.25
Spinal cord,Surface ectoderm,0.007292692083865404,8.0,8.25
