seed,model,holdout_time,source_time,next_time,n_pred,n_true,uses_teacher,uses_birth_death,uses_diffusion,uses_swarm,uses_cci,uses_memory,sinkhorn,mmd_rbf,energy,knn_two_sample_accuracy,celltype_composition_rmse
17,M6_ot_swarm_birth_death,7.75,7.5,8.0,139,618,True,True,False,True,False,False,0.5212167262656685,0.06700322201519782,0.9474427480700083,0.8257575757575758,0.04767385325120457
17,M7_ot_swarm_birth_death_diffusion,7.75,7.5,8.0,137,618,True,True,True,True,False,False,0.5232985629087255,0.08071050592709739,1.0921156509571492,0.7878787878787878,0.05085421588081414
17,M8_ot_swarm_birth_death_diffusion_cci,7.75,7.5,8.0,137,618,True,True,True,True,True,False,0.5231929152650985,0.08073706743948983,1.0923932893276316,0.7878787878787878,0.05085421588081414
17,M9_full_memory,7.75,7.5,8.0,137,618,True,True,True,True,True,True,0.5233252579119393,0.08143432083997815,1.0987230024544417,0.7878787878787878,0.05085421588081414
17,M10_shuffled_time_ot,7.75,7.5,8.0,137,618,True,True,True,True,False,False,0.48843285057039587,0.05471046075188968,0.8833835124202825,0.7803030303030303,0.05804638257111491
17,M11_random_lr_labels,7.75,7.5,8.0,139,618,True,True,True,True,True,False,0.5224099533810977,0.06537986438638355,0.9315869938709049,0.8333333333333334,0.044429126199895946
23,M0_linear_label_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.3707775298939965,0.0241580001119025,0.3261413746967996,0.65,0.024850021791229335
23,M0b_ot_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.3612559048674744,0.037693268088907717,0.4712658453488636,0.6555555555555556,0.023689372494125786
23,M1_intrinsic_neural,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.42443040895037853,0.04605737936667975,0.5293900205342279,0.7444444444444445,0.031063093171171008
23,M2_ot_teacher_force,7.75,7.5,8.0,300,618,True,False,False,False,False,False,0.40905581970714355,0.04447976023281608,0.5561251713156281,0.7277777777777777,0.026558086355370807
23,M3_ot_birth_death,7.75,7.5,8.0,134,618,True,True,False,False,False,False,0.560235229554558,0.07820043888474848,1.2559400377290615,0.8091603053435115,0.04442188300285204
23,M4_ot_adaptive_diffusion,7.75,7.5,8.0,300,618,True,False,True,False,False,False,0.4093897587648753,0.04406029555039259,0.5514872309203138,0.7333333333333333,0.02496867940798493
23,M5_ot_swarm,7.75,7.5,8.0,300,618,True,False,False,True,False,False,0.40759893812317516,0.04834595398243924,0.589298686930686,0.7388888888888889,0.02644849125380106
23,M6_ot_swarm_birth_death,7.75,7.5,8.0,134,618,True,True,False,True,False,False,0.5592862984524914,0.08195375032868202,1.2870859813717601,0.816793893129771,0.04442188300285204
23,M7_ot_swarm_birth_death_diffusion,7.75,7.5,8.0,134,618,True,True,True,True,False,False,0.5588665066635587,0.0814639836857558,1.2772589869351414,0.8015267175572519,0.04515308778659135
23,M8_ot_swarm_birth_death_diffusion_cci,7.75,7.5,8.0,134,618,True,True,True,True,True,False,0.5588604722780447,0.08147707022200912,1.2774162842534231,0.8015267175572519,0.04515308778659135
23,M9_full_memory,7.75,7.5,8.0,134,618,True,True,True,True,True,True,0.5590480591118419,0.0822612475553941,1.2848022118214981,0.8015267175572519,0.04515308778659135
23,M10_shuffled_time_ot,7.75,7.5,8.0,137,618,True,True,True,True,False,False,0.5758243077865783,0.07617312235843365,1.3420277193198356,0.7045454545454546,0.0553194681374729
23,M11_random_lr_labels,7.75,7.5,8.0,133,618,True,True,True,True,True,False,0.5615165815079112,0.08153805227085209,1.293793184155998,0.7307692307692307,0.04560950301445793
42,M0_linear_label_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.37825538865708525,0.027395044256634193,0.3360451195140932,0.5944444444444444,0.028917332689093272
42,M0b_ot_interpolation,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.3777978775327025,0.03875187829266169,0.46230884411762574,0.5944444444444444,0.025453169219541716
42,M1_intrinsic_neural,7.75,7.5,8.0,300,618,False,False,False,False,False,False,0.4420616269262066,0.04642363205900313,0.5073239284302105,0.7166666666666667,0.0313674535836654
42,M2_ot_teacher_force,7.75,7.5,8.0,300,618,True,False,False,False,False,False,0.4178162531118665,0.04435513285918813,0.5029781239204016,0.7,0.03083062639640162
42,M3_ot_birth_death,7.75,7.5,8.0,110,618,True,True,False,False,False,False,0.4711001690351312,0.04838891625804398,0.7244003080289474,0.7235772357723578,0.04393655700613214
42,M4_ot_adaptive_diffusion,7.75,7.5,8.0,300,618,True,False,True,False,False,False,0.4186159290015417,0.04402501378824453,0.500018847790523,0.7055555555555556,0.029828142130700754
42,M5_ot_swarm,7.75,7.5,8.0,300,618,True,False,False,True,False,False,0.41671078953148516,0.04881879858200522,0.540438970834483,0.6777777777777778,0.029876858753274796
42,M6_ot_swarm_birth_death,7.75,7.5,8.0,113,618,True,True,False,True,False,False,0.4898560614115766,0.05799597055571537,0.8464629454222798,0.6532258064516129,0.047561907750508656
42,M7_ot_swarm_birth_death_diffusion,7.75,7.5,8.0,112,618,True,True,True,True,False,False,0.48979922151043914,0.057214919700582345,0.8303736507552166,0.6612903225806451,0.046646614807554936
42,M8_ot_swarm_birth_death_diffusion_cci,7.75,7.5,8.0,112,618,True,True,True,True,True,False,0.4898297920450594,0.05726544796569877,0.8309718302778109,0.6612903225806451,0.046646614807554936
42,M9_full_memory,7.75,7.5,8.0,112,618,True,True,True,True,True,True,0.4897470107993833,0.05778993901032792,0.8353829512218969,0.6693548387096774,0.04766340468484905
42,M10_shuffled_time_ot,7.75,7.5,8.0,124,618,True,True,True,True,False,False,0.44515425394711267,0.03293847097428837,0.5880385063692763,0.6328125,0.04736360733307243
