source_lineage,target_lineage,mass,source_time,target_time
Caudal epiblast,Gut,0.0011492453049868345,8.0,8.25
Caudal epiblast,Haematoendothelial progenitors,0.0007007545791566372,8.0,8.25
Caudal epiblast,Intermediate mesoderm,0.0029527333099395037,8.0,8.25
Caudal epiblast,Mesenchyme,0.00021105421183165163,8.0,8.25
Caudal epiblast,NMP,0.002961489139124751,8.0,8.25
Caudal epiblast,Neural crest,0.0015046846820041537,8.0,8.25
Caudal epiblast,PGC,3.643745458248304e-06,8.0,8.25
Caudal epiblast,Paraxial mesoderm,0.002543999347835779,8.0,8.25
Caudal epiblast,Pharyngeal mesoderm,0.0017897515790537,8.0,8.25
Caudal epiblast,Rostral neurectoderm,0.0029709588270634413,8.0,8.25
Caudal epiblast,Somitic mesoderm,0.0025580283254384995,8.0,8.25
Caudal epiblast,Spinal cord,0.004336546640843153,8.0,8.25
Caudal epiblast,Stripped,0.003594511654227972,8.0,8.25
Caudal epiblast,Surface ectoderm,0.0013362056342884898,8.0,8.25
Caudal neurectoderm,Allantois,0.0011686078505590558,8.0,8.25
Caudal neurectoderm,Blood progenitors 1,0.0002002377441385761,8.0,8.25
Caudal neurectoderm,Blood progenitors 2,2.942848004749976e-05,8.0,8.25
Caudal neurectoderm,Cardiomyocytes,0.0017304865177720785,8.0,8.25
Caudal neurectoderm,Caudal Mesoderm,0.0027576149441301823,8.0,8.25
Caudal neurectoderm,Caudal epiblast,0.00018247528350912035,8.0,8.25
Caudal neurectoderm,Caudal neurectoderm,0.0005305394297465682,8.0,8.25
Caudal neurectoderm,Def. endoderm,0.0015950921224430203,8.0,8.25
Caudal neurectoderm,Endothelium,0.0008213194087147713,8.0,8.25
Caudal neurectoderm,Erythroid1,0.0005861715762875974,8.0,8.25
Caudal neurectoderm,Erythroid2,0.0013664375292137265,8.0,8.25
Caudal neurectoderm,Erythroid3,0.000688674917910248,8.0,8.25
Caudal neurectoderm,ExE ectoderm,0.00022155579063110054,8.0,8.25
Caudal neurectoderm,ExE mesoderm,0.0005210001836530864,8.0,8.25
Caudal neurectoderm,Forebrain/Midbrain/Hindbrain,0.002564876340329647,8.0,8.25
Caudal neurectoderm,Gut,0.001038616755977273,8.0,8.25
Caudal neurectoderm,Haematoendothelial progenitors,0.0005601246375590563,8.0,8.25
Caudal neurectoderm,Intermediate mesoderm,0.0025442347396165133,8.0,8.25
Caudal neurectoderm,Mesenchyme,7.307107443921268e-05,8.0,8.25
Caudal neurectoderm,NMP,0.0024357568472623825,8.0,8.25
Caudal neurectoderm,Neural crest,0.00039318640483543277,8.0,8.25
Caudal neurectoderm,PGC,3.422214149395586e-06,8.0,8.25
Caudal neurectoderm,Paraxial mesoderm,0.0018439807463437319,8.0,8.25
Caudal neurectoderm,Pharyngeal mesoderm,0.0016147461719810963,8.0,8.25
Caudal neurectoderm,Rostral neurectoderm,0.0019901867490261793,8.0,8.25
Caudal neurectoderm,Somitic mesoderm,0.0017547296592965722,8.0,8.25
Caudal neurectoderm,Spinal cord,0.0008063394925557077,8.0,8.25
Caudal neurectoderm,Stripped,0.002337384968996048,8.0,8.25
Caudal neurectoderm,Surface ectoderm,0.0009730361052788794,8.0,8.25
