dataset_id,sampling_strategy,clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_state,initial_lineage,terminal_sampling_depth,number_of_observed_time_points,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_transition_entropy,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,local_alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure,condensation_only,alignment_only,fate_entropy_only,teacher_bias_only,post_divergence_only,condensation_plus_entropy,condensation_plus_post_divergence,uncertainty_plus_teacher_bias,full_branch_window_model,clone_size_bin,time_span_bin,start_time_bin
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1111,3,2.5,5.0,2.5,Mono,Mono,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-1.7888586170295682,-4.0395157411870475,-1.7888586170295682,0.7617183408662791,0.7641106843948364,0.85655353492657,1.7888586170295682,-0.26381252795627125,0.304,0.008,0.232,0.012,0.7,0.268,0.502,0.12200000000000001,0.2512,"(0.999, 63.25]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1116,3,2.5,5.0,2.5,MEP,MEP,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-0.7517813613852756,-2.068308695082726,-0.7517813613852756,0.9922685700239111,0.8680686354637146,1.3793109632695675,0.7517813613852756,0.9191798117875594,0.94,0.964,0.628,0.396,0.064,0.784,0.502,0.512,0.5984,"(0.999, 63.25]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1124,3,2.5,5.0,2.5,MPP,MPP,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-1.5070379788038295,-2.3992103177510677,-1.5070379788038295,0.9817678222400561,0.8494338989257812,1.2169471933764098,1.5070379788038295,0.8361115804123543,0.484,0.476,0.548,0.248,0.52,0.516,0.502,0.398,0.45519999999999994,"(0.999, 63.25]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1125,3,2.5,5.0,2.5,MPP,MPP,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-0.44090911553987844,-1.503893823624999,-0.44090911553987844,0.9903066122285158,0.9369878768920898,1.734594296654773,0.44090911553987844,0.985830587784267,0.996,0.852,0.992,0.88,0.008,0.994,0.502,0.9359999999999999,0.7455999999999999,"(0.999, 63.25]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1129,4,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.8112781244562475,-1.2232529423188812,-1.9307101959882795,-1.2232529423188812,0.9520611617525712,0.7931496798992157,1.5904497371039943,1.2232529423188812,0.916808572756679,0.66,0.156,0.292,0.388,0.344,0.476,0.502,0.33999999999999997,0.368,"(187.75, 250.0]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1141,3,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9182958340516042,-1.624057505735325,-2.114982666421594,-1.624057505735325,0.9868487389578675,0.791623592376709,1.3473242083880668,1.624057505735325,0.7046176474612683,0.376,0.652,0.28,0.144,0.628,0.328,0.502,0.21200000000000002,0.41600000000000004,"(0.999, 63.25]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1142,4,2.5,5.0,2.5,MPP/GMP,MPP/GMP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9463946303544555,-1.6770916490998995,-2.1041743730584686,-1.6770916490998995,0.9901634921552426,0.8816812634468079,1.644053184923258,1.6770916490998995,0.9293130932912903,0.348,0.844,0.744,0.46,0.656,0.546,0.502,0.602,0.6104,"(187.75, 250.0]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1152,4,2.5,5.0,2.5,Mono,Mono,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.8112781244562475,-1.0401546041923742,-3.1331665052195,-1.0401546041923742,0.9092396961446005,0.793399840593338,0.9761804728847738,1.0401546041923742,-0.13295904415159243,0.792,0.088,0.296,0.028,0.212,0.544,0.502,0.162,0.2832,"(187.75, 250.0]","(0.999, 63.25]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1154,3,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999972693,-1.5264831884645553,-2.2696931525471746,-1.5264831884645553,0.9625192647355337,0.7942283153533936,1.182643512426762,1.5264831884645553,0.7169271348230444,0.464,0.24,0.3,0.152,0.54,0.382,0.502,0.22599999999999998,0.3392,"(0.999, 63.25]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1166,4,2.5,5.0,2.5,Unk_2,Unk_2,2,2,0.0,0.0,1,1,0.0,0.9999999999971146,-0.8250525749868333,-2.0622454052787225,-0.8250525749868333,0.9873954133891812,0.8718262910842896,1.4199555627846179,0.8250525749868333,0.9817440204173942,0.908,0.688,0.664,0.808,0.096,0.786,0.502,0.736,0.6328000000000001,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1173,4,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.8112781244562475,-1.462462135004888,-2.3268779214416813,-1.462462135004888,0.9530603367943107,0.8072941601276398,1.1720884342051756,1.462462135004888,0.919912636136552,0.512,0.164,0.352,0.4,0.492,0.432,0.502,0.376,0.384,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1182,3,2.5,5.0,2.5,MPP/GMP,MPP/GMP,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-2.228222778677033,-2.356469715546218,-2.228222778677033,0.9587183127006372,0.7772334218025208,1.0184136253121667,2.228222778677033,0.7155207322327859,0.144,0.212,0.26,0.148,0.86,0.202,0.502,0.20400000000000001,0.32480000000000003,"(0.999, 63.25]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1189,4,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9463946303544555,-1.6144528674516363,-1.6915128925099587,-1.6144528674516363,0.975353415267071,0.870390921831131,1.4422020378955582,1.6144528674516363,0.931998848143977,0.384,0.364,0.632,0.476,0.62,0.508,0.502,0.554,0.4952,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1194,3,2.5,5.0,2.5,MPP,MPP,2,2,0.0,0.0,1,1,0.0,0.0,-1.1166667420159253,-2.2116941604393263,-1.1166667420159253,0.9907917020821724,0.8754585981369019,1.7560970259975228,1.1166667420159253,0.9200763783280959,0.748,0.88,0.704,0.404,0.256,0.726,0.502,0.554,0.5984,"(0.999, 63.25]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1200,4,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999971146,-2.800940033003532,-2.947829940878365,-2.800940033003532,0.865632026546266,0.7043648660182953,1.0318524085878003,2.800940033003532,0.4182974149532058,0.068,0.068,0.136,0.08,0.936,0.10200000000000001,0.502,0.10800000000000001,0.2576,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1202,4,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999971146,-1.5465227886042863,-1.2490912564208747,-1.5465227886042863,0.9846576149489622,0.8854674398899078,1.4885104014780262,1.5465227886042863,0.9484905707646918,0.436,0.564,0.756,0.572,0.568,0.596,0.502,0.6639999999999999,0.5791999999999999,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1205,4,2.5,5.0,2.5,Neutro,Neutro,2,2,0.0,0.0,1,1,0.0,0.9999999999971146,-1.8324947029694436,-2.472708296346537,-1.8324947029694436,0.9534253003933878,0.76533442735672,0.807753995321189,1.8324947029694436,0.9440705067422592,0.276,0.168,0.24,0.508,0.728,0.258,0.502,0.374,0.384,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1211,3,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999972693,-1.126580822539856,-2.195280733195316,-1.126580822539856,0.9911522626804419,0.8944916129112244,1.8423345908526467,1.126580822539856,0.9443654419252736,0.744,0.912,0.784,0.516,0.26,0.764,0.502,0.65,0.6432,"(0.999, 63.25]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1215,3,2.5,5.0,2.5,MEP,MEP,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-1.6290748739556367,-0.9857683341437962,-1.6290748739556367,0.9829109686975501,0.9122068881988525,1.3903754295718866,1.6290748739556367,0.9794943104010315,0.368,0.504,0.876,0.776,0.636,0.622,0.502,0.8260000000000001,0.632,"(0.999, 63.25]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1232,4,2.5,5.0,2.5,Neutro,Neutro,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999971146,-1.455922935711893,-4.058140800174193,-1.455922935711893,0.8493219619587827,0.7105383276939392,0.9534716433882817,1.455922935711893,0.5071146305142129,0.52,0.056,0.148,0.1,0.484,0.334,0.502,0.124,0.2616,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1240,3,2.5,5.0,2.5,MPP,MPP,2,2,0.0,0.0,1,1,0.0,0.9182958340516042,-0.9019540820329822,-1.784616369065428,-0.9019540820329822,0.9908933398482629,0.8799703121185303,1.4766722953501916,0.9019540820329822,0.908028395695522,0.864,0.9,0.732,0.356,0.14,0.798,0.502,0.544,0.5984,"(0.999, 63.25]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1247,4,2.5,5.0,2.5,MEP,MEP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9463946303544555,-1.5689405744084337,-1.0377854386382843,-1.5689405744084337,0.9858753542785116,0.9078783094882965,1.301937839509971,1.5689405744084337,0.967109246501363,0.42,0.616,0.844,0.688,0.584,0.632,0.502,0.766,0.6304,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1255,4,2.5,5.0,2.5,MPP,MPP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999971146,-1.585952765083951,-2.4411532604625217,-1.585952765083951,0.9853369176558384,0.8167555332183838,1.1464141278557902,1.585952765083951,0.8790174378312594,0.4,0.588,0.392,0.296,0.604,0.396,0.502,0.344,0.45599999999999996,"(187.75, 250.0]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1258,3,2.5,5.0,2.5,MEP,MEP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999972693,-1.2255614946958104,-2.1416381921165013,-1.2255614946958104,0.9846678078081221,0.8299355506896973,1.1881886215974995,1.2255614946958104,0.789532710977585,0.656,0.568,0.436,0.188,0.348,0.546,0.502,0.312,0.4391999999999999,"(0.999, 63.25]","(63.25, 125.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,clone_time_balanced_native,1276,3,2.5,5.0,2.5,MEP,MEP,2,2,0.9999999999971146,0.9999999999971146,2,2,0.5,0.9999999999972693,-1.1968855448251503,-2.1995004001933776,-1.1968855448251503,0.9917565023947756,0.8105097413063049,1.1298189595898498,1.1968855448251503,0.9139743146022691,0.672,0.948,0.38,0.38,0.332,0.526,0.502,0.38,0.5424,"(0.999, 63.25]","(63.25, 125.5]",2.5
