seed,model,holdout_time,source_time,next_time,n_pred,n_true,uses_teacher,uses_birth_death,uses_diffusion,uses_swarm,uses_cci,uses_memory,sinkhorn,mmd_rbf,energy,knn_two_sample_accuracy,celltype_composition_rmse
17,M9_full_memory,15.0,14.0,16.0,844,1000,True,True,True,True,True,True,0.26440212611861946,0.017320753480571716,0.5704208322654765,0.5368171021377672,0.011041065321104685
17,M10_shuffled_time_ot,15.0,14.0,16.0,848,1000,True,True,True,True,False,False,0.3194408365257077,0.006107794678555933,0.23411861095571496,0.6437054631828979,0.01505456039790527
17,M11_random_lr_labels,15.0,14.0,16.0,842,1000,True,True,True,True,True,False,0.27372914189389885,0.015258593016314936,0.5822649452481485,0.5320665083135392,0.018215780910569197
23,M0_linear_label_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.283576281519869,0.008595755686274353,0.28779978528211103,0.5961995249406176,0.004506054454727688
23,M0b_ot_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.2551698181757376,0.00926811270190242,0.3276792151377279,0.5510688836104513,0.005582895689499808
23,M1_intrinsic_neural,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.30989449428547017,0.029062276058794523,0.9366722429529197,0.5938242280285035,0.0036929473435596827
23,M2_ot_teacher_force,15.0,14.0,16.0,900,1000,True,False,False,False,False,False,0.27342970492046453,0.01777340722914711,0.5764961375321,0.5724465558194775,0.0036929473435596827
23,M3_ot_birth_death,15.0,14.0,16.0,829,1000,True,True,False,False,False,False,0.2945032734562726,0.01455922003146981,0.5725776307455206,0.5819477434679335,0.02751180996045842
23,M4_ot_adaptive_diffusion,15.0,14.0,16.0,900,1000,True,False,True,False,False,False,0.27371949916155525,0.01777186421413135,0.5747431234766012,0.5700712589073634,0.004506054454727688
23,M5_ot_swarm,15.0,14.0,16.0,900,1000,True,False,False,True,False,False,0.2733176238932042,0.01896287987030798,0.6230110591302953,0.5653206650831354,0.004506054454727688
23,M6_ot_swarm_birth_death,15.0,14.0,16.0,829,1000,True,True,False,True,False,False,0.2945358068830756,0.015445201220059879,0.6163311895506105,0.5795724465558195,0.02751180996045842
23,M7_ot_swarm_birth_death_diffusion,15.0,14.0,16.0,830,1000,True,True,True,True,False,False,0.27673801749923155,0.015721109014567913,0.6002170825367337,0.5819477434679335,0.027711127988760124
23,M8_ot_swarm_birth_death_diffusion_cci,15.0,14.0,16.0,830,1000,True,True,True,True,True,False,0.27673793445078126,0.015721845671240353,0.6002388512460364,0.5819477434679335,0.027711127988760124
23,M9_full_memory,15.0,14.0,16.0,830,1000,True,True,True,True,True,True,0.2763761466010328,0.015766871899908996,0.6047067164515383,0.5795724465558195,0.027711127988760124
23,M10_shuffled_time_ot,15.0,14.0,16.0,837,1000,True,True,True,True,False,False,0.29687444950258773,0.003960718444723232,0.15810032007828312,0.5866983372921615,0.026791894224145917
23,M11_random_lr_labels,15.0,14.0,16.0,829,1000,True,True,True,True,True,False,0.2947505380344353,0.01528328588978456,0.6085222100438266,0.5748218527315915,0.02751180996045842
42,M0_linear_label_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.2848660378475749,0.00719453143122728,0.27683999832479955,0.5961995249406176,0.004605418172458382
42,M0b_ot_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.26336896547512567,0.008268950160938093,0.32504997296998184,0.5273159144893111,0.003138765975961224
42,M1_intrinsic_neural,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.317985434441105,0.025950269141748916,0.9103733903320723,0.5605700712589073,0.006756798131338135
42,M2_ot_teacher_force,15.0,14.0,16.0,900,1000,True,False,False,False,False,False,0.28314544938266956,0.01603877974545065,0.5681665080018163,0.5510688836104513,0.005988328840713982
42,M3_ot_birth_death,15.0,14.0,16.0,846,1000,True,True,False,False,False,False,0.2811834935705598,0.019944660963878147,0.6579101590768168,0.5581947743467933,0.001540146336856891
42,M4_ot_adaptive_diffusion,15.0,14.0,16.0,900,1000,True,False,True,False,False,False,0.28312945198768535,0.01596237227891939,0.5644250926297936,0.5486935866983373,0.006756798131338135
42,M5_ot_swarm,15.0,14.0,16.0,900,1000,True,False,False,True,False,False,0.28261765229656066,0.017083134314834436,0.6132810990282174,0.5439429928741093,0.005264212586548786
42,M6_ot_swarm_birth_death,15.0,14.0,16.0,850,1000,True,True,False,True,False,False,0.2957656773271102,0.020322053926338568,0.6784028222736644,0.5700712589073634,0.005691613450316181
42,M7_ot_swarm_birth_death_diffusion,15.0,14.0,16.0,851,1000,True,True,True,True,False,False,0.2893054216215087,0.02363666091732619,0.7468174902009537,0.5558194774346793,0.011120335550320916
42,M8_ot_swarm_birth_death_diffusion_cci,15.0,14.0,16.0,851,1000,True,True,True,True,True,False,0.28931916270047336,0.023640140500785556,0.7469175257816332,0.5558194774346793,0.011120335550320916
42,M9_full_memory,15.0,14.0,16.0,851,1000,True,True,True,True,True,True,0.28900515358483037,0.02373065605583269,0.7519882145531902,0.5558194774346793,0.011120335550320916
42,M10_shuffled_time_ot,15.0,14.0,16.0,851,1000,True,True,True,True,False,False,0.31184367698256377,0.0058390007702942,0.23066806188605682,0.6128266033254157,0.019152135788220327
42,M11_random_lr_labels,15.0,14.0,16.0,846,1000,True,True,True,True,True,False,0.2906066562135453,0.020723895565384787,0.6957787895877665,0.5605700712589073,0.01980283703559582
99,M0_linear_label_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.2717425365600646,0.00869412069515807,0.2938119134611554,0.5700712589073634,0.002864570005580658
99,M0b_ot_interpolation,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.24216480681512892,0.008786239712548105,0.32818898943911634,0.5154394299287411,0.00047140452079103207
99,M1_intrinsic_neural,15.0,14.0,16.0,900,1000,False,False,False,False,False,False,0.29607042924431354,0.029185393674742155,0.9034332203718414,0.5534441805225653,0.0020427529234277883
99,M2_ot_teacher_force,15.0,14.0,16.0,900,1000,True,False,False,False,False,False,0.26295137958330356,0.017464910600280104,0.5724487468209176,0.5486935866983373,0.0037262278060461377
99,M3_ot_birth_death,15.0,14.0,16.0,838,1000,True,True,False,False,False,False,0.2787700498219233,0.018077267373858286,0.6127844242016884,0.5439429928741093,0.013020427352917365
99,M4_ot_adaptive_diffusion,15.0,14.0,16.0,900,1000,True,False,True,False,False,False,0.2633853886899211,0.01742340562996636,0.5705032866157289,0.5510688836104513,0.0037262278060461377
99,M5_ot_swarm,15.0,14.0,16.0,900,1000,True,False,False,True,False,False,0.26264050982568937,0.018670026911616566,0.6174562250487305,0.5415676959619953,0.005493730058789549
99,M6_ot_swarm_birth_death,15.0,14.0,16.0,838,1000,True,True,False,True,False,False,0.284533515624182,0.019738328175157416,0.6652648902007599,0.5534441805225653,0.02920274322546023
99,M7_ot_swarm_birth_death_diffusion,15.0,14.0,16.0,838,1000,True,True,True,True,False,False,0.2846156429724355,0.019687558710910436,0.6614089033357509,0.5581947743467933,0.02920274322546023
99,M8_ot_swarm_birth_death_diffusion_cci,15.0,14.0,16.0,838,1000,True,True,True,True,True,False,0.2846197061726682,0.01968823091414318,0.6614252565675578,0.5581947743467933,0.02920274322546023
99,M9_full_memory,15.0,14.0,16.0,838,1000,True,True,True,True,True,True,0.2843759548059915,0.01978101887001238,0.666733652397486,0.5581947743467933,0.02920274322546023
99,M10_shuffled_time_ot,15.0,14.0,16.0,858,1000,True,True,True,True,False,False,0.2943888138984922,0.00494126913722992,0.19843413001796506,0.6318289786223278,0.005729193086731513
99,M11_random_lr_labels,15.0,14.0,16.0,839,1000,True,True,True,True,True,False,0.30686595446541987,0.01792926166911235,0.6409799502497293,0.5439429928741093,0.028168095431133584
