dataset,valid,pre_comm,event_comm,post_comm,communication_activation_effect,sender_neighbor_activity_effect,communication_relaxation_effect,receiver_priming_effect,pre_lineage_comm_divergence,event_lineage_comm_divergence,post_lineage_comm_divergence,post_event_comm_divergence_effect,communication_window_score,niche_priming_then_divergence,module,matched_ligand_genes,matched_receptor_genes,pre_time,event_time,post_time,module_activation,module_receiver_priming,module_post_divergence,module_activation_pass,module_receiver_priming_pass,module_pass
E5_zebrafish_Farrell,True,0.0914931530660765,0.08231796671898382,0.024161761455030486,-0.009175186347092676,,-0.058156205263953334,-0.08077365963049332,4.252035516382777e-05,0.0014062500872413998,3.0476709074777555e-06,-0.001403202416333922,-0.009876787555259637,False,ecm_adhesion_guidance,155,92,9.0,10.0,12.0,-0.009175186347092676,-0.08077365963049332,-0.001403202416333922,False,False,False
E5_zebrafish_Farrell,True,0.06237850014428939,0.04128719316994724,0.014501420648948478,-0.021091306974342153,,-0.026785772520998757,-0.1184855288246019,0.0002849867979800852,7.443027055638137e-07,2.182446104162434e-06,1.4381433985986201e-06,-0.021090587902642854,False,morphogen_patterning,105,50,9.0,10.0,12.0,-0.021091306974342153,-0.1184855288246019,1.4381433985986201e-06,False,False,False
E5_zebrafish_Farrell,True,0.038749999228727,0.026900584362001222,0.011159420013427757,-0.01184941486672578,,-0.015741164348573464,-0.12185933582092584,0.0005698112216456343,0.00042739384756147595,3.270346936106144e-05,-0.0003946903782004145,-0.012046760055825988,False,notch_delta,7,5,9.0,10.0,12.0,-0.01184941486672578,-0.12185933582092584,-0.0003946903782004145,False,False,False
E5_zebrafish_Farrell,True,0.061359202475879275,0.05308364705741383,0.002198417914213506,-0.008275555418465447,,-0.050885229143200324,-0.04529122176107614,6.276471435499701e-05,0.0005616692159130789,1.447826190561386e-06,-0.0005602213897225175,-0.008555666113326706,False,chemokine_growth_factor,118,93,9.0,10.0,12.0,-0.008275555418465447,-0.04529122176107614,-0.0005602213897225175,False,False,False
E2_GSE212050_gastruloid,False,,,,,,,,,,,,,,ecm_adhesion_guidance,0,0,,,,,,,,,
E2_GSE212050_gastruloid,False,,,,,,,,,,,,,,morphogen_patterning,0,0,,,,,,,,,
E2_GSE212050_gastruloid,False,,,,,,,,,,,,,,notch_delta,0,0,,,,,,,,,
E2_GSE212050_gastruloid,False,,,,,,,,,,,,,,chemokine_growth_factor,0,0,,,,,,,,,
GSE154572_EB_WT,True,0.08366757433393339,0.2687154436872515,0.39440345189684134,0.18504786935331807,,0.12568800820958986,0.2553037590736724,0.001191979894208656,0.018295151280504914,0.04162796391505711,0.023332812634552197,0.19671427567059419,True,ecm_adhesion_guidance,91,63,4.0,7.0,10.0,0.18504786935331807,0.2553037590736724,0.023332812634552197,True,True,True
GSE154572_EB_WT,True,0.08960669710538913,0.31825559910111917,0.37599740229679424,0.22864890199573004,,0.05774180319567507,0.2294765104334024,0.002226107545321363,0.024151587379323904,0.036331575874546454,0.01217998849522255,0.23473889624334132,True,morphogen_patterning,53,35,4.0,7.0,10.0,0.22864890199573004,0.2294765104334024,0.01217998849522255,True,True,True
