seed,variant,branch_event_step,event_definition,local_velocity_alignment_A_pre_mean,local_velocity_alignment_A_post_mean,local_velocity_alignment_A_effect,branch_cohesion_C_pre_mean,branch_cohesion_C_post_mean,branch_cohesion_C_effect,lineage_separation_S_pre_mean,lineage_separation_S_post_mean,lineage_separation_S_effect,fate_entropy_H_pre_mean,fate_entropy_H_post_mean,fate_entropy_H_effect,branch_imbalance_B_pre_mean,branch_imbalance_B_post_mean,branch_imbalance_B_effect,local_density_mean_pre_mean,local_density_mean_post_mean,local_density_mean_effect,n_agents_pre_mean,n_agents_post_mean,n_agents_effect
23,M8_ot_swarm_birth_death_diffusion_cci,1,max_ranked_separation_entropy_imbalance_change,0.7274297475814819,0.7740669250488281,0.04663717746734619,0.9010405907451552,0.8947605334152648,-0.006280057329890343,17.27945550070031,17.127287896114076,-0.15216760458623213,0.1658309676350971,0.17594007461679634,0.010109106981699229,0.0088888888888888,0.05986975254906585,0.050980863660177046,0.3349597890618296,0.3514335333300531,0.01647374426822351,900.0,853.5,-46.5
23,M9_full_memory,1,max_ranked_separation_entropy_imbalance_change,0.7209723591804504,0.7701868116855621,0.049214452505111694,0.9010405907451552,0.8947378005869816,-0.006302790158173588,17.27945550070031,17.135550959004245,-0.14390454169606315,0.1658309676350971,0.17594007461679634,0.010109106981699229,0.0088888888888888,0.05986975254906585,0.050980863660177046,0.3349597890618296,0.3516035601839341,0.016643771122104523,900.0,853.5,-46.5
42,M5_ot_swarm,1,max_ranked_separation_entropy_imbalance_change,0.7281769514083862,0.7649100124835968,0.03673306107521057,0.903071330410386,0.9004633318409017,-0.002607998569484349,17.335505980778947,17.016711085789282,-0.31879489498966507,0.1632820832070359,0.1632820832070359,0.0,0.01,0.01,0.0,0.3354138851913627,0.331538770677347,-0.0038751145140157317,900.0,900.0,0.0
42,M7_ot_swarm_birth_death_diffusion,2,max_ranked_separation_entropy_imbalance_change,0.7366355657577515,0.7749578356742859,0.038322269916534424,0.8994395261831251,0.8951510124765978,-0.004288513706527275,17.27064782130881,16.99707749636993,-0.27357032493888056,0.1671585164683691,0.1719152457846873,0.004756729316318209,0.0171387283236994,0.0271546635182998,0.010015935194600402,0.3387256845011082,0.3509449951920069,0.01221931069089871,882.5,847.0,-35.5
42,M8_ot_swarm_birth_death_diffusion_cci,2,max_ranked_separation_entropy_imbalance_change,0.7366267144680023,0.7749418616294861,0.038315147161483765,0.8994399593632613,0.8951568288812081,-0.004283130482053199,17.27063501569618,16.99699401610368,-0.273640999592498,0.1671585164683691,0.1719152457846873,0.004756729316318209,0.0171387283236994,0.0271546635182998,0.010015935194600402,0.33872739348589853,0.3509554195038242,0.012228026017925664,882.5,847.0,-35.5
42,M9_full_memory,2,max_ranked_separation_entropy_imbalance_change,0.7309500575065613,0.771536111831665,0.04058605432510376,0.8994392229108892,0.8950769772021623,-0.004362245708726897,17.272786951817,17.005845874437433,-0.26694107737956685,0.1671585164683691,0.1719152457846873,0.004756729316318209,0.0171387283236994,0.0271546635182998,0.010015935194600402,0.33859803708406877,0.3507495924601675,0.012151555376098744,882.5,847.0,-35.5
99,M5_ot_swarm,1,max_ranked_separation_entropy_imbalance_change,0.7231062650680542,0.7619694173336029,0.038863152265548706,0.9013662727407318,0.8985084143362105,-0.0028578584045212407,17.3488725235906,17.09818059768861,-0.2506919259019895,0.1638793714573874,0.1638793714573874,0.0,0.0077777777777777,0.0077777777777777,0.0,0.3288704627818518,0.326029774362559,-0.002840688419292803,900.0,900.0,0.0
99,M7_ot_swarm_birth_death_diffusion,1,max_ranked_separation_entropy_imbalance_change,0.7231062650680542,0.7738783955574036,0.050772130489349365,0.9013662727407318,0.8901023241870498,-0.011263948553681957,17.3488725235906,17.269856279775123,-0.07901624381547734,0.1638793714573874,0.16982895104297469,0.0059495795855872835,0.0077777777777777,0.038261095478569,0.0304833177007913,0.3288704627818518,0.33953132933173985,0.01066086654988807,900.0,880.0,-20.0
99,M8_ot_swarm_birth_death_diffusion_cci,1,max_ranked_separation_entropy_imbalance_change,0.7231053113937378,0.7738767564296722,0.05077144503593445,0.9013662727407318,0.8901030206493568,-0.01126325209137502,17.3488725235906,17.26983019511657,-0.07904232847403136,0.1638793714573874,0.16982895104297469,0.0059495795855872835,0.0077777777777777,0.038261095478569,0.0304833177007913,0.3288704627818518,0.3395293991094803,0.010658936327628543,900.0,880.0,-20.0
99,M9_full_memory,1,max_ranked_separation_entropy_imbalance_change,0.7167196869850159,0.7701320648193359,0.05341237783432007,0.9013662727407318,0.8900599912006255,-0.011306281540106267,17.3488725235906,17.27862201350652,-0.07025051008407956,0.1638793714573874,0.16982895104297469,0.0059495795855872835,0.0077777777777777,0.038261095478569,0.0304833177007913,0.3288704627818518,0.33916499635796027,0.010294533576108489,900.0,880.0,-20.0
