dataset_id,sampling_strategy,clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_state,initial_lineage,terminal_sampling_depth,early_sampling_depth,number_of_observed_time_points,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_transition_entropy,outcome_estimable,branch_window_condensation_exposure,post_event_divergence_exposure,fate_entropy_exposure,teacher_velocity_bias_exposure,local_alignment_exposure,density_exposure,condensation_only,post_event_divergence_only,fate_entropy_only,teacher_bias_only,two_phase_condensation_plus_divergence,uncertainty_plus_teacher_bias,clone_size_bin,time_span_bin,start_time_bin
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1096,4,2.5,5.0,2.5,MEP,MEP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.15368691897428022,0.15368691897428022,0.9270495772361755,0.9998729548486565,0.9984617614756273,13.281870049536721,0.8682634730538922,0.1377245508982036,0.9401197604790419,0.9880239520958084,0.5029940119760479,0.9640718562874251,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1097,4,2.5,5.0,2.5,MPP/GMP,MPP/GMP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.45307752652734123,0.45307752652734123,0.8010013699531555,0.8781751806950289,0.9992277384292478,11.565395917670179,0.49700598802395207,0.5089820359281437,0.31137724550898205,0.3652694610778443,0.5029940119760479,0.3383233532934132,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1101,4,2.5,5.0,2.5,MPP/GMP,MPP/GMP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.8112781244562475,True,-0.2148145979085173,0.2148145979085173,0.8920475840568542,0.9278390779788153,0.9995287118359709,18.100400479359447,0.7544910179640718,0.25149700598802394,0.6826347305389222,0.5449101796407185,0.5029940119760479,0.6137724550898204,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1109,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9999999999971146,True,-0.5249067277860652,0.5249067277860652,0.8309338688850403,0.8828206252543218,0.9996205066550802,10.101745287899716,0.41916167664670656,0.5868263473053892,0.437125748502994,0.41916167664670656,0.5029940119760479,0.4281437125748503,"(0.999, 42.5]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1111,4,2.5,5.0,2.5,Mono,Mono,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.8112781244562475,True,-0.2846806215988329,0.2846806215988329,0.5826689600944519,-0.9652286463795915,0.9818310502519523,1.990076915180602,0.688622754491018,0.31736526946107785,0.08383233532934131,0.011976047904191617,0.5029940119760479,0.04790419161676646,"(42.5, 84.0]","(0.999, 42.5]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1124,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9463946303544555,True,-0.18561877309665614,0.18561877309665614,0.8909528255462646,0.9271468751988854,0.9998625028286598,19.939732618630295,0.8203592814371258,0.18562874251497005,0.6766467065868264,0.5389221556886228,0.5029940119760479,0.6077844311377245,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1125,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.0,0.0,1.0,1.0,0.0,0.8112781244562475,True,-0.19950052087877845,0.19950052087877845,0.8894248604774475,0.939719001325537,0.9992633517356146,9.178423499258752,0.7844311377245509,0.2215568862275449,0.6706586826347305,0.592814371257485,0.5029940119760479,0.6317365269461077,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1152,4,2.5,5.0,2.5,Unk_2,Unk_2,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.18489528024525187,0.18489528024525187,0.9107340574264526,0.9817899866728135,0.9999799324366834,25.454010309812453,0.8263473053892215,0.17964071856287425,0.8143712574850299,0.7964071856287425,0.5029940119760479,0.8053892215568862,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1166,4,2.5,5.0,2.5,Unk_2,Unk_2,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.9463946303544555,True,-0.10719777712075333,0.10719777712075333,0.8765172958374023,0.9234139726230208,0.9999956419412076,23.75398632563441,0.9401197604790419,0.0658682634730539,0.6167664670658682,0.5329341317365269,0.5029940119760479,0.5748502994011976,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1173,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9182958340516042,0.9182958340516042,2.0,2.0,0.33333333333333337,0.8112781244562475,True,-0.6699083717734036,0.6699083717734036,0.7916678786277771,0.850320292471185,0.9997748472351484,13.070260888408026,0.24550898203592814,0.7604790419161677,0.2874251497005988,0.18562874251497005,0.5029940119760479,0.2365269461077844,"(42.5, 84.0]","(42.5, 84.0]",2.5
Jindal_2023_NatureBiotechnology_LSK_RNA,terminal_outcome_preserving_native,1189,4,2.5,5.0,2.5,MPP,MPP,3,1,2,0.9999999999972693,0.9999999999972693,3.0,3.0,0.6666666666666667,0.9463946303544555,True,-0.40047539294550366,0.40047539294550366,0.8498818874359131,0.8845743910987267,0.9997599172666709,15.877388122701156,0.5508982035928144,0.4550898203592814,0.5269461077844312,0.4431137724550898,0.5029940119760479,0.4850299401197605,"(42.5, 84.0]","(42.5, 84.0]",2.5
