dataset,neighbor_rule,k_or_radius,n_neighbors_mean,n_neighbors_std,branch_event_detected,lineage_separation_effect,normalized_separation_effect,alignment_effect,entropy_effect,density_effect,teacher_fidelity_tier,composition_rmse,seed_stability,permutation_p,permutation_q,negative_control_pass,external_direction_match,runtime,interpretation
L2,topological,12.0,12.0,0.0,True,4.508693265187416,5.1684710535999505,-0.25604768117657045,0.09667453732044184,-0.2304443934370819,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.20105140004307032,divergence_or_no_condensation
L2,topological,15.0,15.0,0.0,True,4.795945371492536,4.647864298785373,-0.24726730764312405,0.09667453732044184,-0.2814966821678069,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.20475619996432215,divergence_or_no_condensation
L2,topological,20.0,20.0,0.0,True,5.278385242399744,3.953537831991507,-0.23628249343986546,0.09667453732044184,-0.3643349341360431,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.1998549000127241,divergence_or_no_condensation
L2,topological,30.0,30.0,0.0,True,5.390824686057335,2.469803250539803,-0.22262383669077734,0.09667453732044184,-0.5236936196190922,fail,,True,0.3482587064676617,0.41791044776119407,True,False,0.20430789998499677,divergence_or_no_condensation
E2,topological,1.0,1.0,0.0,True,1.017396888495461,1.1228899021088776,0.0,0.0,-0.03884032858525771,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.1284268000163138,divergence_or_no_condensation
E2,topological,2.0,2.0,0.0,True,1.5086143390913873,0.99022821868554,0.0,0.0,-0.07604937121661942,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.12197770003695041,divergence_or_no_condensation
E2,topological,3.0,3.0,0.0,True,1.9747482819350382,1.0405717191732458,0.0,0.0,-0.11506208403911622,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.11863730003824458,divergence_or_no_condensation
E2,topological,5.0,5.0,0.0,True,2.54952765959353,1.080346044442523,0.0,0.0,-0.19186344736711647,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.12453170004300773,divergence_or_no_condensation
E2,topological,7.0,7.0,0.0,True,2.8968285221722136,1.107620798940084,0.0,0.0,-0.2696916521812933,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.12161039997590706,divergence_or_no_condensation
E2,topological,9.0,9.0,0.0,True,3.2386651372745785,1.1613448365525336,0.0,0.0,-0.3479825293026835,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.12022819998674095,divergence_or_no_condensation
E2,topological,12.0,12.0,0.0,True,3.785981732708087,1.2895841156060053,0.0,0.0,-0.46536488619472793,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.13216019998071715,divergence_or_no_condensation
E2,topological,15.0,15.0,0.0,True,4.2239675466387006,1.4003514174176943,0.0,0.0,-0.5820712061211264,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.13818110001739115,divergence_or_no_condensation
E2,topological,20.0,20.0,0.0,True,4.781131046093464,1.525826509801969,0.0,0.0,-0.7741854088239988,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.12522500002523884,divergence_or_no_condensation
E2,topological,30.0,30.0,0.0,True,5.529920445212368,1.6660679030057859,0.0,0.0,-1.1490516033306175,weak,,True,0.3482587064676617,0.41791044776119407,True,False,0.1276447999989614,divergence_or_no_condensation
