clone_id,clone_size,n_time_points,start_time,end_time,n_lineages
493*NA*170,1,1,28.0,28.0,1
493*NA*171,1,1,28.0,28.0,1
493*NA*172,1,1,28.0,28.0,1
493*NA*173,1,1,28.0,28.0,1
493*NA*175,2,1,28.0,28.0,2
493*NA*176,1,1,28.0,28.0,1
493*NA*177,1,1,28.0,28.0,1
493*NA*182,1,1,28.0,28.0,1
493*NA*183,3,1,28.0,28.0,1
493*NA*184,1,1,28.0,28.0,1
493*NA*186,2,1,28.0,28.0,2
493*NA*187,2,1,28.0,28.0,1
493*NA*190,1,1,28.0,28.0,1
493*NA*193,4,1,28.0,28.0,2
493*NA*194,2,1,28.0,28.0,1
493*NA*196,2,1,28.0,28.0,2
493*NA*197,1,1,28.0,28.0,1
493*NA*198,2,1,28.0,28.0,1
493*NA*203,2,1,28.0,28.0,2
493*NA*204,5,1,28.0,28.0,2
493*NA*205,1,1,28.0,28.0,1
493*NA*207,1,1,28.0,28.0,1
493*NA*211,1,1,28.0,28.0,1
493*NA*212,2,1,28.0,28.0,1
493*NA*213,2,1,28.0,28.0,2
493*NA*214,1,1,28.0,28.0,1
493*NA*215,1,1,28.0,28.0,1
493*NA*216,1,1,28.0,28.0,1
493*NA*217,1,1,28.0,28.0,1
493*NA*220,2,1,28.0,28.0,1
493*NA*223,1,1,28.0,28.0,1
493*NA*226,1,1,28.0,28.0,1
493*NA*229,2,1,28.0,28.0,1
493*NA*236,1,1,28.0,28.0,1
493*NA*237,1,1,28.0,28.0,1
493*NA*238,1,1,28.0,28.0,1
493*NA*240,2,1,28.0,28.0,1
493*NA*241,2,1,28.0,28.0,2
493*NA*244,1,1,28.0,28.0,1
493*NA*245,2,1,28.0,28.0,1
493*NA*246,2,1,28.0,28.0,1
493*NA*250,1,1,28.0,28.0,1
493*NA*253,2,1,28.0,28.0,2
493*NA*255,2,1,28.0,28.0,2
493*NA*256,1,1,28.0,28.0,1
493*NA*260,1,1,28.0,28.0,1
493*NA*261,1,1,28.0,28.0,1
493*NA*262,2,1,28.0,28.0,1
493*NA*263,1,1,28.0,28.0,1
493*NA*NA,1696,5,9.0,28.0,2
497*NA*NA,5,4,9.0,21.0,1
500*214*NA,5,4,9.0,21.0,2
500*NA*NA,2,1,15.0,15.0,1
501*NA*NA,2,2,9.0,12.0,1
503*NA*NA,3,1,9.0,9.0,1
505*109*NA,3,2,9.0,12.0,1
505*NA*NA,2,2,9.0,12.0,1
508*227*NA,2,2,9.0,12.0,1
508*NA*NA,2,2,9.0,15.0,1
509*228*NA,10,3,9.0,15.0,1
509*NA*NA,1,1,12.0,12.0,1
510*NA*NA,1,1,15.0,15.0,1
511*519*NA,3,2,12.0,21.0,1
513*235*NA,6,2,9.0,12.0,1
513*NA*NA,2,2,9.0,12.0,1
514*584*NA,23,4,12.0,28.0,2
514*NA*NA,1,1,9.0,9.0,1
515*NA*NA,37,4,12.0,28.0,2
516*NA*NA,3,2,9.0,21.0,2
519*NA*NA,1,1,9.0,9.0,1
520*NA*NA,2,1,9.0,9.0,1
525*251*NA,5,3,9.0,15.0,1
532*450*NA,4,2,9.0,12.0,1
532*NA*NA,2,2,9.0,15.0,1
534*270*NA,8,4,9.0,21.0,2
534*NA*NA,2,2,21.0,28.0,1
535*271*NA,4,3,9.0,21.0,1
538*NA*NA,1,1,12.0,12.0,1
539*NA*NA,3,3,9.0,15.0,1
540*NA*NA,4,2,12.0,15.0,1
542*278*NA,3,3,9.0,15.0,1
543*279*NA,2,2,9.0,12.0,1
543*510*NA,4,1,12.0,12.0,1
543*NA*NA,1,1,12.0,12.0,1
546*509*NA,1,1,12.0,12.0,1
546*NA*NA,4,2,9.0,28.0,2
547*427*NA,2,2,9.0,21.0,1
547*NA*NA,1,1,12.0,12.0,1
548*NA*NA,49,5,9.0,28.0,2
551*NA*NA,3,3,9.0,15.0,1
552*NA*NA,5,2,9.0,12.0,1
554*NA*NA,2,1,9.0,9.0,1
555*NA*NA,5,2,9.0,12.0,1
556*283*NA,5,2,9.0,12.0,1
556*605*NA,1,1,12.0,12.0,1
560*305*NA,20,5,9.0,28.0,2
560*516*NA,15,4,12.0,28.0,1
560*524*NA,1,1,21.0,21.0,1
560*769*NA,1,1,21.0,21.0,1
560*NA*154,1,1,28.0,28.0,1
