dataset,permutation,random_gene_score,random_activation_effect,random_receiver_priming_effect,random_ge_observed,observed_score,observed_activation_effect,observed_receiver_priming_effect
E1_MouseGastrulationData,12,-0.09316427628252104,-0.1003293230047474,-0.15646742083088055,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,13,-0.09719010037191655,-0.10734270095385784,-0.12834958304046767,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,14,-0.02364705983645614,-0.029731023729928585,-0.07672642965191095,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,15,-0.08190689246267557,-0.09123293658397338,-0.18202558189853568,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,16,-0.06285503204882781,-0.07141979372291135,-0.13106294870959445,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,17,-0.05864019277831142,-0.06805828904840655,-0.11103428842508078,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,18,-0.04284075589230594,-0.052292830085463315,-0.09206285676414505,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,19,-0.06195698782204445,-0.07083119356430762,-0.10560085946618042,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,20,-0.08039618433294093,-0.08597296968980894,-0.12455432688406248,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,21,-0.039342023789419735,-0.04266955533825162,-0.06655370274922823,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,22,-0.044272514231881555,-0.050911519126373594,-0.0522972982014101,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,23,-0.029680550099414768,-0.036199641016994466,-0.10533834604826159,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E1_MouseGastrulationData,24,-0.08224968880536074,-0.08983122104609675,-0.13406023281247026,False,0.03873225924259386,0.029226803097673143,-0.021058225005710085
E3_MouseGastrulationData_full,0,-0.0392632195470344,-0.04170070688448775,-0.03925402629712632,True,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
E3_MouseGastrulationData_full,1,-0.06680298691833969,-0.06687637298876983,-0.06816811402018441,False,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
E3_MouseGastrulationData_full,2,-0.0633423796199248,-0.06349781870716084,-0.057766117491950264,True,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
E3_MouseGastrulationData_full,3,-0.07413799413793545,-0.07419362146455985,-0.0676922420836027,False,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
E3_MouseGastrulationData_full,4,-0.05793747010609763,-0.05783022414893038,-0.06061948799716549,True,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
E3_MouseGastrulationData_full,5,-0.05373585655347144,-0.0538140234294206,-0.06416129669815834,True,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
E3_MouseGastrulationData_full,6,-0.061612990306150674,-0.06199611895614146,-0.07656827854021525,True,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
E3_MouseGastrulationData_full,7,-0.04789844614666769,-0.04971612813074773,-0.04672428074853202,True,-0.06439043209218488,-0.06447490006595043,-0.07391589810947796
