seed,variant,density_bin,local_density,empirical_birth_rate_by_density_bin,empirical_death_rate_by_density_bin,empirical_net_growth_rate_by_density_bin,event_count
17,M10_shuffled_time_ot,"(0.999, 3523.875]",0.08911215673124852,0.3709677419354839,0.6290322580645161,-0.25806451612903225,62
17,M10_shuffled_time_ot,"(10569.625, 14092.5]",0.1301137751234279,0.48936170212765956,0.5106382978723404,-0.02127659574468085,329
17,M10_shuffled_time_ot,"(21138.25, 24661.125]",0.7408265613015556,0.47079037800687284,0.5292096219931272,-0.058419243986254296,291
17,M10_shuffled_time_ot,"(3523.875, 7046.75]",0.08911215673124852,0.4763779527559055,0.5236220472440944,-0.047244094488188976,254
17,M11_random_lr_labels,"(10569.625, 14092.5]",0.13011377512342792,0.4559748427672956,0.5440251572327044,-0.0880503144654088,318
17,M11_random_lr_labels,"(21138.25, 24661.125]",0.7408265613015556,0.459546925566343,0.540453074433657,-0.08090614886731391,309
17,M11_random_lr_labels,"(3523.875, 7046.75]",0.08911215673124852,0.49158249158249157,0.5084175084175084,-0.016835016835016835,297
17,M3_ot_birth_death,"(0.999, 3523.875]",0.08911215673124852,0.44966442953020136,0.5503355704697986,-0.10067114093959731,298
17,M3_ot_birth_death,"(10569.625, 14092.5]",0.1301137751234279,0.4421364985163205,0.5578635014836796,-0.11572700296735905,337
17,M3_ot_birth_death,"(21138.25, 24661.125]",0.7408265613015556,0.5172413793103449,0.4827586206896552,0.034482758620689655,290
17,M6_ot_swarm_birth_death,"(0.999, 3523.875]",0.08911215673124852,0.44966442953020136,0.5503355704697986,-0.10067114093959731,298
17,M6_ot_swarm_birth_death,"(10569.625, 14092.5]",0.1301137751234279,0.4421364985163205,0.5578635014836796,-0.11572700296735905,337
17,M6_ot_swarm_birth_death,"(21138.25, 24661.125]",0.7408265613015556,0.5172413793103449,0.4827586206896552,0.034482758620689655,290
17,M7_ot_swarm_birth_death_diffusion,"(0.999, 3523.875]",0.08911215673124852,0.4819672131147541,0.5180327868852459,-0.036065573770491806,305
17,M7_ot_swarm_birth_death_diffusion,"(10569.625, 14092.5]",0.1301137751234279,0.44376899696048633,0.5562310030395137,-0.11246200607902736,329
17,M7_ot_swarm_birth_death_diffusion,"(21138.25, 24661.125]",0.7408265613015556,0.4864864864864865,0.5135135135135135,-0.02702702702702703,296
17,M8_ot_swarm_birth_death_diffusion_cci,"(0.999, 3523.875]",0.08911215673124852,0.4819672131147541,0.5180327868852459,-0.036065573770491806,305
17,M8_ot_swarm_birth_death_diffusion_cci,"(10569.625, 14092.5]",0.1301137751234279,0.44376899696048633,0.5562310030395137,-0.11246200607902736,329
17,M8_ot_swarm_birth_death_diffusion_cci,"(21138.25, 24661.125]",0.7408265613015556,0.4864864864864865,0.5135135135135135,-0.02702702702702703,296
17,M9_full_memory,"(0.999, 3523.875]",0.08911215673124852,0.4819672131147541,0.5180327868852459,-0.036065573770491806,305
17,M9_full_memory,"(10569.625, 14092.5]",0.1301137751234279,0.44376899696048633,0.5562310030395137,-0.11246200607902736,329
17,M9_full_memory,"(21138.25, 24661.125]",0.7408265613015556,0.4864864864864865,0.5135135135135135,-0.02702702702702703,296
23,M10_shuffled_time_ot,"(14092.5, 17615.375]",0.1301137751234279,0.41454545454545455,0.5854545454545454,-0.1709090909090909,275
23,M10_shuffled_time_ot,"(21138.25, 24661.125]",0.7408265613015554,0.4806201550387597,0.5193798449612403,-0.03875968992248062,129
23,M10_shuffled_time_ot,"(24661.125, 28184.0]",0.7408265613015556,0.4434782608695652,0.5565217391304348,-0.11304347826086956,115
23,M10_shuffled_time_ot,"(3523.875, 7046.75]",0.08911215673124852,0.5033783783783784,0.4966216216216216,0.006756756756756757,296
23,M11_random_lr_labels,"(14092.5, 17615.375]",0.1301137751234279,0.4357976653696498,0.5642023346303502,-0.12840466926070038,257
23,M11_random_lr_labels,"(24661.125, 28184.0]",0.7408265613015556,0.4724137931034483,0.5275862068965518,-0.05517241379310345,290
23,M11_random_lr_labels,"(3523.875, 7046.75]",0.08911215673124852,0.4576923076923077,0.5423076923076923,-0.08461538461538462,260
23,M3_ot_birth_death,"(10569.625, 14092.5]",0.13011377512342792,0.41605839416058393,0.583941605839416,-0.1678832116788321,274
23,M3_ot_birth_death,"(21138.25, 24661.125]",0.7408265613015553,0.4752851711026616,0.5247148288973384,-0.049429657794676805,263
23,M3_ot_birth_death,"(3523.875, 7046.75]",0.08911215673124852,0.4777777777777778,0.5222222222222223,-0.044444444444444446,270
