seed,time,event,parent_index,lineage,variant,step
7,14.25,birth,583,neural,M3_ot_birth_death,0
7,14.25,birth,609,neural,M3_ot_birth_death,0
7,14.25,birth,620,neural,M3_ot_birth_death,0
7,14.25,birth,625,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,639,erythroid,M3_ot_birth_death,0
7,14.25,birth,641,erythroid,M3_ot_birth_death,0
7,14.25,birth,649,neural,M3_ot_birth_death,0
7,14.25,birth,685,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,688,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,692,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,706,erythroid,M3_ot_birth_death,0
7,14.25,birth,731,erythroid,M3_ot_birth_death,0
7,14.25,birth,738,erythroid,M3_ot_birth_death,0
7,14.25,birth,752,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,764,erythroid,M3_ot_birth_death,0
7,14.25,birth,767,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,772,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,783,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,790,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,795,neural,M3_ot_birth_death,0
7,14.25,birth,808,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,823,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,838,erythroid,M3_ot_birth_death,0
7,14.25,birth,846,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,855,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,857,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,862,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,864,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,878,erythroid,M3_ot_birth_death,0
7,14.25,birth,887,erythroid,M3_ot_birth_death,0
7,14.25,birth,893,mesoderm_muscle,M3_ot_birth_death,0
7,14.25,birth,896,mesoderm_muscle,M3_ot_birth_death,0
7,14.5,death,5,erythroid,M3_ot_birth_death,1
7,14.5,death,20,erythroid,M3_ot_birth_death,1
7,14.5,death,22,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,42,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,56,neural,M3_ot_birth_death,1
7,14.5,death,58,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,66,erythroid,M3_ot_birth_death,1
7,14.5,death,68,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,75,erythroid,M3_ot_birth_death,1
7,14.5,death,82,erythroid,M3_ot_birth_death,1
7,14.5,death,109,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,138,neural,M3_ot_birth_death,1
7,14.5,death,164,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,180,neural,M3_ot_birth_death,1
7,14.5,death,184,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,206,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,210,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,211,neural,M3_ot_birth_death,1
7,14.5,death,221,neural,M3_ot_birth_death,1
7,14.5,death,231,neural,M3_ot_birth_death,1
7,14.5,death,232,neural,M3_ot_birth_death,1
7,14.5,death,234,neural,M3_ot_birth_death,1
7,14.5,death,235,neural,M3_ot_birth_death,1
7,14.5,death,269,neural,M3_ot_birth_death,1
7,14.5,death,272,neural,M3_ot_birth_death,1
7,14.5,death,289,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,310,erythroid,M3_ot_birth_death,1
7,14.5,death,326,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,352,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,365,erythroid,M3_ot_birth_death,1
7,14.5,death,371,neural,M3_ot_birth_death,1
7,14.5,death,373,neural,M3_ot_birth_death,1
7,14.5,death,375,erythroid,M3_ot_birth_death,1
7,14.5,death,377,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,384,erythroid,M3_ot_birth_death,1
7,14.5,death,385,neural,M3_ot_birth_death,1
7,14.5,death,386,neural,M3_ot_birth_death,1
7,14.5,death,392,neural,M3_ot_birth_death,1
7,14.5,death,400,erythroid,M3_ot_birth_death,1
7,14.5,death,412,erythroid,M3_ot_birth_death,1
7,14.5,death,415,neural,M3_ot_birth_death,1
7,14.5,death,416,erythroid,M3_ot_birth_death,1
7,14.5,death,429,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,446,erythroid,M3_ot_birth_death,1
7,14.5,death,454,neural,M3_ot_birth_death,1
7,14.5,death,463,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,466,erythroid,M3_ot_birth_death,1
7,14.5,death,474,erythroid,M3_ot_birth_death,1
7,14.5,death,496,erythroid,M3_ot_birth_death,1
7,14.5,death,501,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,502,neural,M3_ot_birth_death,1
7,14.5,death,514,neural,M3_ot_birth_death,1
7,14.5,death,517,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,558,erythroid,M3_ot_birth_death,1
7,14.5,death,562,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,570,erythroid,M3_ot_birth_death,1
7,14.5,death,576,erythroid,M3_ot_birth_death,1
7,14.5,death,583,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,593,neural,M3_ot_birth_death,1
7,14.5,death,605,neural,M3_ot_birth_death,1
7,14.5,death,606,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,610,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,624,erythroid,M3_ot_birth_death,1
7,14.5,death,644,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,659,neural,M3_ot_birth_death,1
7,14.5,death,665,neural,M3_ot_birth_death,1
7,14.5,death,675,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,681,erythroid,M3_ot_birth_death,1
7,14.5,death,694,neural,M3_ot_birth_death,1
7,14.5,death,697,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,703,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,734,erythroid,M3_ot_birth_death,1
7,14.5,death,744,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,745,neural,M3_ot_birth_death,1
7,14.5,death,768,erythroid,M3_ot_birth_death,1
7,14.5,death,771,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,772,erythroid,M3_ot_birth_death,1
7,14.5,death,775,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,779,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,786,neural,M3_ot_birth_death,1
7,14.5,death,791,erythroid,M3_ot_birth_death,1
7,14.5,death,796,mesoderm_muscle,M3_ot_birth_death,1
7,14.5,death,808,erythroid,M3_ot_birth_death,1
7,14.5,death,818,erythroid,M3_ot_birth_death,1
7,14.5,death,821,erythroid,M3_ot_birth_death,1
7,14.5,death,834,mesoderm_muscle,M3_ot_birth_death,1
