valid,pre_comm,event_comm,post_comm,communication_activation_effect,sender_neighbor_activity_effect,communication_relaxation_effect,receiver_priming_effect,pre_lineage_comm_divergence,event_lineage_comm_divergence,post_lineage_comm_divergence,post_event_comm_divergence_effect,communication_window_score,niche_priming_then_divergence,dataset,role,independence_tier,expected_window_type,pre_time,event_time,post_time,window_source,time_shuffle_score,time_shuffle_pass
True,0.2600018779415688,0.2668129182159315,0.33745809399006205,0.00681104027436269,-0.020327079427246375,0.07064517577413054,0.013314392606743608,0.02672984840231918,0.03654126015654916,0.05841920442953788,0.02187794427298872,0.01775001241085705,True,E1_MouseGastrulationData,external_time_series,related_mouse_gastrulation_sample,condensation_before_divergence,7.5,7.75,8.0,scan,-0.0037883501082813954,True
True,0.1867243825989991,0.12224948253304867,0.11396666812608938,-0.06447490006595043,-0.08633114095081676,-0.008282814406959285,-0.07391589810947796,0.006491303164065357,0.003103266541450786,0.003272202488981886,0.00016893594753109985,-0.06439043209218488,False,E3_MouseGastrulationData_full,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,pre_registered,-0.018593188759315746,False
True,0.22097682812163008,0.21979308364354788,0.1867243825989991,-0.0011837444780821993,-0.00811306318009869,-0.03306870104454879,0.020646318659411744,0.0055072029025612845,0.011220521434253719,0.006491303164065357,-0.004729218270188362,-0.00354835361317638,False,E3_MouseGastrulationData_full,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.25,7.5,7.75,scan,-0.004612839316041526,True
True,0.12224948253304867,0.11396666812608938,0.1203150125575081,-0.008282814406959285,-0.019546164432081653,0.006348344431418712,-0.03747845002350053,0.003103266541450786,0.003272202488981886,0.004218221267422743,0.0009460187784408572,-0.007809805017738857,False,E3_MouseGastrulationData_full,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,8.0,8.25,8.5,scan,0.036457731709714475,False
True,0.21979308364354788,0.1867243825989991,0.12224948253304867,-0.03306870104454879,-0.04908387312820944,-0.06447490006595043,-0.020595405530904443,0.011220521434253719,0.006491303164065357,0.003103266541450786,-0.003388036622614571,-0.03476271935585607,False,E3_MouseGastrulationData_full,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.5,7.75,8.0,scan,-0.004408382094782571,False
True,0.27506069048692894,0.22097682812163008,0.21979308364354788,-0.05408386236529886,-0.05623830615751496,-0.0011837444780821993,-0.07702811697013395,0.01708721845600662,0.0055072029025612845,0.011220521434253719,0.005713318531692434,-0.05122720309945264,False,E3_MouseGastrulationData_full,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.0,7.25,7.5,scan,0.021647156199536898,False
True,0.1867243825989991,0.12224948253304867,0.11396666812608938,-0.06447490006595043,-0.08633114095081676,-0.008282814406959285,-0.07391589810947796,0.006491303164065357,0.003103266541450786,0.003272202488981886,0.00016893594753109985,-0.06439043209218488,False,E3_MouseGastrulationData_full,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,7.75,8.0,8.25,scan,-0.018593188759315746,False
True,0.34294460410399147,0.27506069048692894,0.22097682812163008,-0.06788391361706253,-0.1924162409049024,-0.05408386236529886,-0.016076878386697246,0.0,0.01708721845600662,0.0055072029025612845,-0.011580015553445334,-0.0736739213937852,False,E3_MouseGastrulationData_full,related_atlas_stress,related_mouse_gastrulation_atlas,condensation_before_divergence_weak,6.5,7.0,7.25,scan,0.024992187885614414,False
True,0.07128324696742766,0.06783564068654861,0.029393240115787266,-0.003447606280879048,-0.01147464976378057,-0.03844240057076134,-0.031141414436647502,0.0003093520403563847,3.0379739690058677e-05,0.00040615811307474683,0.00037577837338468814,-0.003259717094186704,False,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,9.0,10.0,12.0,pre_registered,0.0021187797384545647,False
True,0.11984115052824675,0.18398405193176803,0.12099122426442245,0.06414290140352129,0.11522417356537526,-0.06299282766734558,-0.03329834522496816,0.0025703446752641003,0.020511974664127287,1.2292349139757946e-06,-0.02051074542921331,0.05388752868891463,False,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,4.3,5.3,7.0,scan,-0.01235925221306057,True
True,0.2015407054480213,0.23646818900435557,0.11984115052824675,0.034927483556334266,0.043307276064908334,-0.11662703847610882,-0.01076957646326182,0.0,0.0,0.0025703446752641003,0.0025703446752641003,0.036212655893966314,True,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,3.3,3.8,4.3,scan,0.013208070772274478,True
True,0.07128324696742766,0.06783564068654861,0.029393240115787266,-0.003447606280879048,-0.01147464976378057,-0.03844240057076134,-0.031141414436647502,0.0003093520403563847,3.0379739690058677e-05,0.00040615811307474683,0.00037577837338468814,-0.003259717094186704,False,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,9.0,10.0,12.0,scan,0.0021187797384545647,False
True,0.08182244066749433,0.07128324696742766,0.06783564068654861,-0.010539193700066674,-0.02903902948964618,-0.003447606280879048,-0.009267395473196854,5.6719919130948445e-05,0.0003093520403563847,3.0379739690058677e-05,-0.00027897230066632604,-0.010678679850399837,False,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,8.0,9.0,10.0,scan,0.0033987367258052365,False
True,0.12099122426442245,0.08182244066749433,0.07128324696742766,-0.03916878359692812,-0.049321498756375926,-0.010539193700066674,-0.09398479898466297,1.2292349139757946e-06,5.6719919130948445e-05,0.0003093520403563847,0.0002526321212254363,-0.0390424675363154,False,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,7.0,8.0,9.0,scan,0.01100491642520815,False
True,0.18398405193176803,0.12099122426442245,0.08182244066749433,-0.06299282766734558,-0.01869773518719836,-0.03916878359692812,-0.1239179580592954,0.020511974664127287,1.2292349139757946e-06,5.6719919130948445e-05,5.549068421697265e-05,-0.06296508232523709,False,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,5.3,7.0,8.0,scan,-0.006033097777118707,False
True,0.23646818900435557,0.11984115052824675,0.18398405193176803,-0.11662703847610882,-0.0515783264658741,0.06414290140352129,-0.08625576185914291,0.0,0.0025703446752641003,0.020511974664127287,0.017941629988863186,-0.10765622348167722,False,E5_zebrafish_Farrell,independent_developmental_stress,independent_cross_species,divergence_without_condensation,3.8,4.3,5.3,scan,0.008776099573136353,False
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,E2_GSE212050_gastruloid,independent_developmental_stress,independent_gastruloid,no_branch_or_false_positive_window,3.5,4.0,4.5,pre_registered,0.0,False
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,E2_GSE212050_gastruloid,independent_developmental_stress,independent_gastruloid,no_branch_or_false_positive_window,3.0,3.5,4.0,scan,0.0,False
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,E2_GSE212050_gastruloid,independent_developmental_stress,independent_gastruloid,no_branch_or_false_positive_window,3.5,4.0,4.5,scan,0.0,False
True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,E2_GSE212050_gastruloid,independent_developmental_stress,independent_gastruloid,no_branch_or_false_positive_window,4.0,4.5,5.0,scan,0.0,False
True,0.20284793660737555,0.4322273631136553,0.4699113641968271,0.22937942650627974,0.21696938647821729,0.037684001083171825,0.2642548625040615,0.019217010169442512,0.025483996868757606,0.03780809507258586,0.012324098203828255,0.23554147560819386,True,GSE154572_EB_WT,independent_developmental_stress,independent_embryoid_body,weak_or_unresolved,4.0,7.0,10.0,scan,0.03521389372242893,True
True,0.5023418439496377,0.20284793660737555,0.4322273631136553,-0.2994939073422621,-0.22642585145906957,0.22937942650627974,-0.37804362881346854,0.01472590885142155,0.019217010169442512,0.025483996868757606,0.006266986699315094,-0.29636041399260454,False,GSE154572_EB_WT,independent_developmental_stress,independent_embryoid_body,weak_or_unresolved,0.0,4.0,7.0,scan,-0.007677750269053624,False
