time_point,time_numeric,lineage,n
E7.25,7.25,Caudal neurectoderm,0
E7.25,7.25,Def. endoderm,9
E7.25,7.25,Endothelium,0
E7.25,7.25,Epiblast,9
E7.25,7.25,Erythroid1,0
E7.25,7.25,ExE ectoderm,0
E7.25,7.25,ExE mesoderm,2
E7.25,7.25,Gut,0
E7.25,7.25,Haematoendothelial progenitors,12
E7.25,7.25,Intermediate mesoderm,0
E7.25,7.25,Mesenchyme,4
E7.25,7.25,Mixed mesoderm,7
E7.25,7.25,Nascent mesoderm,23
E7.25,7.25,Notochord,2
E7.25,7.25,PGC,0
E7.25,7.25,Paraxial mesoderm,0
E7.25,7.25,Pharyngeal mesoderm,0
E7.25,7.25,Primitive Streak,14
E7.25,7.25,Rostral neurectoderm,1
E7.25,7.25,Somitic mesoderm,0
E7.25,7.25,Spinal cord,0
E7.25,7.25,Stripped,2
E7.25,7.25,Surface ectoderm,0
E7.25,7.25,Visceral endoderm,0
E7.25,7.5,Allantois,0
E7.25,7.5,Anterior Primitive Streak,0
E7.25,7.5,Blood progenitors 1,0
E7.25,7.5,Blood progenitors 2,0
E7.25,7.5,Cardiomyocytes,0
E7.25,7.5,Caudal Mesoderm,0
E7.25,7.5,Caudal epiblast,0
E7.25,7.5,Caudal neurectoderm,0
E7.25,7.5,Def. endoderm,0
E7.25,7.5,Endothelium,0
E7.25,7.5,Epiblast,0
E7.25,7.5,Erythroid1,0
E7.25,7.5,ExE ectoderm,0
E7.25,7.5,ExE mesoderm,0
E7.25,7.5,Gut,0
E7.25,7.5,Haematoendothelial progenitors,0
E7.25,7.5,Intermediate mesoderm,0
E7.25,7.5,Mesenchyme,0
E7.25,7.5,Mixed mesoderm,0
E7.25,7.5,Nascent mesoderm,0
E7.25,7.5,Notochord,0
E7.25,7.5,PGC,0
E7.25,7.5,Paraxial mesoderm,0
E7.25,7.5,Pharyngeal mesoderm,0
E7.25,7.5,Primitive Streak,0
E7.25,7.5,Rostral neurectoderm,0
E7.25,7.5,Somitic mesoderm,0
E7.25,7.5,Spinal cord,0
E7.25,7.5,Stripped,0
E7.25,7.5,Surface ectoderm,0
E7.25,7.5,Visceral endoderm,0
E7.25,7.75,Allantois,0
E7.25,7.75,Anterior Primitive Streak,0
E7.25,7.75,Blood progenitors 1,0
E7.25,7.75,Blood progenitors 2,0
E7.25,7.75,Cardiomyocytes,0
E7.25,7.75,Caudal Mesoderm,0
E7.25,7.75,Caudal epiblast,0
E7.25,7.75,Caudal neurectoderm,0
E7.25,7.75,Def. endoderm,0
E7.25,7.75,Endothelium,0
E7.25,7.75,Epiblast,0
E7.25,7.75,Erythroid1,0
E7.25,7.75,ExE ectoderm,0
E7.25,7.75,ExE mesoderm,0
E7.25,7.75,Gut,0
E7.25,7.75,Haematoendothelial progenitors,0
E7.25,7.75,Intermediate mesoderm,0
E7.25,7.75,Mesenchyme,0
E7.25,7.75,Mixed mesoderm,0
E7.25,7.75,Nascent mesoderm,0
E7.25,7.75,Notochord,0
E7.25,7.75,PGC,0
E7.25,7.75,Paraxial mesoderm,0
E7.25,7.75,Pharyngeal mesoderm,0
E7.25,7.75,Primitive Streak,0
E7.25,7.75,Rostral neurectoderm,0
E7.25,7.75,Somitic mesoderm,0
E7.25,7.75,Spinal cord,0
E7.25,7.75,Stripped,0
E7.25,7.75,Surface ectoderm,0
E7.25,7.75,Visceral endoderm,0
E7.25,8.0,Allantois,0
E7.25,8.0,Anterior Primitive Streak,0
