dataset_id,sampling_strategy,model,outcome,control,control_effect,control_p,negative_control_clean
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_branch_count,outcome_label_shuffle,-0.08301603423360582,0.6012019577409893,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_branch_count,exposure_shuffle,-0.05534402282240389,0.7277552591187735,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_branch_count,teacher_velocity_shuffle,0.14758406085974368,0.3509692791768828,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_fate_diversification_index,clone_label_shuffle,0.03007887121797538,0.850019758815237,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_fate_diversification_index,time_label_shuffle,0.32406141545789535,0.036291440451557,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_fate_diversification_index,outcome_label_shuffle,0.1091182408418523,0.491525781775337,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_fate_diversification_index,exposure_shuffle,-0.13436692836059075,0.3962293960944524,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_fate_diversification_index,teacher_velocity_shuffle,0.039958792420959996,0.8016225901109215,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_transition_entropy,clone_label_shuffle,0.11317422373738878,0.4754646925385192,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_transition_entropy,time_label_shuffle,-0.039369071962293674,0.8044927765559301,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_transition_entropy,outcome_label_shuffle,0.21961301588604784,0.16228416389961503,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_transition_entropy,exposure_shuffle,-0.040886915700598964,0.7971106127313148,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,alignment_only,clone_transition_entropy,teacher_velocity_shuffle,-0.1418235242979013,0.3702932897221122,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_fate_entropy,clone_label_shuffle,-0.0869433065862646,0.5840413103121875,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_fate_entropy,time_label_shuffle,-0.10736181040576614,0.498566874341661,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_fate_entropy,outcome_label_shuffle,0.30474068066094767,0.049727788706642816,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_fate_entropy,exposure_shuffle,-0.22789684908217842,0.14662729991072532,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_fate_entropy,teacher_velocity_shuffle,-0.05862086580437539,0.712307390105438,True
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_lineage_entropy,clone_label_shuffle,0.1730083979544861,0.27322167091949384,False
Jindal_2023_NatureBiotechnology_LSK_RNA,cell_random_native,fate_entropy_only,terminal_lineage_entropy,time_label_shuffle,-0.0015368766315753846,0.992292944088691,True
