memory_context,final_fate_belief_delta,diffusion_delta,birth_hazard_delta,death_hazard_delta,branch_probability_shift
erythroid_rich_memory,0.002999898791313171,0.004467388790709612,0.0,-0.0,0.002999898791313171
erythroid_rich_memory,4.5973062515258786e-05,0.00013592838085501157,0.0,-0.0,4.5973062515258786e-05
erythroid_rich_memory,0.004048731923103332,0.005649500139563215,0.0,-0.0,0.004048731923103332
erythroid_rich_memory,0.006106334924697876,0.007934935648015035,0.0,-0.0,0.006106334924697876
erythroid_rich_memory,2.0876526832580566e-05,6.678249235296978e-05,0.0,-0.0,2.0876526832580566e-05
erythroid_rich_memory,0.00014974772930145263,0.00036338446893854095,0.0,-0.0,0.00014974772930145263
erythroid_rich_memory,0.0024939894676208494,0.003921675418966401,0.0,-0.0,0.0024939894676208494
erythroid_rich_memory,0.09999999850988388,0.050000000133753955,0.0,-0.0,0.09999999850988388
erythroid_rich_memory,0.06212114095687866,0.030882424292882016,0.0,-0.0,0.06212114095687866
erythroid_rich_memory,0.05024939775466919,0.02967109847839035,0.0,-0.0,0.05024939775466919
erythroid_rich_memory,1.9669532775878906e-06,7.722251641692269e-06,0.0,-0.0,1.9669532775878906e-06
erythroid_rich_memory,0.034309735894203185,0.024742799596979146,0.0,-0.0,0.034309735894203185
erythroid_rich_memory,0.047890681028366085,0.028755122054251875,0.0,-0.0,0.047890681028366085
