dataset,tf,target,rank,target_source,signed_prior,correlation_proxy
internal_native,Spi1,Ptprc,10,pathwayfinder_omnipath_prior,1.0,
internal_native,Irf8,Stat1,1,pathwayfinder_omnipath_prior,-1.0,-0.016259589073977544
internal_native,Irf8,Ncf2,2,pathwayfinder_omnipath_prior,1.0,-0.005513980528211911
internal_native,Irf8,Dab2,3,pathwayfinder_omnipath_prior,1.0,0.005202297990219631
internal_native,Irf8,Spi1,4,pathwayfinder_omnipath_prior,1.0,-0.003156798632838479
internal_native,Irf8,Tnfsf11,5,pathwayfinder_omnipath_prior,1.0,0.0
internal_native,Irf8,Arg1,6,pathwayfinder_omnipath_prior,1.0,
internal_native,Irf8,Fap,7,pathwayfinder_omnipath_prior,1.0,-0.018654326255151506
internal_native,Irf8,Ikzf1,8,pathwayfinder_omnipath_prior,1.0,-0.04399550473076735
internal_native,Irf8,Bcl2l1,9,pathwayfinder_omnipath_prior,1.0,0.0030435042718632787
internal_native,Irf8,Igf1,10,pathwayfinder_omnipath_prior,1.0,
E1_MouseGastrulationData,Pou5f1,Utf1,1,pathwayfinder_omnipath_prior,1.0,0.3916440874521272
E1_MouseGastrulationData,Pou5f1,Sox2,2,pathwayfinder_omnipath_prior,1.0,0.3561318644676953
E1_MouseGastrulationData,Pou5f1,Gja1,3,pathwayfinder_omnipath_prior,1.0,0.29023148952432215
E1_MouseGastrulationData,Pou5f1,Bmp4,4,pathwayfinder_omnipath_prior,-1.0,-0.359209919396755
E1_MouseGastrulationData,Pou5f1,Dkk1,5,pathwayfinder_omnipath_prior,-1.0,0.020302310721127877
E1_MouseGastrulationData,Pou5f1,Lefty2,6,pathwayfinder_omnipath_prior,1.0,
E1_MouseGastrulationData,Pou5f1,Sall4,7,pathwayfinder_omnipath_prior,1.0,0.29730105826359493
E1_MouseGastrulationData,Pou5f1,Sox17,8,pathwayfinder_omnipath_prior,-1.0,-0.12604391382855246
E1_MouseGastrulationData,Pou5f1,Cdx2,9,pathwayfinder_omnipath_prior,-1.0,0.22466213053515627
E1_MouseGastrulationData,Pou5f1,Fgf8,10,pathwayfinder_omnipath_prior,1.0,0.3276231346563987
E1_MouseGastrulationData,Sox2,Fgf3,1,pathwayfinder_omnipath_prior,-1.0,-0.3083005739156696
E1_MouseGastrulationData,Sox2,Pou5f1,2,pathwayfinder_omnipath_prior,1.0,0.3534852716249332
E1_MouseGastrulationData,Sox2,Ccnd1,3,pathwayfinder_omnipath_prior,1.0,-0.07419849876393922
E1_MouseGastrulationData,Sox2,Ctbp2,4,pathwayfinder_omnipath_prior,1.0,
E1_MouseGastrulationData,Sox2,Cdx2,5,pathwayfinder_omnipath_prior,1.0,-0.10766156262959929
