native_max_cells_per_time,epsilon,source_time,target_time,plan_shape,n_source,n_target,converged,transport_mass,source_mass_cv,target_mass_cv,mean_entropy,transport_cost,lineage_edge_mass_js_vs_reference
250,0.04,16.0,17.0,250x250,250,250,False,1.0000000076262663,5.163009803688699e-07,0.002306825962597008,0.5422707200050354,0.3267757892608642,0.0010094594298415997
250,0.08,13.0,14.0,250x250,250,250,True,1.0000000026553435,4.3484834812244983e-07,0.0010572576501781806,0.6828314065933228,0.3943400979042053,3.197245571030585e-05
250,0.08,12.0,13.0,250x250,250,250,False,0.9999999995366751,3.402335147162125e-07,0.0026594526215252007,0.7122531533241272,0.4542520344257355,0.0009129644668523715
250,0.08,14.0,16.0,250x250,250,250,True,0.999999996441422,3.8441843833495595e-07,0.000979463845810722,0.7188532948493958,0.4518244862556457,0.002262311067077383
250,0.08,18.0,19.0,250x250,250,250,True,0.9999999965894569,3.649750674604611e-07,0.000608127465127295,0.6570418477058411,0.396899551153183,0.00017081302972867532
250,0.08,17.0,18.0,250x250,250,250,False,0.9999999959201078,3.337118713255486e-07,0.001368731083737691,0.6724284887313843,0.4107281267642975,0.000564439329730228
250,0.08,16.0,17.0,250x250,250,250,True,0.999999983568949,3.2649291005570594e-07,0.0009954597747426133,0.6898412704467773,0.4093064665794372,9.958969481514636e-05
250,0.12,13.0,14.0,250x250,250,250,True,1.0000000021228956,3.335065528860103e-07,0.0010315709861538351,0.7595708966255188,0.4551254212856293,0.0016180514236928886
250,0.12,12.0,13.0,250x250,250,250,True,1.0000000045151833,2.9393827511042354e-07,0.0009986591689277115,0.7793045043945312,0.5096176266670227,0.002451105142179371
250,0.12,14.0,16.0,250x250,250,250,True,1.0000000014470343,3.295183529181078e-07,0.0010543792354324657,0.7880555391311646,0.5053839683532715,0.006051799381153121
250,0.12,18.0,19.0,250x250,250,250,True,0.999999996280485,2.731863591956045e-07,0.0008485887213924428,0.723744809627533,0.4646935164928436,0.001792817282975433
250,0.12,17.0,18.0,250x250,250,250,True,0.999999995862454,2.5674344044613373e-07,0.0010309315782174706,0.7394582033157349,0.4750289916992187,0.001338455152226177
250,0.12,16.0,17.0,250x250,250,250,True,0.9999999964015133,2.99388430548028e-07,0.0009117143898287681,0.7608609199523926,0.4691837728023529,0.0026366392365681545
500,0.04,13.0,14.0,500x500,500,500,False,0.9999999989589626,6.876269647045137e-07,0.0033024545663817343,0.5723272562026978,0.3105831444263458,0.002418793745780994
500,0.04,12.0,13.0,500x500,500,500,True,0.9999999986107265,6.380365719381235e-07,0.0008742006282385938,0.5985594391822815,0.3521175980567932,0.0038661746643964346
500,0.04,14.0,16.0,500x500,500,500,False,0.9999999964901376,5.557937099202248e-07,0.002597151789411302,0.5874318480491638,0.3518963456153869,0.002794299738847467
500,0.04,18.0,19.0,500x500,500,500,True,0.9999999996129615,6.598235651723591e-07,0.000997294588105829,0.5656326413154602,0.3254610598087311,0.003000885186847703
500,0.04,17.0,18.0,500x500,500,500,False,0.9999999875607131,4.475086994162279e-07,0.004233115774961919,0.5667769908905029,0.3120716512203216,0.00515026572383144
500,0.04,16.0,17.0,500x500,500,500,False,0.9999999836581835,6.201493377585118e-07,0.005328984612702571,0.5677282810211182,0.3145503103733063,0.0035317157900699916
500,0.08,13.0,14.0,500x500,500,500,False,1.0000000025072497,4.2657757996431054e-07,0.0012681885587565494,0.7178095579147339,0.3961958587169647,0.0005566623239618465
500,0.08,12.0,13.0,500x500,500,500,True,1.0000000053785345,4.030280068152663e-07,0.0007193350086365028,0.73115074634552,0.4330103695392608,0.00023787943670841518
500,0.08,14.0,16.0,500x500,500,500,True,0.9999999953370047,3.322420882115133e-07,0.0009898161744903012,0.7342590093612671,0.4335195124149322,0.0011736897850552284
500,0.08,18.0,19.0,500x500,500,500,True,1.0000000190269058,3.790097113008861e-07,0.0008634358878028704,0.6983781456947327,0.4143587648868561,0.00048280906648678814
