tf_name,devvcell_system,stage,stage_num,target_stage,response_amplitude,fate_displacement,recovery_cost,recovery_probability,alignment_with_normal_transition,devvcell_priority_score,rescue_candidate,best_rescue_fraction,rescue_candidate_status,matched_global_grn_targets,matched_system_targets
Nrg1,erythroid,Theiler stage 18,18,Theiler stage 19,0.3260179758071899,0.3260180950164795,0.3260179758071899,0.2714243262250414,-0.0337449833750724,0.562445635633383,not_observed,0.0,not_observed,10,17
Eya4,neural,Theiler stage 13,13,Theiler stage 14,0.3251335024833679,0.3251334726810455,0.3251335024833679,0.2723862972009132,-0.067267321050167,0.5801603409284204,not_observed,0.0,not_observed,10,5
Lef1,mesoderm_muscle,Theiler stage 16,16,Theiler stage 17,0.3245249986648559,0.3245250582695007,0.3245249986648559,0.2730500971306058,0.1837572455406189,0.6669700902954203,not_observed,0.0,not_observed,10,22
Eya4,neural,Theiler stage 18,18,Theiler stage 19,0.3220959603786468,0.322096049785614,0.3220959603786468,0.2757160239946493,0.2197738736867904,0.5801603409284204,not_observed,0.0,not_observed,10,5
Eya4,erythroid,Theiler stage 16,16,Theiler stage 17,0.31765216588974,0.3176521062850952,0.31765216588974,0.2806607418134789,-0.0690151453018188,0.5801603409284204,not_observed,0.0,not_observed,10,16
Eya1,neural,Theiler stage 16,16,Theiler stage 17,0.317162275314331,0.3171623051166534,0.3064133081593559,0.2935658708676389,-0.0085702380165457,0.6874957220103752,Eya2,0.0338910645798657,observed_in_rescue_table,10,8
Lef1,neural,Theiler stage 18,18,Theiler stage 19,0.3167154490947723,0.3167154192924499,0.3167154490947723,0.2817143128985268,-0.0326044335961341,0.6669700902954203,not_observed,0.0,not_observed,10,3
Nrg1,neural,Theiler stage 14,14,Theiler stage 15,0.3156499862670898,0.3156500458717346,0.3156499862670898,0.2829174994922251,-0.1493124216794967,0.562445635633383,not_observed,0.0,not_observed,10,4
Prox1,neural,Theiler stage 13,13,Theiler stage 14,0.3147380650043487,0.3147380650043487,0.3147380650043487,0.2839513779108405,0.0788125023245811,0.6226286711254221,not_observed,0.0,not_observed,10,0
Rfx4,neural,Theiler stage 14,14,Theiler stage 15,0.3146668374538421,0.3146668672561645,0.2488377943562122,0.369593628812409,-0.032757680863142,0.7101176189887484,Satb1,0.209202353925479,observed_in_rescue_table,10,0
