cohort,normality_class,module_name,mean_residual,mean_abs_residual,median_abs_residual,max_abs_residual,n_records,n_cells
Tal1_chimera,abnormal_off_normal,erythroid,-0.7875375018312297,0.7875375018312297,0.7953946623959158,1.1372609105354814,18,4553
Tal1_chimera,abnormal_off_normal,extraembryonic_mesoderm,0.04790081910473426,0.0664137025771489,0.03249411211517695,0.2825093264997915,18,4553
Tal1_chimera,abnormal_off_normal,wnt_response,0.012984838069813367,0.049353999599024576,0.03539986268252585,0.1859637282725968,18,4553
Tal1_chimera,abnormal_off_normal,cardiac,0.031884783494824306,0.04756429981196217,0.0170584487398188,0.1798868711940795,18,4553
Tal1_chimera,abnormal_off_normal,endothelial,-0.018118368067488393,0.04688245809302874,0.013083998538839101,0.3773381459290366,18,4553
Tal1_chimera,abnormal_off_normal,cell_cycle,0.003558716885942151,0.04612236443357603,0.02980817617792645,0.2354203135364866,18,4553
Tal1_chimera,abnormal_off_normal,haematoendothelial,-0.013184721159309595,0.04377326909895163,0.021532063117787,0.2563261316508606,18,4553
Tal1_chimera,abnormal_off_normal,stress,-0.022401109387718564,0.040477771783498304,0.035731528050162345,0.0967569936905908,18,4553
Tal1_chimera,abnormal_off_normal,apoptosis,-0.025761517342863326,0.03836810956523095,0.0242686305573815,0.0953677496496409,18,4553
Tal1_chimera,abnormal_off_normal,intermediate,0.01807026582179841,0.03749386897464763,0.026000395833319298,0.1478868728978842,18,4553
Tal1_chimera,abnormal_off_normal,mesoderm,0.016805678806353988,0.019517972790399067,0.005894482996773649,0.1269317520592352,18,4553
Tal1_chimera,abnormal_off_normal,neural,-0.007188298897160644,0.018630494488791047,0.012247727525489499,0.0814482060754429,18,4553
Tal1_chimera,abnormal_off_normal,paraxial_mesoderm,-0.002011866240735895,0.015219842399713837,0.00911240676247795,0.0614989444478265,18,4553
Tal1_chimera,fate_deviation,erythroid,-0.7747384432001791,0.7747384432001791,0.7811862908050373,1.1330819682657831,19,7385
Tal1_chimera,fate_deviation,extraembryonic_mesoderm,0.0397192847708898,0.05958999621322245,0.0411038943287795,0.2164528711247489,19,7385
Tal1_chimera,fate_deviation,cell_cycle,-0.02704622862662238,0.048830080412830296,0.0456655823737374,0.1019104853961625,19,7385
Tal1_chimera,fate_deviation,endothelial,-0.02331377993010582,0.04548651929492348,0.0075347494791485,0.3953673508115892,19,7385
Tal1_chimera,fate_deviation,cardiac,-0.012453651516410938,0.04328935696951521,0.0089440445179167,0.4331605575723399,19,7385
Tal1_chimera,fate_deviation,apoptosis,-0.023198940722792206,0.03985441694648782,0.0186172426890187,0.101257956969458,19,7385
Tal1_chimera,fate_deviation,wnt_response,0.005316495053894936,0.0367304078972987,0.0225482444562259,0.1292332240443291,19,7385
Tal1_chimera,fate_deviation,intermediate,0.000789834261281858,0.034014981032869505,0.0195991934500052,0.1216970680502398,19,7385
Tal1_chimera,fate_deviation,stress,-0.011512939874565548,0.033827300752617875,0.0255981534446612,0.0849679958878175,19,7385
Tal1_chimera,fate_deviation,haematoendothelial,-0.0116055494813511,0.03299065039304193,0.0176544623163784,0.2590121792964238,19,7385
Tal1_chimera,fate_deviation,neural,-0.013460639672371962,0.0235030145301972,0.0151057484636711,0.0915126325865138,19,7385
Tal1_chimera,fate_deviation,paraxial_mesoderm,-0.0003354060243261635,0.015248398722565311,0.0094593334417184,0.0622696261004943,19,7385
Tal1_chimera,fate_deviation,mesoderm,0.0076074800712856525,0.012596541687466548,0.0041366051877563,0.062517661823184,19,7385
Tal1_chimera,within_stage_normal,erythroid,-0.7987474094933207,0.7987474094933207,0.7751842924578533,1.7741779882070627,21,16286
