clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
1158,12,2.5,5.0,2.5,MEP,0.9709505944517833,0.9709505944517833,2,2,0.4,,0.9206198357115741,10,2.5,2,-0.07283886036014803,-0.957732481949802,-2.7816803625538724,1.0000000000000002,1.0,13.58922191859821,4.895212574140186,0.9997354071782596
1164,6,2.5,5.0,2.5,MPP/GMP,0.8112781244562475,0.8112781244562475,2,2,0.25,,0.9206198357115741,4,2.5,2,-0.1529030954272606,-2.800649086910875,-1.2054337175109446,1.0000000000000002,1.0,7.69505016392141,5.777348327270612,0.9055292772574354
1166,17,2.5,5.0,2.5,Unk_2,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.840916049417106,15,2.5,2,-0.27043999365352095,-1.0886515226782032,-0.5691547461308766,1.0000000000000002,1.0,13.898301148905738,4.716973691827698,0.9845499078236649
1167,6,2.5,5.0,2.5,MEP,0.9999999999968934,0.9999999999968934,5,5,0.8,,0.9697238998651408,5,2.5,6,-0.16454609836641254,-5.1799004803001365,-2.3690831725415493,1.0000000000000002,1.0,12.575208142672546,5.836832139666978,0.9658053632044777
1168,5,2.5,5.0,2.5,MEP,0.0,0.0,1,1,0.0,,0.8649735207151964,3,2.5,2,-0.15036405601270036,-3.915575255352017,-1.4796847416843915,1.0000000000000002,1.0,7.5432617356256,7.6767726124686675,0.9785072216391963
1170,7,2.5,5.0,2.5,MPP,0.0,0.0,1,1,0.0,,0.591672778579442,6,2.5,7,-2.7927804700739323,-6.068167348495528,-2.954053823854499,1.0000000000000002,1.0,23.541206114470878,6.610241924736093,-0.69778896719204
1173,24,2.5,5.0,2.5,MPP,0.8180826725792482,0.8180826725792482,6,6,0.5454545454545454,,0.7842638274615849,22,2.5,2,-0.12647697454933943,-5.120122377119133,-3.2790891898392616,1.0000000000000002,1.0,9.682587853884387,6.987692063892491,0.6918153303253178
1175,9,2.5,5.0,2.5,Unk_2,0.9206198357115741,0.9206198357115741,3,3,0.5,,0.9182958340516042,6,2.5,3,-0.77502900886283,-1.0954460284649212,-1.3177407951877338,1.0000000000000002,1.0,11.691371397789924,4.211492782530497,0.9668872526942893
118,17,5.0,5.0,0.0,Ccr7_DC,0.8960975968383469,0.8960975968383469,4,4,0.6470588235294117,,0.8960975968383469,17,2.5,17,-1.0657728619299474,-4.554196927071119,-2.0091249591546516,1.0000000000000002,1.0,18.827389340178197,4.554196927071119,-0.3490118942758192
1181,5,2.5,5.0,2.5,MPP/GMP,0.0,0.0,1,1,0.0,,0.9709505944517833,3,2.5,2,-0.09201086431967356,-1.2614859039960897,-2.377164682904862,1.0000000000000002,1.0,11.87187928301536,5.172527992845906,0.998615292888082
1182,13,2.5,5.0,2.5,MPP/GMP,0.8836333707763763,0.8836333707763763,6,6,0.5833333333333333,,0.8850355544013367,12,2.5,13,-0.5095192486727566,-5.423080241245289,-2.5160270197077312,1.0000000000000002,1.0,20.185954727004685,5.571887451551424,0.6671823463860205
1188,8,2.5,5.0,2.5,Lym,0.9591479170243595,0.9591479170243595,4,4,0.6666666666666667,,0.9283832117664796,6,2.5,2,-2.025116858391749,-5.425217607858393,-2.025116858391749,1.0000000000000002,1.0,7.745351937684709,6.318830214122817,0.520989007097576
1189,25,2.5,5.0,2.5,MPP,0.7195375731730501,0.7195375731730501,5,5,0.4347826086956522,,0.7638342298640607,23,2.5,2,-0.1065386193824628,-3.975452826060567,-1.6846534555310428,1.0000000000000002,1.0,8.868109859987545,6.711839297457094,0.8466025286824682
1191,8,2.5,5.0,2.5,Neutro,0.0,0.0,1,1,0.0,,0.0,7,2.5,8,-1.8404087735858063,-6.595785079278034,-2.555858382474997,1.0000000000000002,1.0,14.59758825984245,6.654658824373028,0.13486701505329513
1194,29,2.5,5.0,2.5,MPP,0.722220798592779,0.722220798592779,5,5,0.4285714285714286,,0.7090287000460226,28,2.5,29,-0.745886022145988,-6.266588254247865,-2.14842570203333,1.0000000000000002,1.0,21.660501556044572,6.361689472198242,0.7880675165078964
1195,5,2.5,5.0,2.5,MPP/GMP,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.9602297178580305,4,2.5,5,-1.599611949468293,-2.722222556417931,-2.4231592148551213,1.0000000000000002,1.0,18.768960256625668,3.5092458662275012,0.02824992505558761
1196,5,2.5,5.0,2.5,Unk_2,0.9463946303544555,0.9463946303544555,3,3,0.5,,0.9609640474407958,4,2.5,5,-0.49471970610025773,-3.7516411762726456,-1.8303377348006051,1.0000000000000002,1.0,25.35353761921049,4.398773253013981,0.018059977932073236
12,6,5.0,5.0,0.0,Unk_1,0.9591479170243595,0.9591479170243595,4,4,0.6666666666666667,,0.9591479170243595,6,2.5,6,-1.088031748673164,-3.3849566010653653,-1.9841242004243584,1.0000000000000002,1.0,18.04584618166228,3.3849566010653653,-0.1198871161060968
120,20,5.0,5.0,0.0,Mono,0.884142534594244,0.884142534594244,6,6,0.7,,0.884142534594244,20,2.5,20,-0.4898106268458197,-3.0755645325092122,-2.5888908255131255,1.0000000000000002,1.0,18.80552400436749,3.0755645325092122,0.6182152240436889
1200,13,2.5,5.0,2.5,Unk_1,0.9999999999971146,0.9999999999971146,2,2,0.5,,0.8244618719332064,10,2.5,3,-0.4887922508041978,-3.612010927340806,-4.12697938316616,1.0000000000000002,1.0,8.205982931607773,3.6738151488333677,0.2764403822669776
1201,5,2.5,5.0,2.5,MPP,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.9602297178580305,3,2.5,2,-0.036825470147553274,-5.418266086840422,-2.9849369684120237,1.0000000000000002,1.0,23.38125561479635,9.337764018527766,0.9966285070000658
1202,18,2.5,5.0,2.5,MPP,0.5931390622266811,0.5931390622266811,4,4,0.25,,0.6455950093574664,16,2.5,2,-0.08053654205860694,-1.6429078261691021,-1.9148018122061332,1.0000000000000002,1.0,12.33817786828295,5.584180166077682,0.9999063264932155
1205,17,2.5,5.0,2.5,Neutro,0.6908140210948742,0.6908140210948742,3,3,0.2857142857142857,,0.8726389366030406,14,2.5,3,-1.2686788569509309,-4.527724664284473,-1.2686788569509309,1.0000000000000002,1.0,10.549053505525759,4.405326436464021,0.3965176198036695
1207,7,2.5,5.0,2.5,MPP/GMP,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.8699155297708953,6,2.5,7,-1.1266555471611948,-4.513125871273609,-2.0411468686964125,1.0000000000000002,1.0,21.949676015881078,5.057571419227922,-0.5398488022687978
1208,8,2.5,5.0,2.5,MEP,0.9211854965856692,0.9211854965856692,4,4,0.5714285714285714,,0.9283832117664796,7,2.5,8,-0.06692407502228016,-4.473999977819983,-2.3246268491832547,1.0000000000000002,1.0,16.122563949290097,4.955211751419508,0.9681987277511283
1211,14,2.5,5.0,2.5,MPP,0.9612366047199904,0.9612366047199904,2,2,0.3846153846153846,,0.7973748106369621,13,2.5,14,-0.4145592688285164,-6.885952454857404,-2.021520924851291,1.0000000000000002,1.0,16.457388086348224,6.998919578613484,0.6672072510196742
