clone_id,clone_size,clone_start_time,clone_end_time,clone_time_span,initial_cell_state,terminal_fate_entropy,terminal_lineage_entropy,clone_multilineage_score,clone_branch_count,clone_fate_diversification_index,clone_reprogramming_success_split,clone_state_transition_entropy,terminal_sampling_depth,event_time_used,pre_event_cells,branch_window_condensation_exposure,global_centroid_condensation_exposure,same_lineage_centroid_condensation_exposure,alignment_exposure,fate_entropy_exposure,density_exposure,post_event_divergence_exposure,teacher_velocity_bias_exposure
2196,27,2.0,6.0,4.0,undiff,0.8112781244562475,0.8112781244562475,2,2,0.25,,0.932788377633602,4,2,27,-2.447147976431345,-3.7262406410735367,-2.447147976431345,0.9999999999999998,0.383352084960045,909.0573978268649,4.316166746547866,0.30939104777906484
2198,5,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,4,2,5,-0.6704210756559246,-1.9486387313733478,-0.6704210756559246,1.0,0.3110716820156417,1131.0149650687665,2.2362406896784606,0.37967992596914935
2199,8,4.0,4.0,0.0,Neutrophil,0.0,0.0,1,1,0.0,,0.0,8,2,8,-1.4549701080447728,-4.028236836182003,-1.4549701080447728,0.9999999999999998,0.4273652641552139,11.98272198391774,4.3389735823801505,0.16692567612990475
220,6,6.0,6.0,0.0,undiff,0.0,0.0,1,1,0.0,,0.0,6,2,6,-0.6094869264156848,-1.7231663492533553,-0.6094869264156848,1.0,0.2626495351628339,3743.087727663171,1.7231663492533553,0.23832015323949918
2200,12,4.0,6.0,2.0,Neutrophil,0.0,0.0,1,1,0.0,,0.4138168503007484,1,2,12,-1.668217269831847,-3.5763394118628646,-1.668217269831847,0.9999999999999999,0.4225880092822197,35.45571871098485,3.7570558931109104,0.12925926256544812
2205,5,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.0,1,2,5,-1.5704382817691076,-1.9763760112159452,-1.5704382817691076,0.9999999999999998,0.4242783680337402,508.63391543081644,2.724726405813979,0.5380680935071
2206,12,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,10,2,12,-0.7434649929805182,-2.1107015422705206,-0.7434649929805182,1.0,0.27909431478573077,2051.9007370456434,2.2773663029710556,0.33938604485437424
2207,5,4.0,6.0,2.0,undiff,0.9182958340516042,0.9182958340516042,2,2,0.33333333333333337,,0.7219280948844771,3,2,5,-1.8277845491119078,-2.7193547880029123,-1.8277845491119078,1.0,0.2969944614616471,533.3305252984945,2.892641865176086,0.2996852757985603
221,7,4.0,6.0,2.0,Monocyte,0.8112781244562475,0.8112781244562475,2,2,0.25,,0.7248340915030292,4,2,7,-0.8607315720463931,-3.1654263106604903,-0.8607315720463931,1.0,0.28721024359251385,4625.361212684226,3.4569736083667584,0.05604249057674258
2211,8,4.0,6.0,2.0,undiff,0.0,0.0,1,1,0.0,,0.0,7,2,8,-0.6921795253729215,-2.0081372926212677,-0.6921795253729215,1.0,0.2782455085324549,3030.0433238859314,2.155519634175392,0.31269438433810287
2213,13,6.0,6.0,0.0,undiff,0.0,0.0,1,1,0.0,,0.0,13,2,13,-0.9903046001686178,-2.3581778383805374,-0.9903046001686178,1.0,0.26264953516283385,1986.5618486799415,2.3581778383805374,0.2844685062730902
2216,5,2.0,4.0,2.0,undiff,0.7219280948844771,0.7219280948844771,2,2,0.19999999999999996,,0.7219280948844771,5,2,5,-3.5754246911213854,-5.973220226088642,-3.5754246911213854,0.9999999999999998,0.450603804383627,8.840072624549174,6.588652150459538,0.26454680411606485
2217,8,2.0,6.0,4.0,undiff,0.0,0.0,1,1,0.0,,0.8112781244562475,5,2,8,-0.8201023620406949,-5.6746702260894,-0.8201023620406949,0.9999999999999999,0.2626495351628339,271.8682151373923,5.69820742142907,0.09955459667015468
2219,9,4.0,6.0,2.0,undiff,0.8699155297708953,0.8699155297708953,3,3,0.4285714285714286,,0.9656336071400944,7,2,9,-0.705637982873543,-2.118235397569925,-0.705637982873543,1.0,0.31981796191455086,803.6926888594536,2.5213620555475638,0.1386081626669271
2222,6,4.0,4.0,0.0,Monocyte,0.6500224216454689,0.6500224216454689,2,2,0.16666666666666663,,0.6500224216454689,6,2,6,-1.2770578055813624,-4.634289471048969,-1.2770578055813624,0.9999999999999999,0.2801836208233533,21.827185873100927,4.7572928046378,0.08425896672451062
