model,condition,gene,context,perturbation_label,n_pairs,pair_latent_mse,centroid_latent_mse,effect_cosine,rbf_mmd
global_mean_shift,NFAT5|stimulated|NFAT5_2,NFAT5,stimulated,NFAT5_2,220,0.8913322687149048,0.012378450483083725,0.12534581124782562,0.086589515209198
global_mean_shift,NFAT5|unstimulated|NFAT5_2,NFAT5,unstimulated,NFAT5_2,220,0.42305347323417664,0.00666666217148304,0.19945956766605377,0.10843837261199951
global_mean_shift,NFATC1|stimulated|NFATC1_2,NFATC1,stimulated,NFATC1_2,220,1.0214370489120483,0.009404122829437256,0.14643548429012299,0.06255233287811279
global_mean_shift,NFATC1|unstimulated|NFATC1_2,NFATC1,unstimulated,NFATC1_2,120,0.7470165491104126,0.011981768533587456,-0.02809993177652359,0.12103527784347534
global_mean_shift,NFKB1|stimulated|NFKB1_2,NFKB1,stimulated,NFKB1_2,220,0.9103165864944458,0.009615106508135796,-0.025041058659553528,0.05979108810424805
global_mean_shift,NFKB1|unstimulated|NFKB1_2,NFKB1,unstimulated,NFKB1_2,220,0.4930979907512665,0.008723655715584755,0.33933448791503906,0.09653651714324951
global_mean_shift,NFKB2|stimulated|NFKB2_2,NFKB2,stimulated,NFKB2_2,220,0.8384222984313965,0.00843490194529295,-0.12984435260295868,0.06538540124893188
global_mean_shift,NFKB2|unstimulated|NFKB2_2,NFKB2,unstimulated,NFKB2_2,220,0.6081638932228088,0.008183935657143593,0.2820197641849518,0.08343076705932617
global_mean_shift,NR4A1|stimulated|NR4A1_2,NR4A1,stimulated,NR4A1_2,170,0.9090614914894104,0.02242467552423477,0.08920354396104813,0.041570305824279785
global_mean_shift,PTPN11|stimulated|PTPN11_2,PTPN11,stimulated,PTPN11_2,220,1.1812052726745605,0.015793904662132263,0.31369128823280334,0.04047173261642456
global_mean_shift,PTPN11|unstimulated|PTPN11_2,PTPN11,unstimulated,PTPN11_2,220,0.6230690479278564,0.006607235874980688,0.24015399813652039,0.10157132148742676
global_mean_shift,PTPN6|stimulated|PTPN6_2,PTPN6,stimulated,PTPN6_2,220,1.229992389678955,0.01613718271255493,0.29801705479621887,0.06937164068222046
global_mean_shift,PTPN6|unstimulated|PTPN6_2,PTPN6,unstimulated,PTPN6_2,220,0.4657731354236603,0.00815946701914072,0.056011684238910675,0.12554770708084106
global_mean_shift,RELA|stimulated|RELA_2,RELA,stimulated,RELA_2,220,0.6128717064857483,0.00954253226518631,-0.17336580157279968,0.07810038328170776
global_mean_shift,RELA|unstimulated|RELA_2,RELA,unstimulated,RELA_2,189,0.8544843196868896,0.016319306567311287,0.19272644817829132,0.10782778263092041
global_mean_shift,RUNX2|stimulated|RUNX2_2,RUNX2,stimulated,RUNX2_2,220,0.9630225896835327,0.013248599134385586,0.0477859228849411,0.07482373714447021
global_mean_shift,RUNX2|unstimulated|RUNX2_2,RUNX2,unstimulated,RUNX2_2,220,0.6372131109237671,0.010639267042279243,0.37382951378822327,0.10770690441131592
global_mean_shift,ZAP70|stimulated|ZAP70_2,ZAP70,stimulated,ZAP70_2,220,0.7475125789642334,0.015085303224623203,0.302920401096344,0.07633286714553833
global_mean_shift,ZAP70|unstimulated|ZAP70_2,ZAP70,unstimulated,ZAP70_2,220,0.6428108811378479,0.011785423383116722,0.3834606409072876,0.07503396272659302
gene_context_shift,DOK2|stimulated|DOK2_2,DOK2,stimulated,DOK2_2,220,0.8649899363517761,0.01813333109021187,0.15826964378356934,0.06205785274505615
gene_context_shift,DOK2|unstimulated|DOK2_2,DOK2,unstimulated,DOK2_2,220,0.6530557870864868,0.012831074185669422,0.2780962884426117,0.09994310140609741
gene_context_shift,EGR1|stimulated|EGR1_2,EGR1,stimulated,EGR1_2,220,1.010867714881897,0.023738548159599304,0.039602406322956085,0.11393958330154419
gene_context_shift,EGR1|unstimulated|EGR1_2,EGR1,unstimulated,EGR1_2,220,0.7002306580543518,0.02196226455271244,-0.156353160738945,0.1232982873916626
gene_context_shift,EGR2|stimulated|EGR2_2,EGR2,stimulated,EGR2_2,220,0.6046825647354126,0.014196854084730148,0.3845309615135193,0.06602990627288818
gene_context_shift,EGR2|unstimulated|EGR2_2,EGR2,unstimulated,EGR2_2,220,0.6142312288284302,0.013589292764663696,0.17580723762512207,0.09380334615707397
gene_context_shift,EGR3|stimulated|EGR3_2,EGR3,stimulated,EGR3_2,220,0.7361198663711548,0.016293788328766823,0.2471330612897873,0.07292062044143677
gene_context_shift,EGR3|unstimulated|EGR3_2,EGR3,unstimulated,EGR3_2,220,0.6433466672897339,0.02873094193637371,-0.08409745246171951,0.09373366832733154
gene_context_shift,EGR4|stimulated|EGR4_2,EGR4,stimulated,EGR4_2,220,0.7598260641098022,0.019856691360473633,-0.027719646692276,0.0739096999168396
gene_context_shift,EGR4|unstimulated|EGR4_2,EGR4,unstimulated,EGR4_2,220,0.5505561232566833,0.018716778606176376,0.005207193549722433,0.11081862449645996
gene_context_shift,FOS|stimulated|FOS_2,FOS,stimulated,FOS_2,220,1.0594868659973145,0.014060424640774727,0.24971531331539154,0.07949745655059814
gene_context_shift,FOS|unstimulated|FOS_2,FOS,unstimulated,FOS_2,220,0.5970773696899414,0.023068834096193314,0.09181009978055954,0.11973339319229126
gene_context_shift,JUND|stimulated|JUND_2,JUND,stimulated,JUND_2,220,0.8898763656616211,0.015971822664141655,0.3828967213630676,0.10874152183532715
gene_context_shift,JUND|unstimulated|JUND_2,JUND,unstimulated,JUND_2,220,0.5330473184585571,0.01354770828038454,0.27807047963142395,0.0963904857635498
gene_context_shift,JUN|stimulated|JUN_2,JUN,stimulated,JUN_2,212,1.2907004356384277,0.01946732960641384,0.39371177554130554,0.09346455335617065
gene_context_shift,JUN|unstimulated|JUN_2,JUN,unstimulated,JUN_2,220,0.6069022417068481,0.02805013209581375,0.09091503918170929,0.08812552690505981
